Galaxy ,NGC0247 (Caldwell 62 / Claw)
Type,Intermediate spiral
Constellation ,Cetus
Location,Sculptor group
Distance SS,11.1 Mly 
Size,93000 ly / 28.52 kpc
N° stars,8 billions
Redshift (z),0.00052
Apparent magnitude,9.9
