Galaxy ,NGC0801
Type,Spiral + AGN
Constellation ,Andromeda
Location,Isolated
Distance SS,17.44 Mly / 53.46 Mpc
Size,189.2 kly / 58.01 kpc
N° stars, billions
Redshift (z),0.019187
Apparent magnitude,10.5
