Galaxy ,NGC0100
Type,Spiral
Constellation ,Pisces
Location,Isolated
Distance SS,60.18 Mly 
Size,113400 ly / 34.77 kpc
N° stars, billions
Redshift (z),"	0.002805"
Apparent magnitude,14.6
