Galaxy ,NGC1705 
Type,Lenticular and blue compact dwarf
Constellation ,Pictor
Location,Dorado group
Distance SS,16.6 Mly 
Size,1.44-1.87 arcmin
N° stars,>100 billions
Redshift (z),633 km/s
Apparent magnitude,12.6
