Galaxy ,NGC1003
Type,Spiral
Constellation ,Perseus
Location,NGC1023 group
Distance SS,30.94 Mly 
Size,121800 ly / 37.33 kpc
N° stars,>100 billions
Redshift (z),0.00209
Apparent magnitude,12.1
