line_name,lambda_obs,z_line,EW
Ly_alpha     ,1215.67,0.0,0.0
N_V 1240     ,1240.81,0.0,0.0
C_IV 1549    ,1549.48,0.0,0.0
He_II 1640   ,1640.42,0.0,0.0
C_III] 1908  ,1908.734,0.0,0.0
Mg_II 2799   ,2800.3151836549728,0.0,0.0
[O_II] 3725  ,3727.091726797987,0.052666582,11.2155075
[O_II] 3727  ,3729.875447997208,0.05266658,7.227473
[Ne_III] 3868,3869.8567972272717,0.05266655,2.3613265
H_epsilon    ,3890.1510799166767,0.052666612,-1.3297613
[Ne_III] 3970,3971.1231872114904,0.052666634,-1.3633844
H_delta      ,4102.891630872568,0.052666664,-0.54044783
H_gamma      ,4341.684312649426,0.052666683,4.5760202
[O_III] 4363 ,4364.435300399844,0.052666634,0.203595
He_II 4685   ,4686.991444195157,0.052666638,-0.18306749
H_beta       ,4862.682993731257,0.05266688,8.50984
[O_III] 4959 ,4960.2949014467185,0.052665573,1.5951548
[O_III] 5007 ,5008.239637728127,0.052666537,4.832365
He_II 5411   ,5413.024422565308,0.052666824,0.12085909
[O_I] 5577   ,5578.887703795193,0.052667715,-0.49443504
[O_I] 6300   ,6302.046376726897,0.052667752,0.68230003
[S_III] 6312 ,6313.805532906624,0.05266628,-0.33348802
[O_I] 6363   ,6365.535419574267,0.05266692,-0.036040716
[N_II] 6548  ,6549.858929253789,0.05266692,1.1746341
H_alpha      ,6564.613894333284,0.05266632,25.490482
[N_II] 6583  ,6585.2684452471885,0.052665625,4.7394648
[S_II] 6716  ,6718.29420811581,0.052666727,4.772136
[S_II] 6730  ,6732.678076327587,0.052667134,4.539703
[Ar_III] 7135,7137.757103334721,0.052667327,0.41939265
