line_name,lambda_obs,z_line,EW
Ly_alpha     ,1215.67,0.0,0.0
N_V 1240     ,1240.81,0.0,0.0
C_IV 1549    ,1549.48,0.0,0.0
He_II 1640   ,1640.42,0.0,0.0
C_III] 1908  ,1908.734,0.0,0.0
Mg_II 2799   ,2800.3151836549728,0.0,0.0
[O_II] 3725  ,3727.091726797987,0.12097259,3.0011265
[O_II] 3727  ,3729.875447997208,0.12097259,-2.137649
[Ne_III] 3868,3869.8567972272717,0.12097255,0.09819589
H_epsilon    ,3890.1510799166767,0.120972626,-0.7303619
[Ne_III] 3970,3971.1231872114904,0.12097265,-7.5905285
H_delta      ,4102.891630872568,0.12097268,-3.3945694
H_gamma      ,4341.684312649426,0.1209727,-2.1514342
[O_III] 4363 ,4364.435300399844,0.12097265,-0.7890851
He_II 4685   ,4686.991444195157,0.12097265,-0.08293088
H_beta       ,4862.682993731257,0.12097291,-1.1344142
[O_III] 4959 ,4960.2949014467185,0.120971516,-0.047182955
[O_III] 5007 ,5008.239637728127,0.120972544,-0.153018
He_II 5411   ,5413.024422565308,0.12097285,-0.5105502
[O_I] 5577   ,5578.887703795193,0.120973796,0.12660287
[O_I] 6300   ,6302.046376726897,0.12097384,0.24159144
[S_III] 6312 ,6313.805532906624,0.12097227,-0.18735988
[O_I] 6363   ,6365.535419574267,0.120972954,-0.36847013
[N_II] 6548  ,6549.858929253789,0.120972954,-0.20434664
H_alpha      ,6564.613894333284,0.12097231,2.1561778
[N_II] 6583  ,6585.2684452471885,0.12097157,-0.53996426
[S_II] 6716  ,6718.29420811581,0.120972745,0.3663527
[S_II] 6730  ,6732.678076327587,0.12097318,0.20690623
[Ar_III] 7135,7137.757103334721,0.120973386,-0.92720056
