line_name,lambda_obs,z_line,EW
Ly_alpha     ,1215.67,0.0,0.0
N_V 1240     ,1240.81,0.0,0.0
C_IV 1549    ,1549.48,0.0,0.0
He_II 1640   ,1640.42,0.0,0.0
C_III] 1908  ,1908.734,0.0,0.0
Mg_II 2799   ,2800.3151836549728,0.0,0.0
[O_II] 3725  ,3727.091726797987,0.09767035,14.346261
[O_II] 3727  ,3729.875447997208,0.09767035,3.9245937
[Ne_III] 3868,3869.8567972272717,0.09767032,2.8734994
H_epsilon    ,3890.1510799166767,0.097670384,-0.90260226
[Ne_III] 3970,3971.1231872114904,0.097670406,-6.484214
H_delta      ,4102.891630872568,0.097670436,-2.333716
H_gamma      ,4341.684312649426,0.09767045,-1.7643458
[O_III] 4363 ,4364.435300399844,0.0976704,0.26284522
He_II 4685   ,4686.991444195157,0.097670406,0.85570455
H_beta       ,4862.682993731257,0.09767066,-0.6973995
[O_III] 4959 ,4960.2949014467185,0.097669296,2.3573246
[O_III] 5007 ,5008.239637728127,0.0976703,7.337677
He_II 5411   ,5413.024422565308,0.0976706,0.007957494
[O_I] 5577   ,5578.887703795193,0.09767153,0.32414466
[O_I] 6300   ,6302.046376726897,0.09767157,1.3426012
[S_III] 6312 ,6313.805532906624,0.09767003,-0.047841888
[O_I] 6363   ,6365.535419574267,0.097670704,0.36684912
[N_II] 6548  ,6549.858929253789,0.097670704,3.6583002
H_alpha      ,6564.613894333284,0.09767008,7.925082
[N_II] 6583  ,6585.2684452471885,0.09766935,10.88785
[S_II] 6716  ,6718.29420811581,0.0976705,4.1875424
[S_II] 6730  ,6732.678076327587,0.09767093,3.8365908
[Ar_III] 7135,7137.757103334721,0.09767113,0.6535626
