line_name,lambda_obs,z_line,EW
Ly_alpha     ,1215.67,0.0,0.0
N_V 1240     ,1240.81,0.0,0.0
C_IV 1549    ,1549.48,0.0,0.0
He_II 1640   ,1640.42,0.0,0.0
C_III] 1908  ,1908.734,0.0,0.0
Mg_II 2799   ,2800.3151836549728,0.0,0.0
[O_II] 3725  ,3727.091726797987,0.03331061,10.709867
[O_II] 3727  ,3729.875447997208,0.033310607,10.405922
[Ne_III] 3868,3869.8567972272717,0.033310577,0.296856
H_epsilon    ,3890.1510799166767,0.03331064,-0.7613437
[Ne_III] 3970,3971.1231872114904,0.033310663,-1.8643792
H_delta      ,4102.891630872568,0.03331069,-0.68378836
H_gamma      ,4341.684312649426,0.033310708,2.7022853
[O_III] 4363 ,4364.435300399844,0.03331066,0.03496319
He_II 4685   ,4686.991444195157,0.033310667,0.7563799
H_beta       ,4862.682993731257,0.033310905,4.6162453
[O_III] 4959 ,4960.2949014467185,0.03330962,0.8257584
[O_III] 5007 ,5008.239637728127,0.033310566,2.5387063
He_II 5411   ,5413.024422565308,0.03331085,-0.2267493
[O_I] 5577   ,5578.887703795193,0.03331172,0.44648063
[O_I] 6300   ,6302.046376726897,0.033311762,0.59378445
[S_III] 6312 ,6313.805532906624,0.033310313,-0.44793567
[O_I] 6363   ,6365.535419574267,0.033310946,-0.20789413
[N_II] 6548  ,6549.858929253789,0.033310942,1.239702
H_alpha      ,6564.613894333284,0.033310357,18.315134
[N_II] 6583  ,6585.2684452471885,0.03330967,3.327267
[S_II] 6716  ,6718.29420811581,0.033310756,4.9600744
[S_II] 6730  ,6732.678076327587,0.033311155,2.8832371
[Ar_III] 7135,7137.757103334721,0.03331134,0.32147294
