line_name,lambda_obs,z_line,EW
Ly_alpha     ,1215.67,0.0,0.0
N_V 1240     ,1240.81,0.0,0.0
C_IV 1549    ,1549.48,0.0,0.0
He_II 1640   ,1640.42,0.0,0.0
C_III] 1908  ,1908.734,0.0,0.0
Mg_II 2799   ,2800.3151836549728,0.0,0.0
[O_II] 3725  ,3727.091726797987,0.064772055,8.117991
[O_II] 3727  ,3729.875447997208,0.06477205,11.432176
[Ne_III] 3868,3869.8567972272717,0.06477202,-0.8008583
H_epsilon    ,3890.1510799166767,0.064772084,-1.6135571
[Ne_III] 3970,3971.1231872114904,0.06477211,-2.307825
H_delta      ,4102.891630872568,0.06477214,-0.7885696
H_gamma      ,4341.684312649426,0.06477215,3.0498521
[O_III] 4363 ,4364.435300399844,0.06477211,0.20310059
He_II 4685   ,4686.991444195157,0.06477211,0.12932923
H_beta       ,4862.682993731257,0.06477235,9.455557
[O_III] 4959 ,4960.2949014467185,0.064771034,1.4869037
[O_III] 5007 ,5008.239637728127,0.06477201,4.7459574
He_II 5411   ,5413.024422565308,0.0647723,-0.9174528
[O_I] 5577   ,5578.887703795193,0.0647732,0.46193314
[O_I] 6300   ,6302.046376726897,0.06477324,0.97834915
[S_III] 6312 ,6313.805532906624,0.06477175,0.17530541
[O_I] 6363   ,6365.535419574267,0.0647724,0.37294748
[N_II] 6548  ,6549.858929253789,0.0647724,3.3350604
H_alpha      ,6564.613894333284,0.064771794,36.257828
[N_II] 6583  ,6585.2684452471885,0.064771086,7.9396563
[S_II] 6716  ,6718.29420811581,0.0647722,5.4699416
[S_II] 6730  ,6732.678076327587,0.06477261,3.8971732
[Ar_III] 7135,7137.757103334721,0.06477281,1.7664862
