#plate,mjd,fiberid,run2d,specobj_id,ra,dec,sn_median_r,z,zerr,zwarning,class,subclass
'1939','53389','556','26','2183272808342120448','09:30:19.76','+29:35:53.91',22.86,0.124551,2.6e-05,'0','GALAXY',''
'1939','53389','557','26','2183273083220027392','09:29:48.42','+29:35:50.81',15.89,0.160426,1.4e-05,'0','GALAXY',''
'1939','53389','558','26','2183273358097934336','09:29:22.47','+29:43:39.86',18.45,0.13254,2.9e-05,'0','GALAXY',''
'1939','53389','559','26','2183273632975841280','09:30:38.11','+29:32:13.14',20.13,0.132253,3.7e-05,'0','GALAXY',''
'1939','53389','560','26','2183273907853748224','09:30:14.47','+29:43:34.16',10.55,0.110181,1.6e-05,'0','GALAXY',''
'1939','53389','562','26','2183274457609562112','09:30:16.89','+30:41:08.20',25.2,0.024694,1.8e-05,'0','GALAXY',''
'1939','53389','564','26','2183275007365376000','09:30:34.22','+30:28:41.06',14.72,0.079348,8e-06,'0','GALAXY','STARFORMING'
'1939','53389','566','26','2183275557121189888','09:30:43.48','+30:15:25.93',6.07,0.384956,0.00013,'0','GALAXY',''
'1939','53389','567','26','2183275831999096832','09:30:20.62','+30:44:54.14',9.71,0.348679,8.6e-05,'0','GALAXY',''
'1939','53389','568','26','2183276106877003776','09:31:00.58','+30:26:15.26',24.09,0.126777,2.4e-05,'0','GALAXY',''
'1939','53389','570','26','2183276656632817664','09:30:38.34','+30:35:27.05',15.3,0.13821,1.5e-05,'0','GALAXY','STARFORMING'
'1939','53389','574','26','2183277756144445440','09:30:37.38','+30:05:34.97',22.71,0.068358,1e-05,'0','GALAXY','STARFORMING'
'1939','53389','575','26','2183278031022352384','09:30:27.67','+30:11:30.87',7.84,0.383535,0.0001,'0','GALAXY','BROADLINE'
'1939','53389','578','26','2183278855656073216','09:30:19.08','+30:26:41.06',44.81,0.024494,1.1e-05,'0','GALAXY','STARFORMING'
'1939','53389','581','26','2183279680289794048','09:31:35.87','+29:58:57.57',19.24,0.125422,2e-05,'0','GALAXY',''
'1939','53389','582','26','2183279955167700992','09:31:16.05','+29:41:11.26',9.06,0.301693,7.4e-05,'0','GALAXY',''
'1939','53389','584','26','2183280504923514880','09:31:47.79','+29:37:42.82',29.2,0.139491,6e-06,'0','GALAXY','STARFORMING'
'1939','53389','587','26','2183281329557235712','09:30:56.01','+29:44:25.86',6.64,0.383299,0.000103,'0','GALAXY',''
'1939','53389','589','26','2183281879313049600','09:31:56.13','+29:24:58.92',10.62,0.043209,6e-06,'0','GALAXY','STARFORMING'
'1939','53389','590','26','2183282154190956544','09:31:17.48','+29:51:40.35',17.84,0.177967,2.9e-05,'0','GALAXY',''
'1939','53389','591','26','2183282429068863488','09:31:44.40','+29:47:44.43',20.5,0.043,2.5e-05,'0','GALAXY',''
'1939','53389','592','26','2183282703946770432','09:31:16.68','+29:53:45.12',7.54,0.128609,1.7e-05,'0','GALAXY','STARFORMING'
'1939','53389','593','26','2183282978824677376','09:30:45.34','+29:30:34.89',11.72,0.333355,5.6e-05,'0','GALAXY',''
'1939','53389','594','26','2183283253702584320','09:30:42.62','+29:38:40.29',34.66,0.075224,1.7e-05,'0','GALAXY',''
'1939','53389','596','26','2183283803458398208','09:31:09.60','+29:30:33.42',22.98,0.062817,8e-06,'0','GALAXY','STARFORMING'
'1939','53389','598','26','2183284353214212096','09:31:18.23','+29:35:24.28',20.23,0.109893,1.6e-05,'0','GALAXY','STARFORMING'
'1939','53389','600','26','2183284902970025984','09:31:52.23','+30:00:09.72',22.08,0.173267,2.8e-05,'0','GALAXY',''
'1939','53389','601','26','2183285177847932928','09:32:09.05','+30:31:51.59',39.63,0.078264,1.5e-05,'0','GALAXY',''
'1939','53389','602','26','2183285452725839872','09:31:35.04','+30:26:33.88',35.62,0.051119,1e-05,'0','GALAXY','AGN'
'1939','53389','607','26','2183286827115374592','09:31:17.79','+30:33:29.46',1.65,0.538445,0.000196,'0','GALAXY',''
'1939','53389','608','26','2183287101993281536','09:31:19.89','+30:17:08.50',26.31,0.126191,2.5e-05,'0','GALAXY',''
'1939','53389','609','26','2183287376871188480','09:31:19.19','+30:22:57.30',11.64,0.138169,2.5e-05,'0','GALAXY','STARFORMING'
'1939','53389','610','26','2183287651749095424','09:32:25.51','+30:06:42.93',9.86,0.075652,1.2e-05,'0','GALAXY',''
'1939','53389','611','26','2183287926627002368','09:33:32.30','+30:13:42.86',16.14,0.026821,7e-06,'0','GALAXY','STARFORMING'
'1939','53389','613','26','2183288476382816256','09:31:23.09','+30:04:42.90',18.85,0.125904,3e-05,'0','GALAXY',''
'1939','53389','615','26','2183289026138630144','09:33:10.35','+30:03:58.95',20.99,0.150753,2.7e-05,'0','GALAXY',''
'1939','53389','616','26','2183289301016537088','09:31:11.90','+30:01:06.37',13.23,0.014375,8e-06,'0','GALAXY','STARBURST'
'1939','53389','617','26','2183289575894444032','09:31:08.19','+30:09:23.80',16.76,0.161632,2.8e-05,'0','GALAXY',''
'1939','53389','618','26','2183289850772350976','09:31:23.15','+30:05:46.39',19.64,0.125745,3e-05,'0','GALAXY',''
'1939','53389','620','26','2183290400528164864','09:32:25.22','+30:03:32.91',12.66,0.075776,1.2e-05,'0','GALAXY','STARFORMING'
'1939','53389','621','26','2183290675406071808','09:32:22.60','+29:31:46.12',11.52,0.300635,5.3e-05,'0','GALAXY',''
'1939','53389','625','26','2183291774917699584','09:34:09.40','+29:53:43.36',17.61,0.152723,4.3e-05,'0','GALAXY',''
'1939','53389','626','26','2183292049795606528','09:34:52.00','+29:37:25.11',21.76,0.13781,2.5e-05,'0','GALAXY',''
'1939','53389','628','26','2183292599551420416','09:34:25.95','+29:32:00.55',7.06,0.390134,0.000112,'0','GALAXY',''
'1939','53389','629','26','2183292874429327360','09:32:14.03','+29:26:18.45',7.83,0.385242,7.4e-05,'0','GALAXY','BROADLINE'
'1939','53389','637','26','2183295073452582912','09:32:25.33','+29:26:42.18',8.03,0.300596,7.1e-05,'0','GALAXY','STARFORMING'
'1939','53389','639','26','2183295623208396800','09:34:02.77','+29:22:05.42',12.72,0.151422,2.7e-05,'0','GALAXY',''
