#plate,mjd,fiberid,run2d,specobj_id,ra,dec,sn_median_r,z,zerr,zwarning,class,subclass
'1939','53389','313','26','2183206013010733056','09:21:57.00','+29:20:04.81',17.62,0.177514,4e-05,'0','GALAXY',''
'1939','53389','314','26','2183206287888640000','09:22:16.36','+29:20:12.83',15.76,0.076831,8e-06,'0','GALAXY','STARFORMING'
'1939','53389','317','26','2183207112522360832','09:21:45.73','+28:56:56.51',10.3,0.260134,6.5e-05,'0','GALAXY',''
'1939','53389','318','26','2183207387400267776','09:22:53.83','+29:19:44.46',14.0,0.022458,1.4e-05,'0','GALAXY','STARFORMING'
'1939','53389','320','26','2183207937156081664','09:23:16.16','+28:55:00.22',7.17,0.359519,8.9e-05,'0','GALAXY',''
'1939','53389','321','26','2183208212033988608','09:23:20.52','+30:13:38.37',18.58,0.093762,9e-06,'0','GALAXY',''
'1939','53389','323','26','2183208761789802496','09:23:13.23','+30:14:24.45',5.54,0.424404,9.2e-05,'0','GALAXY',''
'1939','53389','325','26','2183209311545616384','09:23:37.62','+30:20:23.01',17.26,0.106701,3.3e-05,'0','GALAXY',''
'1939','53389','331','26','2183210960813058048','09:23:44.28','+30:11:27.80',19.3,0.061049,1.1e-05,'0','GALAXY','STARFORMING'
'1939','53389','332','26','2183211235690964992','09:22:26.93','+30:05:31.72',10.5,0.153099,2.4e-05,'0','GALAXY',''
'1939','53389','333','26','2183211510568871936','09:22:19.73','+30:05:30.57',12.67,0.153924,1.7e-05,'0','GALAXY',''
'1939','53389','334','26','2183211785446778880','09:24:10.55','+30:05:21.24',30.82,0.062032,1.5e-05,'0','GALAXY',''
'1939','53389','335','26','2183212060324685824','09:23:09.76','+30:05:52.58',1.75,0.577033,0.000254,'0','GALAXY',''
'1939','53389','336','26','2183212335202592768','09:24:34.98','+30:35:31.28',6.82,0.286404,0.000107,'0','GALAXY',''
'1939','53389','339','26','2183213159836313600','09:22:48.60','+30:05:45.46',3.35,0.455965,0.000126,'0','GALAXY',''
'1939','53389','342','26','2183213984470034432','09:22:28.77','+29:37:33.09',21.19,0.165245,2.5e-05,'0','GALAXY',''
'1939','53389','346','26','2183215083981662208','09:21:36.36','+29:27:30.43',5.58,0.338385,0.000132,'0','GALAXY',''
'1939','53389','347','26','2183215358859569152','09:23:19.74','+29:46:09.06',39.17,0.062752,1e-05,'0','GALAXY','AGN'
'1939','53389','349','26','2183215908615383040','09:23:24.14','+29:35:14.99',19.79,0.062199,2.5e-05,'0','GALAXY',''
'1939','53389','351','26','2183216458371196928','09:23:04.01','+29:24:55.29',19.23,0.159812,2.7e-05,'0','GALAXY',''
'1939','53389','353','26','2183217008127010816','09:21:47.98','+29:45:01.12',18.29,0.163557,3.4e-05,'0','GALAXY',''
'1939','53389','356','26','2183217832760731648','09:21:48.30','+29:51:11.83',13.99,0.058543,8e-06,'0','GALAXY','STARFORMING'
'1939','53389','357','26','2183218107638638592','09:22:21.73','+29:23:06.00',18.74,0.062577,7e-06,'0','GALAXY','STARFORMING'
'1939','53389','359','26','2183218657394452480','09:23:23.95','+29:48:13.87',32.09,0.062374,1.6e-05,'0','GALAXY',''
'1939','53389','360','26','2183218932272359424','09:21:55.99','+29:26:13.50',7.94,0.347838,8.5e-05,'0','GALAXY',''
'1939','53389','361','26','2183219207150266368','09:25:20.38','+30:01:16.36',12.16,0.104801,2.5e-05,'0','GALAXY',''
'1939','53389','362','26','2183219482028173312','09:25:04.17','+30:13:59.97',9.49,0.334479,7e-05,'0','GALAXY',''
'1939','53389','364','26','2183220031783987200','09:24:47.12','+30:25:35.88',15.24,0.150278,1.3e-05,'0','GALAXY',''
'1939','53389','366','26','2183220581539801088','09:25:51.70','+30:27:18.60',14.32,0.158049,1.5e-05,'0','GALAXY','STARFORMING'
'1939','53389','367','26','2183220856417708032','09:25:51.55','+30:25:30.31',14.36,0.157392,2.9e-05,'0','GALAXY','STARFORMING'
'1939','53389','368','26','2183221131295614976','09:25:17.79','+30:30:53.83',16.29,0.125627,4.6e-05,'0','GALAXY',''
'1939','53389','369','26','2183221406173521920','09:25:56.72','+30:29:23.05',9.54,0.28484,6.6e-05,'0','GALAXY',''
'1939','53389','370','26','2183221681051428864','09:24:36.30','+30:23:21.46',10.09,0.294953,7.4e-05,'0','GALAXY',''
'1939','53389','371','26','2183221955929335808','09:25:31.42','+30:13:36.89',9.27,0.335805,7.8e-05,'0','GALAXY',''
'1939','53389','372','26','2183222230807242752','09:25:35.08','+30:05:38.26',28.27,0.093689,2.1e-05,'0','GALAXY',''
'1939','53389','373','26','2183222505685149696','09:26:14.37','+30:01:00.07',11.5,0.303155,6e-05,'0','GALAXY',''
'1939','53389','375','26','2183223055440963584','09:25:47.22','+30:16:06.36',22.02,0.124347,2.3e-05,'0','GALAXY',''
'1939','53389','376','26','2183223330318870528','09:25:51.52','+30:01:54.49',20.65,0.123687,8e-06,'0','GALAXY','STARFORMING'
'1939','53389','377','26','2183223605196777472','09:26:07.80','+30:02:43.39',10.12,0.301726,6e-05,'0','GALAXY',''
'1939','53389','378','26','2183223880074684416','09:24:41.07','+30:13:32.62',11.05,0.274242,6.1e-05,'0','GALAXY',''
'1939','53389','380','26','2183224429830498304','09:25:50.19','+30:11:26.64',17.8,0.261164,1e-05,'0','GALAXY','STARBURST'
'1939','53389','382','26','2183224979586312192','09:23:38.47','+29:57:45.46',2.85,0.547507,0.00018,'0','GALAXY',''
'1939','53389','383','26','2183225254464219136','09:24:21.84','+29:59:34.20',33.5,0.061871,1e-05,'0','GALAXY','STARFORMING'
'1939','53389','386','26','2183226079097939968','09:24:04.39','+29:52:58.08',11.23,0.095306,8e-06,'0','GALAXY','STARFORMING'
'1939','53389','387','26','2183226353975846912','09:23:54.06','+29:52:57.18',6.86,0.102773,1.5e-05,'0','GALAXY','STARFORMING'
'1939','53389','389','26','2183226903731660800','09:23:34.36','+29:22:16.15',11.17,0.186728,2.5e-05,'0','GALAXY','STARFORMING'
'1939','53389','390','26','2183227178609567744','09:24:10.60','+29:59:05.23',24.29,0.095109,2.5e-05,'0','GALAXY',''
'1939','53389','391','26','2183227453487474688','09:24:39.31','+29:57:52.49',12.87,0.156658,4.1e-05,'0','GALAXY',''
'1939','53389','392','26','2183227728365381632','09:24:08.46','+29:35:18.80',15.25,0.076657,9e-06,'0','GALAXY','STARFORMING'
'1939','53389','394','26','2183228278121195520','09:24:14.15','+29:43:16.61',23.13,0.158064,2.7e-05,'0','GALAXY',''
'1939','53389','395','26','2183228552999102464','09:23:35.40','+29:24:57.83',18.49,0.160125,3.3e-05,'0','GALAXY',''
'1939','53389','398','26','2183229377632823296','09:23:25.12','+29:40:07.30',23.94,0.095901,6e-06,'0','GALAXY','STARFORMING'
'1939','53389','399','26','2183229652510730240','09:23:25.68','+29:30:52.31',8.08,0.224627,3e-05,'0','GALAXY',''
'1939','53389','400','26','2183229927388637184','09:23:48.06','+29:33:38.17',33.84,0.076701,1.7e-05,'0','GALAXY',''
'1939','53389','401','26','2183230202266544128','09:26:24.38','+30:39:20.92',10.81,0.324324,6.6e-05,'0','GALAXY',''
'1939','53389','403','26','2183230752022358016','09:26:35.73','+30:42:39.46',18.86,0.110739,2.8e-05,'0','GALAXY',''
'1939','53389','404','26','2183231026900264960','09:27:35.26','+30:39:54.62',22.67,0.111321,2.6e-05,'0','GALAXY',''
'1939','53389','405','26','2183231301778171904','09:27:35.74','+30:05:11.50',12.16,0.209273,5.1e-05,'0','GALAXY',''
'1939','53389','408','26','2183232126411892736','09:26:33.77','+30:25:54.17',34.43,0.093314,2e-05,'0','GALAXY',''
'1939','53389','409','26','2183232401289799680','09:26:14.38','+30:10:55.95',16.06,0.109757,2.6e-05,'0','GALAXY','STARFORMING'
'1939','53389','412','26','2183233225923520512','09:26:21.78','+30:25:07.46',39.39,0.093282,1.6e-05,'0','GALAXY',''
'1939','53389','414','26','2183233775679334400','09:26:19.56','+30:00:34.06',5.71,0.364844,0.00011,'0','GALAXY',''
'1939','53389','415','26','2183234050557241344','09:27:29.85','+30:08:02.46',27.89,0.118119,2e-05,'0','GALAXY',''
'1939','53389','419','26','2183235150068869120','09:27:23.50','+30:26:26.93',48.8,0.026916,7e-06,'0','GALAXY','STARFORMING'
'1939','53389','420','26','2183235424946776064','09:27:24.70','+30:01:32.71',47.85,0.025747,7e-06,'0','GALAXY',''
'1939','53389','421','26','2183235699824683008','09:25:54.69','+29:44:52.58',5.86,0.406973,8.2e-05,'0','GALAXY',''
'1939','53389','422','26','2183235974702589952','09:24:47.28','+29:33:10.97',10.44,0.290928,6e-05,'0','GALAXY',''
'1939','53389','423','26','2183236249580496896','09:25:35.02','+29:50:07.26',12.98,0.187483,2.5e-05,'0','GALAXY',''
'1939','53389','425','26','2183236799336310784','09:25:19.11','+29:54:03.59',17.36,0.120886,1.1e-05,'0','GALAXY','STARFORMING'
'1939','53389','426','26','2183237074214217728','09:25:18.11','+29:57:16.39',20.62,0.209122,4.7e-05,'0','GALAXY',''
'1939','53389','427','26','2183237349092124672','09:24:56.53','+29:52:01.64',35.21,0.07619,1.2e-05,'0','GALAXY','STARFORMING'
'1939','53389','428','26','2183237623970031616','09:25:55.95','+29:39:28.80',30.23,0.062129,8e-06,'0','GALAXY','STARFORMING'
'1939','53389','431','26','2183238448603752448','09:26:00.68','+29:28:41.39',29.49,0.077722,1e-05,'0','GALAXY','STARFORMING'
'1939','53389','432','26','2183238723481659392','09:25:17.65','+29:30:51.46',27.37,0.108588,2.2e-05,'0','GALAXY',''
'1939','53389','433','26','2183238998359566336','09:25:17.44','+29:25:55.55',24.08,0.026748,9e-06,'0','GALAXY','STARFORMING'
'1939','53389','434','26','2183239273237473280','09:25:17.40','+29:29:30.82',46.65,0.026563,1e-05,'0','GALAXY','STARFORMING'
'1939','53389','436','26','2183239822993287168','09:25:12.55','+29:23:41.64',22.58,0.077856,2.6e-05,'0','GALAXY',''
'1939','53389','438','26','2183240372749101056','09:25:48.77','+29:27:59.89',10.39,0.291504,7.1e-05,'0','GALAXY',''
'1939','53389','439','26','2183240647627008000','09:25:50.07','+29:39:48.90',7.68,0.062164,7e-06,'0','GALAXY','STARBURST'
'1939','53389','441','26','2183241197382821888','09:27:58.38','+30:04:43.44',17.91,0.189145,3.4e-05,'0','GALAXY',''
'1939','53389','442','26','2183241472260728832','09:27:38.89','+30:29:36.48',17.48,0.125511,3.4e-05,'0','GALAXY',''
'1939','53389','443','26','2183241747138635776','09:28:00.34','+30:45:33.49',22.84,0.059977,1.1e-05,'0','GALAXY','STARBURST'
'1939','53389','444','26','2183242022016542720','09:28:00.93','+30:02:13.08',50.47,0.026665,8e-06,'0','GALAXY',''
'1939','53389','447','26','2183242846650263552','09:28:32.91','+30:33:51.08',20.11,0.135335,7e-06,'0','GALAXY','STARBURST'
'1939','53389','448','26','2183243121528170496','09:27:57.69','+30:32:55.78',22.13,0.117633,2.4e-05,'0','GALAXY',''
'1939','53389','449','26','2183243396406077440','09:28:07.05','+30:27:42.80',21.38,0.093436,8e-06,'0','GALAXY','STARFORMING'
'1939','53389','450','26','2183243671283984384','09:28:02.64','+30:32:59.56',21.45,0.12697,3e-05,'0','GALAXY',''
'1939','53389','451','26','2183243946161891328','09:28:32.73','+30:30:25.49',22.28,0.138596,2.6e-05,'0','GALAXY',''
'1939','53389','452','26','2183244221039798272','09:27:48.15','+30:23:21.06',14.41,0.09298,2e-05,'0','GALAXY',''
'1939','53389','453','26','2183244495917705216','09:28:34.44','+30:35:41.71',23.18,0.127089,2.7e-05,'0','GALAXY',''
'1939','53389','454','26','2183244770795612160','09:27:41.93','+30:41:51.33',25.22,0.149267,2.9e-05,'0','GALAXY',''
'1939','53389','455','26','2183245045673519104','09:27:57.71','+30:00:39.72',32.01,0.02477,1.6e-05,'0','GALAXY',''
'1939','53389','456','26','2183245320551426048','09:28:11.29','+30:13:51.43',27.8,0.02511,1.7e-05,'0','GALAXY','STARFORMING'
'1939','53389','457','26','2183245595429332992','09:28:16.02','+30:41:05.51',12.62,0.149111,1.2e-05,'0','GALAXY','STARFORMING'
'1939','53389','458','26','2183245870307239936','09:28:34.46','+30:11:01.67',33.38,0.029013,1.2e-05,'0','GALAXY','STARFORMING'
'1939','53389','461','26','2183246694940960768','09:26:32.26','+29:54:46.89',18.06,0.188085,3.1e-05,'0','GALAXY',''
'1939','53389','462','26','2183246969818867712','09:26:48.70','+29:54:05.34',4.29,0.472391,0.000128,'0','GALAXY',''
'1939','53389','463','26','2183247244696774656','09:27:06.02','+29:45:04.00',25.96,0.02593,1.7e-05,'0','GALAXY','STARFORMING'
'1939','53389','464','26','2183247519574681600','09:26:17.30','+29:48:06.33',7.05,0.059558,1.8e-05,'0','GALAXY',''
'1939','53389','465','26','2183247794452588544','09:27:14.02','+29:52:03.14',9.77,0.310159,7.4e-05,'0','GALAXY',''
'1939','53389','466','26','2183248069330495488','09:26:35.47','+29:34:22.17',12.65,0.289036,6.3e-05,'0','GALAXY',''
'1939','53389','469','26','2183248893964216320','09:27:21.41','+29:53:48.90',13.41,0.025134,3.8e-05,'0','GALAXY',''
'1939','53389','470','26','2183249168842123264','09:26:20.74','+29:53:49.96',11.21,0.08735,1e-05,'0','GALAXY','STARFORMING'
'1939','53389','471','26','2183249443720030208','09:26:51.90','+29:31:23.66',5.6,0.450567,9.6e-05,'0','GALAXY',''
