objid,ra,dec,modelmag_r,modelmagerr_r,extinction_r,redshift,zErr
1237667324334571570,194.881667183867,28.1005372899575,17.60409,0.008677593,0.0237114,0.02477923,4.60533E-05
1237667324334571629,194.860799733229,27.9984691439052,15.5644,0.002966559,0.02053353,0.02224383,9.915561E-06
1237667324334571631,194.854357366458,27.9967289709423,16.87102,0.006439277,0.02099024,0.01828161,2.55621E-05
1237667324334571645,194.932181682094,27.9946833857208,14.93492,0.002398475,0.01827221,0.02225102,8.236569E-06
1237667324334571647,194.908273471813,28.0010090155298,17.80939,0.006436219,0.01826789,0.01658908,2.236452E-05
1237667324334571728,194.983378854076,28.034714810226,14.0069,0.001957995,0.0207584,0.02718822,7.87465E-06
1237667324334571778,194.857572540543,28.1869812852246,16.47345,0.003969957,0.02940677,0.02576436,1.437281E-05
1237667324334571792,194.906189530477,28.1661318210296,16.29041,0.003991616,0.02800889,0.01908395,1.235674E-05
1237667324334571816,194.919697520844,28.1446092010012,17.65437,0.007822499,0.02632542,0.02564753,3.827827E-05
1237667324334571822,194.933937605087,28.176314146945,17.0636,0.005672286,0.02726752,0.02771238,2.292298E-05
1237667324334571829,194.949036309029,28.0978860793512,17.74564,0.00770586,0.02309416,0.02126406,4.604499E-05
1237667324334571832,194.945554299629,27.9919122015786,17.56304,0.008102566,0.01856383,0.0280615,4.255464E-05
1237667324334571835,194.959522743348,28.1443742584014,16.48885,0.004882659,0.02523608,0.0226042,2.24936E-05
1237667324334571838,194.965661050222,28.0985259643157,16.4033,0.00479839,0.02362417,0.0255109,2.274915E-05
1237667324334571840,194.964420676349,28.0734807464163,16.32525,0.004500934,0.02194242,0.02498956,1.991027E-05
1237667324334571849,194.979546851179,28.1283564978155,15.06002,0.002481786,0.02434454,0.02523349,9.592123E-06
1237667324334571861,194.990049149968,28.0650983650021,16.60032,0.005000859,0.02241499,0.01948424,2.253241E-05
1237667324334637085,195.01850233818,27.9875782970746,13.93849,0.001930202,0.02125707,0.02125258,7.666592E-06
1237667324334637086,195.026605804919,28.004116613337,15.84291,0.003078342,0.02182946,0.02424595,8.421789E-06
1237667324334637091,195.022457096724,28.0244389380184,15.42348,0.00310904,0.02211214,0.01969106,1.168522E-05
1237667324334637131,195.033291417377,28.0785665802864,14.59633,0.002206201,0.02401582,0.0241407,7.679208E-06
1237667324334637140,195.053597313238,28.0754960776549,14.9407,0.002380718,0.02414212,0.02503316,6.865698E-06
1237667324334637152,195.061432511972,28.0412967617924,14.66149,0.002217651,0.02375866,0.01912005,8.111385E-06
1237667324334637189,195.092229985721,28.0470066525567,14.36483,0.002099178,0.02419422,0.02727107,7.952659E-06
1237667324334637213,195.128978885372,28.1083941339631,17.21823,0.007435316,0.02548665,0.01728046,3.11027E-05
1237667324334637227,195.148217631308,28.1461247282573,14.72715,0.002477421,0.02725781,0.01821857,8.894271E-06
1237667324334637239,195.1577533994,28.0579667049016,14.98677,0.003447957,0.02476737,0.02552748,6.92872E-06
1237667324334637274,195.017693325766,28.1551072976378,17.10276,0.006213952,0.02444176,0.02191547,2.081094E-05
1237667324334637285,195.037977566511,28.1703924435192,14.6945,0.002270041,0.02518038,0.02252319,8.196877E-06
1237667324334637287,195.03635958837,28.1598544379102,15.48387,0.003548374,0.02457356,0.0248898,1.575871E-05
1237667324334637325,195.046407325529,28.0652464762035,16.97856,0.005166061,0.02402985,0.02454435,2.571449E-05
1237667324334637329,195.055934005349,28.0532871738763,17.57608,0.009323749,0.02395277,0.02716134,5.016452E-05
1237667324334637347,195.070941548439,28.0639110960623,15.26779,0.002595221,0.02418567,0.02047269,8.252401E-06
1237667324334637348,195.076426775343,28.0592879102303,17.44511,0.00728797,0.0241849,0.03324928,3.124673E-05
1237667324334637356,195.077274091446,28.0971543321854,16.69533,0.006673062,0.0245312,0.02608,2.894902E-05
1237667324334637362,195.078668224167,28.0093072077635,17.04129,0.00460787,0.02359502,0.02068225,1.350661E-05
1237667324334637391,195.125788530825,28.1600474654896,17.36541,0.007106701,0.02707282,0.02358335,3.68797E-05
1237667324334702605,195.161501298619,28.0145264721627,14.65673,0.00238594,0.02447464,0.02535291,9.055879E-06
1237667324334702622,195.17813250627,27.9712623625048,13.91728,0.001892664,0.02384619,0.02125549,7.430903E-06
1237667324334702646,195.20332601424,28.1583432170809,13.28336,0.001792776,0.02749663,0.01936991,7.893767E-06
1237667324334702681,195.202694942104,28.090735952524,13.84622,0.001902932,0.025206,0.02324185,8.11779E-06
1237667324334702708,195.213150461449,28.0471389131688,15.84471,0.005981592,0.02428056,0.0211638,2.863144E-05
1237667324334702748,195.226908526339,28.0076343782209,13.04475,0.001684989,0.02305299,0.01662251,9.836128E-06
1237667324334702866,195.171635650757,28.0451195506376,17.32846,0.005682242,0.02469212,0.02876968,2.11771E-05
1237667324334702869,195.17019516335,27.9966036824449,14.42402,0.00217353,0.02423478,0.02363859,7.881614E-06
1237667324334702891,195.185975736092,28.1006362370394,15.31628,0.002728006,0.02552119,0.0220089,8.45578E-06
1237667324334702937,195.273564431493,28.0620566176221,17.17393,0.006468179,0.02331139,0.02479465,2.906063E-05
1237667324334702963,195.289310063338,28.0331184270613,16.09503,0.00338988,0.02195486,0.02342906,1.263027E-05
1237667324334702972,195.306931869738,28.0831231844849,16.92393,0.005735747,0.02236586,0.01937423,2.357412E-05
1237667324334702984,195.324346807909,28.0970738409799,17.48396,0.007049652,0.02164342,0.02682218,2.96175E-05
1237667324334702990,195.32940726419,28.1281384625659,16.86694,0.004580232,0.02188537,0.0227095,2.0353E-05
1237667324334768181,195.445895535783,28.0950007428482,14.08656,0.002035328,0.01928538,0.01935221,7.293863E-06
1237667324334768238,195.489890494881,28.0058364644686,13.33554,0.001737422,0.02102562,0.02574884,1.089896E-05
1237667442974589034,194.016549735472,27.1504293109407,16.15069,0.004482988,0.01673665,0.02450164,1.679766E-05
1237667442974589337,193.957385477591,27.0888294984274,17.48213,0.02184826,0.01671769,0.02280631,0.0001028686
1237667442974654493,194.133499902156,27.0555849073229,14.79552,0.002375713,0.02381092,0.02041028,7.184913E-06
1237667442974654524,194.181323733689,27.1787951884456,12.89595,0.001630555,0.01986237,0.02531029,7.704532E-06
1237667442974654645,194.181321571822,27.0347577597302,15.43681,0.00294019,0.02489038,0.01871678,1.015576E-05
1237667442974654664,194.206891814416,27.0939123077021,14.67642,0.002405813,0.02175858,0.02308111,1.296941E-05
1237667442974654799,194.195850209883,27.0569299360666,17.77309,0.01411241,0.02363701,0.02167405,9.699366E-05
1237667442974720027,194.327299559175,26.9795703871009,17.43144,0.008142888,0.02557139,0.02434756,3.071477E-05
1237667442974720035,194.339534742142,27.0229899770861,16.00986,0.004501767,0.02529085,0.0267178,2.311742E-05
1237667442974720048,194.345500492722,26.9877482068734,16.89733,0.008570787,0.02565541,0.02784048,6.183345E-05
1237667442974720099,194.29982111634,27.1033357393338,16.25402,0.004511135,0.02218913,0.02450604,1.810463E-05
1237667442974720162,194.402256994964,27.0313687905942,14.77747,0.002371351,0.02508073,0.02452595,7.698054E-06
1237667442974785616,194.550093323012,27.1276344870915,16.5955,0.00474172,0.02171467,0.03877467,1.836486E-05
1237667442974785639,194.573628799298,27.136491543337,14.23857,0.00230235,0.02313228,0.03964745,1.51355E-05
1237667442974785694,194.454410293721,27.0676369064935,17.64298,0.007856582,0.02386755,0.039381,1.871229E-05
1237667442974785715,194.486076326311,27.037503631457,15.11777,0.002868125,0.0229979,0.02471841,1.170401E-05
1237667442974785781,194.564897908485,27.0872176077251,16.60145,0.005888263,0.0219495,0.02574945,3.495907E-05
1237667442974851089,194.651496545238,27.1041321032733,14.09902,0.002042587,0.02511763,0.02649158,7.26502E-06
1237667442974851227,194.612874472817,27.0234643455639,17.11574,0.006136486,0.02366617,0.02515675,6.067997E-06
1237667442974851236,194.628474237004,26.9949379848372,17.65178,0.01341219,0.02349108,0.02486227,3.674693E-06
1237667442974851251,194.661203912329,27.013245572489,16.98796,0.01435403,0.02350207,0.02340464,8.659827E-06
1237667442974916615,194.769318215841,26.9581915564873,16.48322,0.00621622,0.02112535,0.02700072,3.277534E-05
1237667442974916766,194.819454487904,27.1061439810947,16.0961,0.003459005,0.02587993,0.02795333,8.841769E-06
1237667442974982263,194.936973219114,26.95480030691,16.96306,0.005396672,0.02323283,0.0342463,7.099282E-06
1237667442974982277,194.955220829712,26.9743320520353,16.98191,0.007207798,0.02346303,0.0235064,7.267771E-06
1237667442974982309,195.004939532932,26.9561033987463,17.08089,0.006029966,0.02292616,0.02391594,2.85107E-05
1237667442974982311,195.019097162347,27.0324696954038,16.73576,0.006262279,0.02252989,0.0232099,3.110764E-05
1237667442975048023,195.2300454816,27.1215892710942,17.69661,0.01470853,0.02046915,0.02148224,9.606255E-05
1237667443511394328,193.871236167837,27.5214355889665,13.29469,0.001738516,0.02359234,0.0232714,8.159388E-06
1237667443511394428,193.860703575071,27.6040406558282,16.40903,0.005378174,0.02302923,0.02261553,2.288787E-05
1237667443511394444,193.87754691215,27.5442726854574,15.15299,0.002944608,0.02328698,0.02343068,1.015666E-05
1237667443511459907,193.984549587069,27.6097889714613,16.21185,0.00629179,0.02006704,0.02273921,3.621045E-05
1237667443511459955,194.060924012978,27.506304128918,16.16508,0.00367938,0.02346592,0.02478419,1.272533E-05
1237667443511459972,194.069535570244,27.4459829954475,14.9975,0.002543938,0.02262507,0.02136024,1.000571E-05
