#     initial_mass           star_mass            log_Teff               log_g                log_L              Bessell_U            Bessell_B            Bessell_V            Bessell_R            Bessell_I             2MASS_J              2MASS_H             2MASS_Ks            Gaia_G_MAW          Gaia_BP_MAWb         Gaia_BP_MAWf          Gaia_RP_MAW          Gaia_G_EDR3         Gaia_BP_EDR3         Gaia_RP_EDR3     
        0.1892288919         0.1892263187         3.5048857521         5.0581150323        -2.3742310617        15.5300330000        14.4470860000        12.9955770000        11.7891470000        10.2794080000         8.7955310000         8.1424750000         7.9253350000        11.7236710000        13.2192190000        13.2624140000        10.5561990000        11.7432450000        13.2407360000        10.5536100000
        0.1989748698         0.1989720570         3.5075444253         5.0438358883        -2.3254819656        15.3315350000        14.2567650000        12.8127310000        11.6260280000        10.1427330000         8.6816560000         8.0297690000         7.8131590000        11.5757740000        13.0368580000        13.0800930000        10.4182840000        11.5953780000        13.0581210000        10.4158210000
        0.2075624177         0.2075593836         3.5098508120         5.0315689303        -2.2836926811        15.1637340000        14.0954530000        12.6577900000        11.4871160000        10.0260430000         8.5838890000         7.9328540000         7.7167290000        11.4494170000        12.8822940000        12.9255650000        10.3003980000        11.4690420000        12.9033430000        10.2980510000
        0.2130381064         0.2130349480         3.5112017461         5.0255322723        -2.2617508671        15.0740170000        14.0087860000        12.5745830000        11.4127390000         9.9642960000         8.5328730000         7.8822040000         7.6664070000        11.3820920000        12.7992670000        12.8425620000        10.2379230000        11.4017300000        12.8202000000        10.2356440000
        0.2185412793         0.2185379819         3.5125654816         5.0192598091        -2.2393573404        14.9836430000        13.9213920000        12.4906860000        11.3374570000         9.9015620000         8.4807120000         7.8303760000         7.6149140000        11.3137400000        12.7155440000        12.7588620000        10.1744120000        11.3333910000        12.7363600000        10.1722080000
        0.2239579069         0.2239545103         3.5138826110         5.0138277328        -2.2187430802        14.9002490000        13.8404490000        12.4129700000        11.2677140000         9.8436950000         8.4328260000         7.7827320000         7.5676110000        11.2504970000        12.6379700000        12.6813140000        10.1157730000        11.2701600000        12.6586790000        10.1136420000
        0.2294385263         0.2294349800         3.5152427241         5.0074982208        -2.1963507037        14.8117200000        13.7545700000        12.3305230000        11.1932820000         9.7813760000         8.3805780000         7.7307260000         7.5159550000        11.1826180000        12.5556730000        12.5990390000        10.0526130000        11.2022920000        12.5762690000        10.0505590000
        0.2348221277         0.2348184272         3.5165798699         5.0012341596        -2.1743036841        14.7254620000        13.6707510000        12.2500460000        11.1204140000         9.7202210000         8.3290960000         7.6794380000         7.4650200000        11.1160200000        12.4753300000        12.5187200000         9.9905990000        11.1357050000        12.4958190000         9.9886240000
        0.2402836847         0.2402798203         3.5179371527         4.9948745270        -2.1519294505        14.6409010000        13.5878170000        12.1704890000        11.0478400000         9.6585900000         8.2766750000         7.6269230000         7.4129550000        11.0492360000        12.3958260000        12.4392310000         9.9281540000        11.0689310000        12.4162240000         9.9262540000
        0.2457649235         0.2457608914         3.5192942673         4.9887196273        -2.1300396797        14.5588820000        13.5070530000        12.0930210000        10.9770200000         9.5984020000         8.2254250000         7.5754670000         7.3619730000        10.9839820000        12.3183880000        12.3618090000         9.8671410000        11.0036860000        12.3386980000         9.8653160000
        0.2512389547         0.2512347477         3.5206495239         4.9826008250        -2.1082577474        14.4778920000        13.4271530000        12.0163540000        10.9067880000         9.5386630000         8.1744360000         7.5242210000         7.3112060000        10.9191860000        12.2417450000        12.2851830000         9.8065450000        10.9389000000        12.2619710000         9.8047980000
        0.2570171934         0.2570128033         3.5220665207         4.9767445781        -2.0866414366        14.3969590000        13.3470650000        11.9394900000        10.8364590000         9.4792390000         8.1240330000         7.4735040000         7.2609900000        10.8544560000        12.1649040000        12.2083630000         9.7461920000        10.8741800000        12.1850420000         9.7445280000
        0.2630696115         0.2630650363         3.5235312662         4.9714369066        -2.0658901790        14.3181790000        13.2688170000        11.8643850000        10.7679140000         9.4219280000         8.0759370000         7.4250410000         7.2130430000        10.7916300000        12.0898130000        12.1332990000         9.6878790000        10.8113630000        12.1098650000         9.6863030000
        0.2692359554         0.2692311830         3.5250228294         4.9661086253        -2.0448306273        14.2388390000        13.1898370000        11.7885260000        10.6985500000         9.3639140000         8.0271490000         7.3758340000         7.1643650000        10.7279830000        12.0139680000        12.0574820000         9.6288050000        10.7477280000        12.0339320000         9.6273220000
        0.2752151553         0.2752101837         3.5264689616         4.9609606567        -2.0244294724        14.1625800000        13.1137700000        11.7154090000        10.6315700000         9.3078620000         7.9799030000         7.3281360000         7.1171840000        10.6664550000        11.9408630000        11.9844060000         9.5716910000        10.6862100000        11.9607410000         9.5702990000
