#     initial_mass           star_mass            log_Teff               log_g                log_L              Bessell_U            Bessell_B            Bessell_V            Bessell_R            Bessell_I             2MASS_J              2MASS_H             2MASS_Ks            Gaia_G_MAW          Gaia_BP_MAWb         Gaia_BP_MAWf          Gaia_RP_MAW          Gaia_G_EDR3         Gaia_BP_EDR3         Gaia_RP_EDR3     
        0.1938455639         0.1938431531         3.5060839536         5.0531906066        -2.3532912795        15.4440000000        14.3641160000        12.9156700000        11.7181260000        10.2202820000         8.7468060000         8.0942040000         7.8774380000        11.6595580000        13.1395070000        13.1827250000        10.4965650000        11.6791470000        13.1609150000        10.4940280000
        0.2034294554         0.2034268300         3.5086912943         5.0394868325        -2.3058691980        15.2521250000        14.1798570000        12.7386490000        11.5598480000        10.0875430000         8.6359680000         7.9844180000         7.7680520000        11.5158560000        12.9629330000        13.0061910000        10.3625470000        11.5354710000        12.9840970000        10.3601360000
        0.2103358262         0.2103330558         3.5104730447         5.0309261402        -2.2753236394        15.1283770000        14.0605830000        12.6240940000        11.4573020000        10.0019080000         8.5647270000         7.9137440000         7.6977930000        11.4228120000        12.8486410000        12.8919300000        10.2759720000        11.4424460000        12.8696470000        10.2736530000
        0.2158606493         0.2158577581         3.5118394707         5.0247748189        -2.2529985142        15.0376630000        13.9729140000        12.5399280000        11.3819290000         9.9392210000         8.5127740000         7.8621470000         7.6465300000        11.3544870000        12.7646540000        12.8079660000        10.2125280000        11.3741330000        12.7855420000        10.2102800000
        0.2213116847         0.2213086690         3.5131885192         5.0186366053        -2.2308990203        14.9488240000        13.8869330000        12.4573860000        11.3077730000         9.8773860000         8.4612910000         7.8109710000         7.5956910000        11.2871040000        12.6822780000        12.7256130000        10.1499090000        11.3067620000        12.7030520000        10.1477350000
        0.2267708220         0.2267677125         3.5145164882         5.0131391178        -2.2100359257        14.8648990000        13.8054240000        12.3791260000        11.2374260000         9.8189330000         8.4127980000         7.7627070000         7.5477720000        11.2232360000        12.6041570000        12.6475170000        10.0906610000        11.2429060000        12.6248250000        10.0885620000
        0.2322542747         0.2322510295         3.5158754422         5.0068610358        -2.1876941071        14.7769370000        13.7200260000        12.2971370000        11.1633160000         9.7568380000         8.3606570000         7.7107890000         7.4962080000        11.1555940000        12.5223120000        12.5656960000        10.0277080000        11.1752750000        12.5428680000        10.0256870000
        0.2376392996         0.2376359151         3.5172110107         5.0006395099        -2.1656931555        14.6912100000        13.6366560000        12.2170890000        11.0907480000         9.6958890000         8.3092740000         7.6595820000         7.4453560000        11.0892160000        12.4423930000        12.4858000000         9.9658860000        11.1089070000        12.4628410000         9.9639450000
        0.2431842063         0.2431806732         3.5185842413         4.9943326256        -2.1432915430        14.6068660000        13.5537870000        12.1376020000        11.0181640000         9.6342320000         8.2568060000         7.6069720000         7.3932140000        11.0223840000        12.3629480000        12.4063700000         9.9033990000        11.0420850000        12.3833070000         9.9015340000
        0.2487386021         0.2487349168         3.5199547029         4.9882357119        -2.1214231219        14.5249810000        13.4730820000        12.0601850000        10.9473620000         9.5741190000         8.2056430000         7.5555840000         7.3423060000        10.9571500000        12.2855590000        12.3289980000         9.8424360000        10.9768610000        12.3058300000         9.8406480000
        0.2543991959         0.2543953483         3.5213519569         4.9820320538        -2.0991385547        14.4422550000        13.3913920000        11.9817920000        10.8755070000         9.5130370000         8.1535060000         7.5031660000         7.2903820000        10.8908490000        12.2071890000        12.2506470000         9.7804530000        10.9105690000        12.2273740000         9.7787470000
        0.2604950546         0.2604910431         3.5228298101         4.9764940244        -2.0778293723        14.3614150000        13.3112310000        11.9048740000        10.8053030000         9.4542060000         8.1040420000         7.4533610000         7.2410980000        10.8264590000        12.1302880000        12.1737710000         9.7206280000        10.8461890000        12.1503840000         9.7190100000
        0.2667110373         0.2667068536         3.5243325459         4.9710477526        -2.0565285103        14.2808950000        13.2311920000        11.8280320000        10.7350920000         9.3954700000         8.0546730000         7.4035980000         7.1918680000        10.7620560000        12.0534620000        12.0969720000         9.6608430000        10.7817970000        12.0734680000         9.6593170000
        0.2728347329         0.2728303721         3.5258128940         4.9657006044        -2.0355624692        14.2022910000        13.1528920000        11.7528120000        10.6662250000         9.3378190000         8.0060930000         7.3545840000         7.1433810000        10.6988080000        11.9782540000        12.0217910000         9.6021190000        10.7185590000        11.9981730000         9.6006870000
        0.2787064789         0.2787019411         3.5272324332         4.9605705489        -2.0154557435        14.1274950000        13.0782340000        11.6810360000        10.6003940000         9.2826750000         7.9595170000         7.3075490000         7.0968550000        10.6382780000        11.9064870000        11.9500540000         9.5459110000        10.6580390000        11.9263240000         9.5445700000
        0.2851872060         0.2851823012         3.5288540385         4.9549096352        -1.9931220229        14.0443080000        12.9950080000        11.6009980000        10.5269880000         9.2214210000         7.9079200000         7.2553870000         7.0452790000        10.5708460000        11.8264580000        11.8700600000         9.4834000000        10.5906180000        11.8462020000         9.4821660000
        0.2909598477         0.2909547556         3.5302553650         4.9500435897        -1.9735789410        13.9723430000        12.9228350000        11.5314830000        10.4630910000         9.1680000000         7.8627490000         7.2096890000         7.0000890000        10.5120530000        11.7569510000        11.8005860000         9.4288560000        10.5318360000        11.7766150000         9.4277160000
        0.2963733386         0.2963680650         3.5315876711         4.9455578108        -1.9553511444        13.9052310000        12.8553670000        11.4664490000        10.4033140000         9.1181810000         7.8207110000         7.1671210000         6.9580080000        10.4570940000        11.6919250000        11.7355930000         9.3779360000        10.4768850000        11.7115140000         9.3768880000
        0.3016859445         0.3016804819         3.5328823433         4.9412292144        -1.9375442348        13.8401280000        12.7897910000        11.4031660000        10.3450700000         9.0696150000         7.7796490000         7.1255180000         6.9168820000        10.4035020000        11.6286500000        11.6723510000         9.3282730000        10.4233030000        11.6481660000         9.3273150000
        0.3057707302         0.3057651165         3.5339397610         4.9382721840        -1.9244389746        13.7908590000        12.7399520000        11.3550680000        10.3010510000         9.0335640000         7.7497380000         7.0951670000         6.8869210000        10.3632990000        11.5805580000        11.6242900000         9.2912980000        10.3831070000        11.6000150000         9.2904160000
        0.3097616881         0.3097559246         3.5349825925         4.9355063135        -1.9118285062        13.7432540000        12.6916890000        11.3084550000        10.2584310000         8.9988290000         7.7210460000         7.0660340000         6.8581750000        10.3244410000        11.5339520000        11.5777140000         9.2556320000        10.3442560000        11.5533500000         9.2548260000
        0.3126269261         0.3126204103         3.5358960354         4.9331054998        -1.9017901774        13.7041530000        12.6520670000        11.2703100000        10.2237430000         8.9709790000         7.6984240000         7.0430210000         6.8355070000        10.2929950000        11.4958120000        11.5396010000         9.2269610000        10.3128180000        11.5151600000         9.2262210000
        0.3136519486         0.3136453754         3.5361292139         4.9324589954        -1.8987976884        13.6931240000        12.6408770000        11.2594800000        10.2137990000         8.9627950000         7.6915810000         7.0360730000         6.8286480000        10.2838840000        11.4849840000        11.5287810000         9.2185640000        10.3037090000        11.5043190000         9.2178410000
        0.3146938653         0.3146872400         3.5363979925         4.9318027373        -1.8956297410        13.6811350000        12.6286850000        11.2476890000        10.2030250000         8.9540630000         7.6844010000         7.0287760000         6.8214520000        10.2740780000        11.4731940000        11.5169990000         9.2095840000        10.2939040000        11.4925140000         9.2088800000
        0.3157568515         0.3157501791         3.5366326511         4.9311370297        -1.8925597643        13.6699040000        12.6172880000        11.2366520000        10.1928760000         8.9456870000         7.6773690000         7.0216380000         6.8144040000        10.2647670000        11.4621590000        11.5059720000         9.2009920000        10.2845950000        11.4814660000         9.2003050000
