#     initial_mass           star_mass            log_Teff               log_g                log_L              Bessell_U            Bessell_B            Bessell_V            Bessell_R            Bessell_I             2MASS_J              2MASS_H             2MASS_Ks            Gaia_G_MAW          Gaia_BP_MAWb         Gaia_BP_MAWf          Gaia_RP_MAW          Gaia_G_EDR3         Gaia_BP_EDR3         Gaia_RP_EDR3     
        0.1947069548         0.1947043199         3.5063561116         5.0507175215        -2.3477579377        15.4214480000        14.3428730000        12.8954050000        11.6999930000        10.2049430000         8.7338050000         8.0813870000         7.8646760000        11.6430190000        13.1193110000        13.1625310000        10.4810780000        11.6626090000        13.1406890000        10.4785560000
        0.2031923722         0.2031895329         3.5086286214         5.0388713080        -2.3069116542        15.2556590000        14.1836440000        12.7424550000        11.5633200000        10.0904870000         8.6383990000         7.9868830000         7.7704920000        11.5190150000        12.9667470000        13.0100020000        10.3655050000        11.5386300000        12.9879120000        10.3630930000
        0.2108449872         0.2108419554         3.5106493525         5.0284374091        -2.2710046305        15.1116470000        14.0449990000        12.6092990000        11.4438360000         9.9902220000         8.5544410000         7.9036040000         7.6876760000        11.4103160000        12.8339010000        12.8771890000        10.2641580000        11.4299500000        12.8548840000        10.2618510000
        0.2163167210         0.2163135767         3.5119917208         5.0226201936        -2.2494911468        15.0239000000        13.9601110000        12.5277980000        11.3709090000         9.9297080000         8.5044410000         7.8539310000         7.6383350000        11.3442790000        12.7525700000        12.7958810000        10.2029020000        11.3639260000        12.7734380000        10.2006650000
        0.2218151818         0.2218118994         3.5133543245         5.0163468121        -2.2271103570        14.9341070000        13.8732000000        12.4443650000        11.2959110000         9.8671270000         8.4522840000         7.8020800000         7.5868240000        11.2760990000        12.6693030000        12.7126370000        10.1395250000        11.2957570000        12.6900570000        10.1373630000
        0.2272242580         0.2272208642         3.5146774602         5.0106778676        -2.2060746214        14.8498550000        13.7914030000        12.3658310000        11.2252430000         9.8082910000         8.4033390000         7.7533650000         7.5384530000        11.2118640000        12.5909110000        12.6342700000        10.0798910000        11.2315350000        12.6115570000        10.0778040000
        0.2327045313         0.2327009881         3.5160374550         5.0043442249        -2.1836792525        14.7618410000        13.7059350000        12.2837750000        11.1510370000         9.7460820000         8.3510620000         7.7013030000         7.4867480000        11.1441090000        12.5089970000        12.5523790000        10.0168210000        11.1637900000        12.5295310000        10.0148120000
        0.2380762798         0.2380725831         3.5173716405         4.9980888138        -2.1616756922        14.6770490000        13.6232250000        12.2043890000        11.0789100000         9.6852490000         8.2996090000         7.6499280000         7.4357600000        11.0779890000        12.4297100000        12.4731120000         9.9551460000        11.0976790000        12.4501440000         9.9532150000
        0.2435391324         0.2435352720         3.5187291960         4.9917267097        -2.1392953796        14.5934200000        13.5409740000        12.1254940000        11.0067540000         9.6237690000         8.2471310000         7.5972670000         7.3835720000        11.0114420000        12.3508480000        12.3942640000         9.8928540000        11.0311430000        12.3711950000         9.8909970000
        0.2492075664         0.2492035391         3.5201236094         4.9857401686        -2.1175372307        14.5115020000        13.4601700000        12.0479870000        10.9359530000         9.5638480000         8.1963120000         7.5462090000         7.3330030000        10.9463060000        12.2733680000        12.3168020000         9.8320640000        10.9660170000        12.2936270000         9.8302860000
