#     initial_mass           star_mass            log_Teff               log_g                log_L              Bessell_U            Bessell_B            Bessell_V            Bessell_R            Bessell_I             2MASS_J              2MASS_H             2MASS_Ks            Gaia_G_MAW          Gaia_BP_MAWb         Gaia_BP_MAWf          Gaia_RP_MAW          Gaia_G_EDR3         Gaia_BP_EDR3         Gaia_RP_EDR3     
        0.1081161425         0.1081158597         3.4644781767         5.2151962553        -2.9359091386        18.3548680000        17.1157510000        15.5226490000        13.9149820000        11.9844170000        10.0692900000         9.3831580000         9.1562190000        13.5744650000        15.7377990000        15.7806640000        12.2533340000        13.5933050000        15.7628860000        12.2507490000
        0.1121980367         0.1121977390         3.4673445048         5.2054679958        -2.9003398661        18.1479020000        16.9224030000        15.3440810000        13.7710340000        11.8664120000         9.9873080000         9.3055060000         9.0798230000        13.4498790000        15.5598430000        15.6026790000        12.1384790000        13.4688050000        15.5847710000        12.1356920000
        0.1163253172         0.1163250039         3.4702424659         5.1956300494        -2.8643745329        17.9409640000        16.7288860000        15.1649070000        13.6260380000        11.7482720000         9.9047070000         9.2269330000         9.0024830000        13.3244930000        15.3811930000        15.4240060000        12.0231130000        13.3435030000        15.4059480000        12.0201510000
        0.1208192698         0.1208189387         3.4733980905         5.1849168269        -2.8252119172        17.7186130000        16.5207200000        14.9717290000        13.4689160000        11.6211360000         9.8152470000         9.1414780000         8.9182760000        13.1887970000        15.1885620000        15.2312950000        11.8985610000        13.2078910000        15.2130740000        11.8954430000
        0.1251087768         0.1251084280         3.4764104740         5.1746918858        -2.7878305692        17.5096930000        16.3248560000        14.7892800000        13.3198200000        11.5013960000         9.7304540000         9.0601670000         8.8380120000        13.0602400000        15.0068600000        15.0495910000        11.7808920000        13.0794120000        15.0311550000        11.7776590000
        0.1293192511         0.1293188841         3.4793676658         5.1646560476        -2.7511374309        17.3081090000        16.1356770000        14.6120080000        13.1741910000        11.3855240000         9.6484800000         8.9806930000         8.7593880000        12.9349830000        14.8303540000        14.8730970000        11.6666140000        12.9542260000        14.8544140000        11.6633050000
        0.1340356823         0.1340352944         3.4825253442         5.1537690918        -2.7113478742        17.0948810000        15.9345710000        14.4225980000        13.0174620000        11.2620350000         9.5600670000         8.8945360000         8.6739770000        12.8004360000        14.6417180000        14.6844940000        11.5441530000        12.8197420000        14.6655030000        11.5408170000
        0.1481597397         0.1481592834         3.4917297375         5.1217431915        -2.5943273440        16.4912260000        15.3631340000        13.8775060000        12.5607400000        10.9072480000         9.3009990000         8.6407810000         8.4217450000        12.4089110000        14.0985890000        14.1415310000        11.1891710000        12.4283520000        14.1214790000        11.1860000000
        0.1562112954         0.1562108024         3.4951363747         5.1085742879        -2.5446704758        16.2581250000        15.1413750000        13.6639450000        12.3773920000        10.7621730000         9.1890930000         8.5306740000         8.3120710000        12.2491510000        13.8856780000        13.9286950000        11.0431250000        12.2686310000        13.9082160000        11.0400830000
        0.1698768634         0.1698763116         3.4990967735         5.0911686471        -2.4769859385        15.9651540000        14.8614550000        13.3938050000        12.1408320000        10.5695160000         9.0336330000         8.3773010000         8.1592380000        12.0391180000        13.6162810000        13.6593810000        10.8489500000        12.0586370000        13.6384050000        10.8460830000
        0.1841326114         0.1841319951         3.5032293233         5.0729938409        -2.4063618191        15.6650100000        14.5737870000        13.1163860000        11.8964180000        10.3691020000         8.8705890000         8.2163110000         7.9987470000        11.8207830000        13.3395900000        13.3827760000        10.6467630000        11.8403430000        13.3613020000        10.6440850000
        0.1983390315         0.1983383489         3.5071339813         5.0556664119        -2.3384581999        15.3837970000        14.3033780000        12.8562090000        11.6654790000        10.1773390000         8.7127760000         8.0601230000         7.8436870000        11.6126020000        13.0800720000        13.1233310000        10.4532830000        11.6322070000        13.1014230000        10.4507810000
        0.2053387918         0.2053380776         3.5088748208         5.0492672223        -2.3106927519        15.2681170000        14.1915320000        12.7486590000        11.5699740000        10.0985620000         8.6484680000         7.9963450000         7.7801480000        11.5266420000        12.9727630000        13.0160570000        10.3736780000        11.5462650000        12.9939650000        10.3712580000
        0.2122094534         0.2122087073         3.5105819590         5.0429708387        -2.2834366673        15.1560100000        14.0829660000        12.6442810000        11.4768980000        10.0215640000         8.5852390000         7.9335700000         7.7177900000        11.4426160000        12.8686060000        12.9119330000        10.2958000000        11.4622560000        12.8896640000        10.2934650000
        0.2189518428         0.2189510647         3.5122269773         5.0371679564        -2.2577143104        15.0508560000        13.9808870000        12.5461590000        11.3891780000         9.9490170000         8.5255850000         7.8742780000         7.6589140000        11.3633310000        12.7706720000        12.8140320000        10.2223520000        11.3829880000        12.7915950000        10.2201020000
        0.2248971939         0.2248963870         3.5136680841         5.0322358669        -2.2355256983        14.9607520000        13.8932370000        12.4619160000        11.3136780000         9.8865610000         8.4741340000         7.8230880000         7.6080990000        11.2950000000        12.6865780000        12.7299660000        10.1590660000        11.3146700000        12.7073860000        10.1568940000
