#     initial_mass           star_mass            log_Teff               log_g                log_L              Bessell_U            Bessell_B            Bessell_V            Bessell_R            Bessell_I             2MASS_J              2MASS_H             2MASS_Ks            Gaia_G_MAW          Gaia_BP_MAWb         Gaia_BP_MAWf          Gaia_RP_MAW          Gaia_G_EDR3         Gaia_BP_EDR3         Gaia_RP_EDR3     
        0.2094262449         0.2094230905         3.5103017514         5.0292948549        -2.2765095931        15.1338230000        14.0666940000        12.6302400000        11.4625760000        10.0057630000         8.5672210000         7.9163270000         7.7003080000        11.4272590000        12.8548110000        12.8980880000        10.2798740000        11.4468900000        12.8758190000        10.2775500000
        0.2153009476         0.2152976412         3.5117790849         5.0222764627        -2.2517543364        15.0338750000        13.9701880000        12.5375860000        11.3794880000         9.9364260000         8.5095090000         7.8590200000         7.6433570000        11.3518130000        12.7623560000        12.8056600000        10.2097180000        11.3714570000        12.7832370000        10.2074720000
        0.2207792034         0.2207757999         3.5131118189         5.0168165221        -2.2309282322        14.9491040000        13.8879710000        12.4586430000        11.3087740000         9.8778410000         8.4611590000         7.8109380000         7.5956140000        11.2877780000        12.6835650000        12.7268930000        10.1503720000        11.3074340000        12.7043350000        10.1481970000
        0.2262601592         0.2262566055         3.5144720363         5.0104903329        -2.2085381139        14.8600730000        13.8016890000        12.3758130000        11.2341220000         9.8154150000         8.4089370000         7.7589840000         7.5440070000        11.2197800000        12.6008910000        12.6442420000        10.0871240000        11.2394480000        12.6215480000        10.0850260000
        0.2316552824         0.2316515736         3.5158120396         5.0042175119        -2.1864485789        14.7731490000        13.7173070000        12.2948020000        11.1608900000         9.7540310000         8.3573750000         7.7076420000         7.4930140000        11.1529280000        12.5200200000        12.5633950000        10.0248970000        11.1726060000        12.5405680000        10.0228760000
        0.2371155800         0.2371117115         3.5171666384         4.9979362282        -2.1642204770        14.6873300000        13.6335770000        12.2144370000        11.0879150000         9.6925250000         8.3054130000         7.6557540000         7.4415220000        11.0860630000        12.4397560000        12.4831500000         9.9625440000        11.1057530000        12.4602020000         9.9606020000
        0.2424749481         0.2424709112         3.5184996310         4.9916658715        -2.1422307434        14.6050690000        13.5526940000        12.1368590000        11.0169870000         9.6320960000         8.2538510000         7.6040170000         7.3902490000        11.0206620000        12.3622110000        12.4056200000         9.9013230000        11.0403610000        12.3825700000         9.8994540000
        0.2478027391         0.2477985265         3.5198258700         4.9854121004        -2.1203458086        14.5239120000        13.4727570000        12.0601630000        10.9467040000         9.5721270000         8.2025250000         7.5524670000         7.3391660000        10.9557530000        12.2855420000        12.3289660000         9.8405380000        10.9754610000        12.3058190000         9.8387420000
        0.2534807903         0.2534763937         3.5212237976         4.9794334850        -2.0985951623        14.4425520000        13.3923660000        11.9830200000        10.8761220000         9.5123500000         8.1517310000         7.5013880000         7.2885800000        10.8907500000        12.2084230000        12.2518660000         9.7798630000        10.9104680000        12.2286120000         9.7781500000
        0.2595034798         0.2594988961         3.5226845345         4.9740283907        -2.0776663189        14.3629730000        13.3134350000        11.9072750000        10.8070320000         9.4545160000         8.1031780000         7.4524940000         7.2402000000        10.8274240000        12.1326960000        12.1761650000         9.7210530000        10.8471520000        12.1527980000         9.7194260000
