#     initial_mass           star_mass            log_Teff               log_g                log_L              Bessell_U            Bessell_B            Bessell_V            Bessell_R            Bessell_I             2MASS_J              2MASS_H             2MASS_Ks            Gaia_G_MAW          Gaia_BP_MAWb         Gaia_BP_MAWf          Gaia_RP_MAW          Gaia_G_EDR3         Gaia_BP_EDR3         Gaia_RP_EDR3     
        0.1042309233         0.1042306379         3.4617562796         5.2244108936        -2.9696944807        18.5533540000        17.3009950000        15.6932220000        14.0520950000        12.0974380000        10.1472890000         9.4567450000         9.2286150000        13.6931980000        15.9077840000        15.9506680000        12.3629630000        13.7119480000        15.9330130000        12.3605990000
        0.1072229051         0.1072226082         3.4638623620         5.2172972918        -2.9436193265        18.3997940000        17.1577000000        15.5613290000        13.9461370000        12.0100760000        10.0870990000         9.3999880000         9.1727790000        13.6014630000        15.7763470000        15.8192200000        12.2782610000        13.6202820000        15.8014670000        12.2757230000
        0.1115159183         0.1115156043         3.4668770157         5.2070617451        -2.9062059442        18.1816770000        16.9539760000        15.3732890000        13.7946410000        11.8857450000        10.0008230000         9.3183380000         9.0924520000        13.4703250000        15.5889510000        15.6317920000        12.1573270000        13.4892380000        15.6139070000        12.1545700000
        0.1156723626         0.1156720314         3.4697961272         5.1971527848        -2.8699822887        17.9728510000        16.7587240000        15.1925530000        13.6484990000        11.7665550000         9.9175740000         9.2392020000         9.0145660000        13.3439300000        15.4087850000        15.4516030000        12.0409950000        13.3629280000        15.4335690000        12.0380570000
        0.1201488312         0.1201484805         3.4729404302         5.1864813243        -2.8309683008        17.7508580000        16.5509300000        14.9998190000        13.4918410000        11.6396620000         9.8283750000         9.1540470000         8.9306730000        13.2086090000        15.2165440000        15.2592780000        11.9167390000        13.2276910000        15.2410870000        11.9136420000
        0.1476716778         0.1476711882         3.4913481585         5.1230625558        -2.5990847224        16.5154110000        15.3860450000        13.8995400000        12.5793210000        10.9215440000         9.3115090000         8.6510950000         8.4320070000        12.4248230000        14.1205500000        14.1634830000        11.2035490000        12.4442600000        14.1434780000        11.2003670000
        0.1582087368         0.1582081970         3.4950612138         5.1078203519        -2.5408149878        16.2498400000        15.1334000000        13.6560450000        12.3689780000        10.7530240000         9.1792310000         8.5208470000         8.3022200000        12.2402720000        13.8777880000        13.9207980000        11.0339780000        12.2597480000        13.9003270000        11.0309340000
        0.1682287086         0.1682281185         3.4985879607         5.0933306954        -2.4854473650        16.0018480000        14.8965700000        13.4276910000        12.1705220000        10.5936470000         9.0530620000         8.3964570000         8.1783640000        12.0654760000        13.6500770000        13.6931660000        10.8732890000        12.0849900000        13.6722530000        10.8703990000
        0.1812620159         0.1812613606         3.5024538677         5.0764471035        -2.4200556576        15.7220520000        14.6285510000        13.1691840000        11.9431700000        10.4077770000         8.9023560000         8.2477140000         8.0299170000        11.8627850000        13.3922520000        13.4354220000        10.6857760000        11.8823390000        13.4140400000        10.6830640000
        0.1930333069         0.1930325927         3.5056206118         5.0628516576        -2.3658759654        15.4951660000        14.4104720000        12.9592090000        11.7573800000        10.2542750000         8.7767710000         8.1235000000         7.9066660000        11.6958860000        13.1828150000        13.2260480000        10.5309170000        11.7154730000        13.2043060000        10.5283440000
        0.2028093170         0.2028085524         3.5082015315         5.0521126162        -2.3223850820        15.3153790000        14.2371710000        12.7925640000        11.6092440000        10.1313720000         8.6757340000         8.0233910000         7.8071060000        11.5622460000        13.0165710000        13.0598520000        10.4068240000        11.5818630000        13.0378310000        10.4043700000
        0.2111888590         0.2111880499         3.5103718051         5.0433668931        -2.2863731874        15.1683780000        14.0950770000        12.6559530000        11.4872460000        10.0299800000         8.5919840000         7.9402840000         7.7244470000        11.4518780000        12.8802590000        12.9235800000        10.3043210000        11.4715160000        12.9013320000        10.3019750000
        0.2174073456         0.2174065043         3.5118749410         5.0381678228        -2.2631252430        15.0728280000        14.0023250000        12.5667990000        11.4076530000         9.9642850000         8.5381240000         7.8867580000         7.6713010000        11.3800300000        12.7912770000        12.8346290000        10.2378140000        11.3996820000        12.8122270000        10.2355460000
        0.2235329035         0.2235320296         3.5133575507         5.0330220277        -2.2401964217        14.9795970000        13.9116830000        12.4796830000        11.3296160000         9.8997260000         8.4849500000         7.8338660000         7.6187920000        11.3094170000        12.7043180000        12.7477000000        10.1724080000        11.3290830000        12.7251490000        10.1702190000
        0.2307447233         0.2307437965         3.5150770577         5.0266581301        -2.2135945714        14.8724390000        13.8074270000        12.3795280000        11.2396100000         9.8251130000         8.4232050000         7.7724040000         7.5577810000        11.2277820000        12.6043380000        12.6477520000        10.0967510000        11.2474640000        12.6250310000        10.0946600000
        0.2366935373         0.2366925735         3.5165266628         5.0215219330        -2.1911471409        14.7832340000        13.7204080000        12.2959010000        11.1641730000         9.7623980000         8.3710490000         7.7204280000         7.5061970000        11.1591810000        12.5208390000        12.5642810000        10.0331170000        11.1788750000        12.5414200000        10.0311100000
        0.2426838596         0.2426828572         3.5179872848         5.0163538859        -2.1685426111        14.6943240000        13.6335160000        12.2123880000        11.0886150000         9.6994540000         8.3184990000         7.6680150000         7.4541870000        11.0903250000        12.4374430000        12.4809150000         9.9692100000        11.1100310000        12.4579120000         9.9672890000
        0.2503336438         0.2503325782         3.5198282487         5.0100253858        -2.1413637456        14.5869740000        13.5283490000        12.1113660000        10.9972100000         9.6236860000         8.2555140000         7.6051290000         7.3918220000        11.0071290000        12.3365500000        12.3800590000         9.8921740000        11.0268490000        12.3568820000         9.8903680000
        0.2576505295         0.2576494150         3.5215928676         5.0047292290        -2.1165274873        14.4888760000        13.4318290000        12.0186420000        10.9132430000         9.5543940000         8.1981450000         7.5477650000         7.3349790000        10.9307670000        12.2439190000        12.2874670000         9.8216240000        10.9505000000        12.2641280000         9.8199290000
        0.2651126333         0.2651114661         3.5233932384         4.9991275909        -2.0910344413        14.3898160000        13.3340800000        11.9247240000        10.8278490000         9.4836350000         8.1391940000         7.4887220000         7.2764900000        10.8528550000        12.1500760000        12.1936610000         9.7495380000        10.8726010000        12.1701600000         9.7479590000
        0.2735684827         0.2735672583         3.5254181935         4.9933754546        -2.0637916247        14.2853110000        13.2300220000        11.8248090000        10.7367490000         9.4081370000         8.0763490000         7.4254500000         7.2139290000        10.7696110000        12.0501720000        12.0937970000         9.6725650000        10.7893720000        12.0701360000         9.6711150000
        0.2816679298         0.2816666462         3.5273583216         4.9877880454        -2.0376172524        14.1860520000        13.1309600000        11.7296170000        10.6497110000         9.3358980000         8.0159680000         7.3645940000         7.1537590000        10.6899250000        11.9549870000        11.9986520000         9.5988450000        10.7096990000        11.9748360000         9.5975220000
        0.2897184953         0.2897171504         3.5292874440         4.9821042400        -2.0114679178        14.0879630000        13.0328470000        11.6352550000        10.5632170000         9.2640070000         7.9556470000         7.3037330000         7.0935900000        10.6105950000        11.8606290000        11.9043370000         9.5254190000        10.6303820000        11.8803670000         9.5242250000
        0.2962336672         0.2962322702         3.5309014890         4.9776371863        -1.9905099131        14.0088940000        12.9535190000        11.5589240000        10.4933170000         9.2063050000         7.9075130000         7.2551120000         7.0455510000        10.5466210000        11.7843010000        11.8280460000         9.4663810000        10.5664190000        11.8039460000         9.4652990000
        0.3024580465         0.3024565959         3.5324740229         4.9734002078        -1.9705459520        13.9335230000        12.8777160000        11.4859330000        10.4264820000         9.1513460000         7.8617870000         7.2088810000         6.9998910000        10.4855080000        11.7113140000        11.7550990000         9.4100770000        10.5053170000        11.7308690000         9.4091060000
        0.3068898647         0.3068884435         3.5334790861         4.9708722467        -1.9571622562        13.8840420000        12.8278770000        11.4378380000        10.3822680000         9.1147160000         7.8310170000         7.1777790000         6.9691580000        10.4449250000        11.6632200000        11.7070320000         9.3725670000        10.4647410000        11.6827190000         9.3716680000
        0.3092664812         0.3092650348         3.5341144146         4.9693009846        -1.9496855861        13.8553200000        12.7988750000        11.4099030000        10.3567740000         9.0940350000         7.8140360000         7.1605830000         6.9521950000        10.4217280000        11.6352870000        11.6791160000         9.3513190000        10.4415490000        11.6547500000         9.3504660000
        0.3117983152         0.3117968419         3.5347871106         4.9676260123        -1.9417372360        13.8248980000        12.7681300000        11.3802700000        10.3297170000         9.0720760000         7.7959850000         7.1422990000         6.9341580000        10.3970970000        11.6056580000        11.6495060000         9.3287530000        10.4169220000        11.6250820000         9.3279490000
        0.3126450486         0.3126436243         3.5349155619         4.9675095949        -1.9398687906        13.8182360000        12.7613920000        11.3737270000        10.3236600000         9.0669990000         7.7916620000         7.1379390000         6.9298450000        10.3915080000        11.5991140000        11.6429660000         9.3235590000        10.4113340000        11.6185310000         9.3227640000
        0.3134662219         0.3134647868         3.5351218083         4.9669406736        -1.9373426370        13.8086950000        12.7517520000        11.3644300000        10.3151510000         9.0600510000         7.7859060000         7.1321080000         6.9240910000        10.3837390000        11.5898190000        11.6336770000         9.3164220000        10.4035660000        11.6092240000         9.3156430000
        0.3143332437         0.3143317972         3.5354269382         4.9664776403        -1.9345459209        13.7969910000        12.7398390000        11.3529720000        10.3048550000         9.0521020000         7.7797490000         7.1258540000         6.9179490000        10.3745590000        11.5783610000        11.6222280000         9.3081900000        10.3943900000        11.5977500000         9.3074340000
        0.3152270553         0.3152255996         3.5356516138         4.9659130020        -1.9318501745        13.7867610000        12.7294870000        11.3429840000        10.2957220000         9.0446750000         7.7736220000         7.1196470000         6.9118240000        10.3662350000        11.5683740000        11.6122470000         9.3005560000        10.3860660000        11.5877490000         9.2998160000
        0.3160850686         0.3160836061         3.5358653283         4.9653818994        -1.9292811647        13.7770280000        12.7196350000        11.3334730000        10.2870220000         9.0375980000         7.7677810000         7.1137290000         6.9059860000        10.3583030000        11.5588640000        11.6027430000         9.2932820000        10.3781360000        11.5782280000         9.2925580000
        0.3169686459         0.3169671777         3.5361627546         4.9649606654        -1.9265238721        13.7655700000        12.7079560000        11.3222260000        10.2769060000         9.0297780000         7.7617080000         7.1075610000         6.8999270000        10.3492770000        11.5476180000        11.5915070000         9.2851810000        10.3691120000        11.5669650000         9.2844790000
        0.3178820913         0.3178806185         3.5363892004         4.9644142159        -1.9238121545        13.7553020000        12.6975530000        11.3121770000        10.2677140000         9.0223080000         7.7555480000         7.1013190000         6.8937690000        10.3408990000        11.5375700000        11.5814670000         9.2775010000        10.3607360000        11.5569040000         9.2768160000
        0.3195230206         0.3195215281         3.5369001092         4.9630970112        -1.9182803804        13.7336220000        12.6755440000        11.2909580000        10.2484320000         9.0069290000         7.7431240000         7.0887030000         6.8813450000        10.3234600000        11.5163550000        11.5602660000         9.2616400000        10.3433000000        11.5356610000         9.2609930000
        0.3213017993         0.3213002978         3.5373214778         4.9616585734        -1.9127545409        13.7133080000        12.6550240000        11.2711380000        10.2302030000         8.9918710000         7.7304610000         7.0758650000         6.8686680000        10.3067170000        11.4965400000        11.5404630000         9.2461850000        10.3265610000        11.5158210000         9.2455700000
        0.3244892109         0.3244876773         3.5381537145         4.9593011546        -1.9028424648        13.6758270000        12.6170010000        11.2344010000        10.1966050000         8.9646130000         7.7079790000         7.0530530000         6.8461730000        10.2760970000        11.4598100000        11.5037590000         9.2181310000        10.2959470000        11.4790450000         9.2175790000
        0.3273329535         0.3273314031         3.5388173144         4.9580868003        -1.8951702392        13.6466200000        12.5872500000        11.2055770000        10.1702850000         8.9434260000         7.6906520000         7.0354890000         6.8288590000        10.2521900000        11.4309910000        11.4749640000         9.1962940000        10.2720450000        11.4501890000         9.1957920000
        0.3328519466         0.3328503515         3.5400631258         4.9547064996        -1.8795856665        13.5888630000        12.5285550000        11.1486990000        10.1180990000         8.9007990000         7.6551740000         6.9995030000         6.7933570000        10.2044720000        11.3741290000        11.4181420000         9.1524390000        10.2243380000        11.3932560000         9.1520340000
        0.3373597533         0.3373581204         3.5410357620         4.9509209563        -1.8660563254        13.5403980000        12.4794130000        11.1010420000        10.0741080000         8.8642080000         7.6240800000         6.9679400000         6.7621830000        10.1639170000        11.3264910000        11.3705350000         9.1148820000        10.1837890000        11.3455630000         9.1145520000
        0.3421803956         0.3421787200         3.5420421196         4.9457540266        -1.8506747235        13.4868190000        12.4252010000        11.0484400000        10.0253060000         8.8229920000         7.5884570000         6.9317490000         6.7264120000        10.1186160000        11.2739180000        11.3179920000         9.0726590000        10.1384960000        11.2929320000         9.0724080000
        0.3470707868         0.3470690662         3.5430362627         4.9399641721        -1.8346871855        13.4319850000        12.3697090000        10.9945320000         9.9751660000         8.7803490000         7.5513050000         6.8939770000         6.6890650000        10.0719240000        11.2200420000        11.2641480000         9.0290120000        10.0918140000        11.2389980000         9.0288360000
        0.3512182277         0.3512164658         3.5438362970         4.9343174559        -1.8207051722        13.3851280000        12.3222890000        10.9483920000         9.9320830000         8.7433010000         7.5186410000         6.8607380000         6.6561820000        10.0316080000        11.1739360000        11.2180660000         8.9911460000        10.0515030000        11.1928450000         8.9910340000
        0.3552387230         0.3552369201         3.5445678655         4.9268580766        -1.8053415776        13.3358590000        12.2726380000        10.9000730000         9.8865580000         8.7031380000         7.4823160000         6.8237330000         6.6195230000         9.9885120000        11.1256590000        11.1698090000         8.9502440000        10.0084130000        11.1445260000         8.9501870000
        0.3585998444         0.3585980077         3.5451968011         4.9217308614        -1.7936192450        13.2974210000        12.2336680000        10.8620700000         9.8509320000         8.6722670000         7.4548360000         6.7957330000         6.5918060000         9.9550480000        11.0876870000        11.1318580000         8.9187080000         9.9749550000        11.1065160000         8.9187010000
        0.3620618929         0.3620600198         3.5458544569         4.9170796638        -1.7821563788        13.2593860000        12.1949190000        10.8241980000         9.8155260000         8.6419420000         7.4281150000         6.7685020000         6.5648580000         9.9219540000        11.0498460000        11.0940420000         8.8876650000         9.9418670000        11.0686360000         8.8877120000
        0.3652158435         0.3652139376         3.5464803649         4.9134251936        -1.7722078772        13.2257440000        12.1604650000        10.7904650000         9.7841150000         8.6154560000         7.4051080000         6.7450500000         6.5416660000         9.8927860000        11.0161400000        11.0603610000         8.8604740000         9.9127040000        11.0348930000         8.8605740000
        0.3680199165         0.3680179835         3.5470655674         4.9112851656        -1.7644137441        13.1981760000        12.1320100000        10.7625530000         9.7583490000         8.5944010000         7.3873860000         6.7269900000         6.5238330000         9.8691710000        10.9882470000        11.0324950000         8.8387390000         9.8890940000        11.0069670000         8.8388900000
        0.3710009805         0.3709990192         3.5476703188         4.9093976418        -1.7566194647        13.1704330000        12.1032950000        10.7343490000         9.7323410000         8.5732960000         7.3697340000         6.7090040000         6.5060780000         9.8453960000        10.9600620000        11.0043380000         8.8169180000         9.8653250000        10.9787450000         8.8171220000
        0.3738671648         0.3738651766         3.5482719097         4.9077114058        -1.7491742387        13.1437030000        12.0755440000        10.7070580000         9.7072120000         8.5530780000         7.3529560000         6.6919070000         6.4892020000         9.8225000000        10.9327900000        10.9770950000         8.7959760000         9.8424340000        10.9514370000         8.7962320000
        0.3768646031         0.3768625873         3.5489064962         4.9059186844        -1.7413663819        13.1157160000        12.0464430000        10.6784190000         9.6808320000         8.5318870000         7.3353800000         6.6739870000         6.4715160000         9.7984700000        10.9041700000        10.9485060000         8.7740090000         9.8184100000        10.9227800000         8.7743220000
        0.3826330704         0.3826309992         3.5500850631         4.9025200997        -1.7267168869        13.0636080000        11.9922120000        10.6250070000         9.6315470000         8.4922290000         7.3023780000         6.6403280000         6.4382870000         9.7535220000        10.8507950000        10.8951890000         8.7328850000         9.7734720000        10.8693330000         8.7333070000
        0.3930560538         0.3930538751         3.5521637293         4.8954612825        -1.6999993401        12.9702960000        11.8949090000        10.5290210000         9.5426650000         8.4203370000         7.2420310000         6.5786970000         6.3774220000         9.6722150000        10.7548810000        10.7993810000         8.6583270000         9.6921830000        10.7732930000         8.6589420000
        0.4057274814         0.4057251560         3.5547243798         4.8857060079        -1.6668576612        12.8559510000        11.7753560000        10.4108910000         9.4329970000         8.3315830000         7.1671990000         6.5020850000         6.3017950000         9.5717490000        10.6368450000        10.6814790000         8.5661710000         9.5917400000        10.6551020000         8.5670320000
        0.4198614896         0.4198589945         3.5575641846         4.8751038211        -1.6301044366        12.7307670000        11.6436270000        10.2804160000         9.3116110000         8.2335000000         7.0843170000         6.4170820000         6.2179630000         9.4604810000        10.5064740000        10.5512650000         8.4641600000         9.4804970000        10.5245580000         8.4653030000
        0.4353652040         0.4353625029         3.5607964018         4.8626080682        -1.5890339620        12.5923140000        11.4965880000        10.1346170000         9.1758560000         8.1242280000         6.9919670000         6.3220480000         6.1244380000         9.3360450000        10.3607940000        10.4057670000         8.3502710000         9.3560910000        10.3786830000         8.3517450000
        0.4521302159         0.4521272700         3.5643621650         4.8480708790        -1.5439035365        12.4395860000        11.3359110000         9.9753830000         9.0274230000         8.0046870000         6.8905390000         6.2172680000         6.0216420000         9.1997330000        10.2016850000        10.2468630000         8.2255410000         9.2198130000        10.2193680000         8.2273830000
        0.4681344173         0.4681312238         3.5677611202         4.8341028833        -1.5007884561        12.2962140000        11.1832710000         9.8244310000         8.8866150000         7.8909610000         6.7935510000         6.1167600000         5.9234110000         9.0700570000        10.0508430000        10.0962100000         8.1068300000         9.0901730000        10.0683370000         8.1090210000
        0.4824484906         0.4824450485         3.5709200440         4.8208152209        -1.4614970568        12.1647610000        11.0438800000         9.6871680000         8.7587320000         7.7876070000         6.7052190000         6.0248510000         5.8340310000         8.9520370000         9.9136680000         9.9592040000         7.9988750000         8.9721870000         9.9310000000         8.0013890000
        0.4962768783         0.4962731492         3.5743793262         4.8073755232        -1.4222433117        12.0298650000        10.9009400000         9.5474780000         8.6293540000         7.6841690000         6.6176660000         5.9332380000         5.7456770000         8.8328190000         9.7740470000         9.8197530000         7.8905010000         8.8530090000         9.7912180000         7.8933570000
        0.5098134011         0.5098093740         3.5777731421         4.7941780246        -1.3837840587        11.8985570000        10.7617450000         9.4121250000         8.5038850000         7.5834030000         6.5317440000         5.8428130000         5.6590190000         8.7167170000         9.6387480000         9.6846110000         7.7848540000         8.7369510000         9.6557750000         7.7880450000
        0.5228075865         0.5228032569         3.5810382520         4.7814854794        -1.3468356757        11.7737520000        10.6290080000         9.2834460000         8.3843730000         7.4872020000         6.4491470000         5.7553680000         5.5756720000         8.6057570000         9.5101140000         9.5561250000         7.6838330000         8.6260320000         9.5270100000         7.6873510000
        0.5355740779         0.5355694155         3.5845062287         4.7690242240        -1.3099764662        11.6478480000        10.4947120000         9.1539620000         8.2643760000         7.3914600000         6.3672670000         5.6681500000         5.4931820000         8.4943550000         9.3806540000         9.4268160000         7.5828900000         8.5146760000         9.3974220000         7.5867580000
        0.5476166139         0.5476116025         3.5880215767         4.7574795929        -1.2748393074        11.5257910000        10.3645690000         9.0293310000         8.1492400000         7.3003440000         6.2896790000         5.5852190000         5.4153250000         8.3874110000         9.2560220000         9.3023260000         7.4864720000         8.4077810000         9.2726710000         7.4906950000
        0.5599712250         0.5599658325         3.5916596628         4.7456616395        -1.2387232224        11.3995000000        10.2306650000         8.9019100000         8.0316790000         7.2069830000         6.2098150000         5.5000490000         5.3356030000         8.2777650000         9.1285720000         9.1750090000         7.3876660000         8.2981880000         9.1451090000         7.3922510000
        0.5718118452         0.5718060655         3.5951693386         4.7343624985        -1.2040793207        11.2768070000        10.1017760000         8.7801100000         7.9195760000         7.1175680000         6.1330560000         5.4186790000         5.2595510000         8.1727590000         9.0067150000         9.0532660000         7.2930960000         8.1932360000         9.0231570000         7.2980250000
        0.5822800894         0.5822739308         3.5984855898         4.7246273267        -1.1731812243        11.1633440000         9.9840310000         8.6698750000         7.8187920000         7.0376120000         6.0649090000         5.3470430000         5.1928420000         8.0782010000         8.8963980000         8.9430370000         7.2084080000         8.0987340000         8.9127630000         7.2136530000
        0.5914925379         0.5914860243         3.6016982173         4.7169028165        -1.1458854097        11.0572370000         9.8757380000         8.5696550000         7.7280950000         6.9664990000         6.0052690000         5.2852060000         5.1355450000         7.9930980000         8.7960720000         8.8427760000         7.1328900000         8.0136880000         8.8123720000         7.1384290000
        0.6005178418         0.6005109594         3.6050472981         4.7099222787        -1.1190775311        10.9483170000         9.7661610000         8.4694350000         7.6381500000         6.8963370000         5.9469220000         5.2256160000         5.0805280000         7.9084860000         8.6957070000         8.7424630000         7.0582870000         7.9291400000         8.7119520000         7.0641220000
        0.6100323211         0.6100250290         3.6086018189         4.7026120036        -1.0907777458        10.8316650000         9.6497590000         8.3640580000         7.5438830000         6.8223860000         5.8850150000         5.1630280000         5.0228470000         7.8192760000         8.5901370000         8.6369370000         6.9796840000         7.8400040000         8.6063400000         6.9858290000
        0.6189087026         0.6189010061         3.6120600001         4.6962053344        -1.0643324643        10.7189650000         9.5387900000         8.2647680000         7.4556060000         6.7531900000         5.8272380000         5.1054190000         4.9699700000         7.7353490000         8.4906320000         8.5374580000         6.9060540000         7.7561540000         8.5068070000         6.9124920000
        0.6268252547         0.6268171736         3.6154477367         4.6913802236        -1.0406567769        10.6118540000         9.4353150000         8.1735050000         7.3753160000         6.6908720000         5.7760440000         5.0553640000         4.9244320000         7.6588030000         8.3991440000         8.4459730000         6.8395500000         7.6796840000         8.4153010000         6.8462680000
        0.6344394665         0.6344309983         3.6187209361         4.6867607327        -1.0178529332        10.5063290000         9.3353200000         8.0859170000         7.2985440000         6.6309820000         5.7266900000         5.0079120000         4.8812280000         7.5851840000         8.3113410000         8.3581510000         6.7755970000         7.6061400000         8.3274900000         6.7825760000
