#     initial_mass           star_mass            log_Teff               log_g                log_L              Bessell_U            Bessell_B            Bessell_V            Bessell_R            Bessell_I             2MASS_J              2MASS_H             2MASS_Ks            Gaia_G_MAW          Gaia_BP_MAWb         Gaia_BP_MAWf          Gaia_RP_MAW          Gaia_G_EDR3         Gaia_BP_EDR3         Gaia_RP_EDR3     
        0.1960926756         0.1960911075         3.5065749070         5.0550065403        -2.3464917606        15.4167120000        14.3362720000        12.8882830000        11.6938730000        10.2005210000         8.7312300000         8.0785640000         7.8619890000        11.6379570000        13.1121200000        13.1553570000        10.4766640000        11.6575530000        13.1335040000        10.4741410000
        0.2041288046         0.2041271324         3.5086955257         5.0454334675        -2.3102130500        15.2678570000        14.1929130000        12.7505080000        11.5710930000        10.0983410000         8.6467880000         7.9948820000         7.7785880000        11.5269350000        12.9746770000        13.0179540000        10.3734590000        11.5465540000        12.9958710000        10.3710370000
        0.2106157355         0.2106139797         3.5103340253         5.0385120259        -2.2833548579        15.1577290000        14.0865500000        12.6483240000        11.4798920000        10.0226570000         8.5843630000         7.9329410000         7.7170370000        11.4444700000        12.8727200000        12.9160260000        10.2969260000        11.4641060000        12.8937710000        10.2945870000
        0.2167343561         0.2167325180         3.5118694230         5.0320143799        -2.2582839662        15.0559660000        13.9881100000        12.5537690000        11.3952130000         9.9522450000         8.5260360000         7.8750100000         7.6594820000        11.3677270000        12.7783610000        12.8216950000        10.2256660000        11.3873770000        12.7992830000        10.2234080000
        0.2222613502         0.2222594522         3.5132102400         5.0268351471        -2.2374188561        14.9710030000        13.9056610000        12.4745860000        11.3242900000         9.8935320000         8.4776210000         7.8268660000         7.6116810000        11.3035280000        12.6993290000        12.7426890000        10.1661840000        11.3231900000        12.7201400000        10.1639990000
        0.2280391543         0.2280371747         3.5146318519         5.0208895989        -2.2145883812        14.8797380000        13.8170790000        12.3895240000        11.2477180000         9.8297220000         8.4244740000         7.7739850000         7.5591660000        11.2339020000        12.6144220000        12.6578060000        10.1015160000        11.2535760000        12.6351170000        10.0994090000
        0.2335790081         0.2335769498         3.5159926689         5.0151740502        -2.1927570360        14.7933120000        13.7330550000        12.3088360000        11.1748720000         9.7688990000         8.3736210000         7.7233430000         7.5088830000        11.1675290000        12.5338700000        12.5772800000        10.0398330000        11.1872150000        12.5544560000        10.0378070000
        0.2390203713         0.2390182295         3.5173331198         5.0093956766        -2.1710704641        14.7084670000        13.6504630000        12.2295200000        11.1030280000         9.7087190000         8.3230440000         7.6729350000         7.4588360000        11.1018990000        12.4546790000        12.4981120000         9.9787740000        11.1215950000        12.4751580000         9.9768270000
        0.2445310029         0.2445287730         3.5186912107         5.0034688563        -2.1490306277        14.6231330000        13.5672540000        12.1495980000        11.0304280000         9.6477620000         8.2716050000         7.6216310000         7.4079030000        11.0354370000        12.3748740000        12.4183320000         9.9168940000        11.0551430000        12.3952470000         9.9150300000
        0.2504166126         0.2504142859         3.5201380006         4.9972494184        -2.1258724878        14.5350950000        13.4809060000        12.0666990000        10.9548070000         9.5839560000         8.2175130000         7.5674930000         7.3542150000        10.9659730000        12.2920490000        12.3355290000         9.8521200000        10.9856900000        12.3123200000         9.8503440000
