#     initial_mass           star_mass            log_Teff               log_g                log_L              Bessell_U            Bessell_B            Bessell_V            Bessell_R            Bessell_I             2MASS_J              2MASS_H             2MASS_Ks            Gaia_G_MAW          Gaia_BP_MAWb         Gaia_BP_MAWf          Gaia_RP_MAW          Gaia_G_EDR3         Gaia_BP_EDR3         Gaia_RP_EDR3     
        0.1026261159         0.1026258181         3.4606443150         5.2282090643        -2.9835924315        18.6352350000        17.3773460000        15.7633880000        14.1084360000        12.1440750000        10.1794650000         9.4869610000         9.2583530000        13.7420220000        15.9776670000        16.0204680000        12.4080980000        13.7607340000        16.0028650000        12.4058330000
        0.1064770366         0.1064767227         3.4633511040         5.2190348616        -2.9500288243        18.4371870000        17.1926120000        15.5935020000        13.9720420000        12.0314370000        10.1019110000         9.4139760000         9.1865430000        13.6239150000        15.8084110000        15.8512900000        12.2989980000        13.6427180000        15.8335580000        12.2965010000
        0.1420008763         0.1420003796         3.4877860938         5.1355583803        -2.6448617555        16.7472650000        15.6055020000        14.1101380000        12.7567790000        11.0590680000         9.4129490000         8.7506110000         8.5310090000        12.5771230000        14.3304330000        14.3732910000        11.3415730000        12.5965140000        14.3537170000        11.3382940000
        0.1483404039         0.1483398710         3.4910914291         5.1234503991        -2.5999543150        16.5253960000        15.3954490000        13.9084620000        12.5859770000        10.9253670000         9.3127790000         8.6522680000         8.4331380000        12.4297030000        14.1294350000        14.1723590000        11.2074150000        12.4491360000        14.1523860000        11.2042250000
        0.1553979493         0.1553973751         3.4944738098         5.1107762379        -2.5526774648        16.2986770000        15.1800100000        13.7010780000        12.4088110000        10.7862140000         9.2067730000         8.5480380000         8.3293460000        12.2760500000        13.9226980000        13.9656970000        11.0673730000        12.2955220000        13.9453020000        11.0643040000
        0.1647961165         0.1647954896         3.4979240864         5.0967931586        -2.4994732294        16.0579110000        14.9502240000        13.4795920000        12.2168200000        10.6325940000         9.0858400000         8.4288950000         8.2106590000        12.1073670000        13.7018430000        13.7449210000        10.9125160000        12.1268740000        13.7240920000        10.9095940000
        0.1784309185         0.1784302184         3.5016805388         5.0799886152        -2.4339347874        15.7797700000        14.6839140000        13.2225840000        11.9904610000        10.4469160000         8.9345590000         8.2795390000         8.0615350000        11.9052690000        13.4455150000        13.4886700000        10.7252540000        11.9248130000        13.4673800000        10.7225050000
        0.1910541417         0.1910533710         3.5051199906         5.0648240239        -2.3743692132        15.5304690000        14.4445100000        12.9919720000        11.7864230000        10.2783430000         8.7964820000         8.1430210000         7.9260290000        11.7220340000        13.2154980000        13.2587200000        10.5551940000        11.7416160000        13.2370330000        10.5526000000
        0.2034999981         0.2034991536         3.5085103896         5.0498369316        -2.3156114961        15.2893350000        14.2123150000        12.7687010000        11.5876220000        10.1127980000         8.6597120000         8.0075290000         7.7912640000        11.5423410000        12.9927710000        13.0360560000        10.3880790000        11.5619600000        13.0140000000        10.3856410000
        0.2098956663         0.2098947859         3.5100809867         5.0441450154        -2.2908238761        15.1866840000        14.1129230000        12.6731470000        11.5025690000        10.0426030000         8.6022810000         7.9505230000         7.7346120000        11.4656830000        12.8974220000        12.9407370000        10.3170920000        11.4853180000        12.9185180000        10.3147320000
