#     initial_mass           star_mass            log_Teff               log_g                log_L              Bessell_U            Bessell_B            Bessell_V            Bessell_R            Bessell_I             2MASS_J              2MASS_H             2MASS_Ks            Gaia_G_MAW          Gaia_BP_MAWb         Gaia_BP_MAWf          Gaia_RP_MAW          Gaia_G_EDR3         Gaia_BP_EDR3         Gaia_RP_EDR3     
        0.1194983456         0.1194978730         3.4727350855         5.1885079428        -2.8361076456        17.7731170000        16.5714660000        15.0190080000        13.5085240000        11.6542430000         9.8405700000         9.1658260000         8.9423990000        13.2238240000        15.2356570000        15.2783980000        11.9311920000        13.2429030000        15.2602210000        11.9281010000
        0.1237518606         0.1237513576         3.4757133847         5.1783094240        -2.7990158411        17.5653650000        16.3768010000        14.8378360000        13.3605820000        11.5351730000         9.7562700000         9.0850630000         8.8627030000        13.0961740000        15.0552100000        15.0979450000        11.8142520000        13.1153300000        15.0795650000        11.8110400000
        0.1280611753         0.1280606401         3.4786039909         5.1681914929        -2.7624104630        17.3653110000        16.1890560000        14.6623050000        13.2162780000        11.4196930000         9.6739880000         9.0055260000         8.7840320000        12.9717170000        14.8804340000        14.9231780000        11.7004540000        12.9909430000        14.9045630000        11.6971570000
        0.1321803317         0.1321797639         3.4814895712         5.1583164863        -2.7264862367        17.1706300000        16.0060290000        14.4899390000        13.0740720000        11.3074960000         9.5941560000         8.9278420000         8.7070700000        12.8496840000        14.7087890000        14.7515550000        11.5893730000        12.8689710000        14.7326720000        11.5860380000
        0.1365218542         0.1365212499         3.4837782075         5.1491690810        -2.6943824292        17.0080800000        15.8523560000        14.3448810000        12.9524210000        11.2105520000         9.5221730000         8.8574760000         8.6371690000        12.7442890000        14.5643010000        14.6070920000        11.4928950000        12.7636180000        14.5879690000        11.4895630000
        0.1409760680         0.1409754246         3.4868595126         5.1385975649        -2.6558930034        16.8058970000        15.6609060000        14.1630880000        12.8008810000        11.0928760000         9.4371490000         8.7743000000         8.5545450000        12.6146510000        14.3831900000        14.4260310000        11.3754160000        12.6340280000        14.4065650000        11.3721190000
        0.1457841574         0.1457834719         3.4898307500         5.1281501637        -2.6176069444        16.6109620000        15.4765340000        13.9864570000        12.6523460000        10.9775480000         9.3523050000         8.6911080000         8.4718050000        12.4871840000        14.2071750000        14.2500740000        11.2598240000        12.5066010000        14.2302550000        11.2565970000
        0.1518229885         0.1518222508         3.4930255270         5.1164664916        -2.5744075280        16.3992520000        15.2758260000        13.7933380000        12.4882710000        10.8494010000         9.2559060000         8.5964030000         8.3775290000        12.3455000000        14.0146810000        14.0576480000        11.1309910000        12.3649560000        14.0374350000        11.1278670000
        0.1587535395         0.1587527418         3.4963540023         5.1039617854        -2.5279267668        16.1783520000        15.0653500000        13.5907840000        12.3146690000        10.7130040000         9.1515090000         8.4937040000         8.2752610000        12.1946850000        13.8127370000        13.8557800000        10.9935370000        12.2141770000        13.8351500000        10.9905450000
        0.1719371486         0.1719362529         3.4999915851         5.0873487594        -2.4639822547        15.9055180000        14.8045580000        13.3390740000        12.0934070000        10.5317960000         9.0041250000         8.3483260000         8.1301970000        11.9974910000        13.5617080000        13.6048280000        10.8108580000        12.0170180000        13.5837420000        10.8080310000
        0.1839408381         0.1839398489         3.5032767000         5.0724712517        -2.4065354339        15.6637840000        14.5728460000        13.1156350000        11.8960690000        10.3692690000         8.8711780000         8.2169410000         7.9993890000        11.8207320000        13.3388530000        13.3820390000        10.6469040000        11.8402940000        13.3605590000        10.6442290000
        0.1953404143         0.1953393315         3.5063824080         5.0584097501        -2.3522828329        15.4387660000        14.3566320000        12.9076060000        11.7115110000        10.2160430000         8.7451000000         8.0921990000         7.8755890000        11.6544140000        13.1313600000        13.1746030000        10.4923250000        11.6740100000        13.1527750000        10.4897880000
        0.2056901191         0.2056889481         3.5091427699         5.0462503632        -2.3048312666        15.2447840000        14.1696790000        12.7278730000        11.5512130000        10.0825100000         8.6346080000         7.9826810000         7.7665240000        11.5093840000        12.9520530000        12.9953460000        10.3574530000        11.5290090000        12.9732220000        10.3550490000
        0.2117346982         0.2117334790         3.5106066953         5.0408580669        -2.2818726813        15.1498340000        14.0777240000        12.6395000000        11.4724870000        10.0175390000         8.5814120000         7.9298650000         7.7140670000        11.4383930000        12.8638660000        12.9071870000        10.2917250000        11.4580330000        12.8849120000        10.2893940000
        0.2175090883         0.2175078213         3.5120052657         5.0356498397        -2.2598849232        15.0598950000        13.9905130000        12.5556980000        11.3975730000         9.9555490000         8.5303990000         7.8791730000         7.6637270000        11.3706670000        12.7802300000        12.8235780000        10.2289700000        11.3903190000        12.8011590000        10.2267110000
        0.2234795033         0.2234781850         3.5134540457         5.0301907325        -2.2370772806        14.9675830000        13.9008780000        12.4695800000        11.3203330000         9.8914810000         8.4774290000         7.8264930000         7.6114170000        11.3006700000        12.6942700000        12.7376460000        10.1640640000        11.3203360000        12.7150820000        10.1618850000
        0.2294238323         0.2294224608         3.5149021844         5.0246960526        -2.2143063767        14.8763220000        13.8121310000        12.3843220000        11.2436300000         9.8277280000         8.4245010000         7.7738090000         7.5591140000        11.2310090000        12.6091590000        12.6525640000        10.0994340000        11.2506880000        12.6298560000        10.0973360000
        0.2350164852         0.2350150620         3.5162650977         5.0194612669        -2.1928164519        14.7911190000        13.7291490000        12.3046010000        11.1716810000         9.7677780000         8.3745060000         7.7240040000         7.5096720000        11.1655130000        12.5295680000        12.5729970000        10.0386210000        11.1852040000        12.5501560000        10.0366020000
        0.2408583206         0.2408568416         3.5176866812         5.0139947175        -2.1705226738        14.7034440000        13.6436160000        12.2224320000        11.0973360000         9.7057510000         8.3226280000         7.6722810000         7.4583370000        11.0977220000        12.4475200000        12.4909760000         9.9756590000        11.1174240000        12.4679990000         9.9737260000
        0.2471451814         0.2471436415         3.5192124399         5.0082314642        -2.1470097051        14.6114360000        13.5536620000        12.1360240000        11.0190120000         9.6404370000         8.2679580000         7.6177210000         7.4042030000        11.0262430000        12.3612290000        12.4047150000         9.9093040000        11.0459580000        12.3815910000         9.9074640000
        0.2535209943         0.2535193626         3.5207622112         5.0022416446        -2.1231221558        14.5189040000        13.4630460000        12.0489750000        10.9398780000         9.5743140000         8.2123920000         7.5622220000         7.3491460000        10.9538760000        12.2742860000        12.3178010000         9.8420820000        10.9736000000        12.2945330000         9.8403400000
        0.2606284945         0.2606267930         3.5224632463         4.9966122842        -2.0992181197        14.4261230000        13.3713770000        11.9610110000        10.8599230000         9.5079180000         8.1570840000         7.5067260000         7.2942080000        10.8808860000        12.1863700000        12.2299170000         9.7745020000        10.9006230000        12.2065050000         9.7728640000
        0.2684543865         0.2684526061         3.5243363207         4.9904624541        -2.0731827651        14.3267290000        13.2726550000        11.8662800000        10.7734960000         9.4359070000         8.0968390000         7.4460850000         7.2342250000        10.8017620000        12.0916540000        12.1352340000         9.7011690000        10.8215120000        12.1116770000         9.6996480000
        0.2773636727         0.2773616542         3.5264879703         4.9828978811        -2.0429975283        14.2130390000        13.1595440000        11.7577090000        10.6741090000         9.3528480000         8.0269420000         7.3756380000         7.1645460000        10.7105250000        11.9830960000        12.0267160000         9.6165200000        10.7302890000        12.0029910000         9.6151360000
        0.2844815234         0.2844794159         3.5281983608         4.9771542645        -2.0191404033        14.1239700000        13.0706460000        11.6722680000        10.5957400000         9.2873760000         7.9717500000         7.3199510000         7.1094730000        10.6385150000        11.8976640000        11.9413190000         9.5497260000        10.6582920000        11.9174590000         9.5484560000
        0.2912703336         0.2912681398         3.5298415385         4.9716850075        -1.9964511079        14.0396710000        12.9863050000        11.5911410000        10.5212450000         9.2252190000         7.9193300000         7.2670060000         7.0571230000        10.5700440000        11.8165440000        11.8602330000         9.4862520000        10.5898300000        11.8362440000         9.4850920000
        0.2977582048         0.2977559309         3.5314190605         4.9663765201        -1.9746837250        13.9593470000        12.9057700000        11.5136010000        10.4499470000         9.1657270000         7.8690710000         7.2161970000         7.0068900000        10.5044560000        11.7390120000        11.7827380000         9.4254540000        10.5242530000        11.7586210000         9.4244030000
        0.3032003599         0.3031980604         3.5327226558         4.9620914280        -1.9566920309        13.8933680000        12.8394640000        11.4496770000        10.3911040000         9.1166410000         7.8275550000         7.1742010000         6.9653740000        10.4502980000        11.6750940000        11.7188510000         9.3752570000        10.4701050000        11.6946300000         9.3742980000
        0.3073782747         0.3073759195         3.5338445020         4.9591116959        -1.9432826864        13.8421250000        12.7877270000        11.3998380000        10.3455930000         9.0796020000         7.7970480000         7.1432850000         6.9348700000        10.4088420000        11.6252590000        11.6690480000         9.3372320000        10.4286570000        11.6447320000         9.3363530000
        0.3109796100         0.3109772049         3.5347949631         4.9564811553        -1.9317321379        13.7983820000        12.7435220000        11.3572160000        10.3066100000         9.0477930000         7.7707400000         7.1166150000         6.9085520000        10.3732750000        11.5826420000        11.6264570000         9.3045720000        10.3930960000        11.6020600000         9.3037630000
        0.3118700488         0.3118678237         3.5348911201         4.9565271343        -1.9300708221        13.7927880000        12.7377950000        11.3515860000        10.3013540000         9.0433190000         7.7668600000         7.1127090000         6.9046780000        10.3683960000        11.5770110000        11.6208310000         9.3000050000        10.3882180000        11.5964250000         9.2992030000
        0.3128026266         0.3128003778         3.5351511251         4.9558990425        -1.9271416297        13.7814350000        12.7262890000        11.3404930000        10.2912540000         9.0351930000         7.7602450000         7.1059960000         6.8980620000        10.3592350000        11.5659200000        11.6097470000         9.2916430000        10.3790590000        11.5853190000         9.2908600000
        0.3136967742         0.3136945051         3.5353743152         4.9552288099        -1.9243457807        13.7709810000        12.7157210000        11.3302970000        10.2819060000         9.0275270000         7.7538610000         7.0995230000         6.8916720000        10.3506830000        11.5557240000        11.5995580000         9.2837730000        10.3705090000        11.5751100000         9.2830070000
        0.3146201519         0.3146178637         3.5357292094         4.9547587512        -1.9212992165        13.7579380000        12.7023970000        11.3174760000        10.2704370000         9.0187970000         7.7472210000         7.0927640000         6.8850430000        10.3405190000        11.5429040000        11.5867500000         9.2747140000        10.3603480000        11.5622710000         9.2739730000
        0.3155861747         0.3155838697         3.5359683965         4.9540910131        -1.9183427640        13.7468610000        12.6911810000        11.3066440000        10.2605130000         9.0106820000         7.7404820000         7.0859290000         6.8782980000        10.3314500000        11.5320740000        11.5759270000         9.2663780000        10.3512810000        11.5514280000         9.2656560000
        0.3165142424         0.3165119228         3.5361937595         4.9534046143        -1.9154790603        13.7362250000        12.6804230000        11.2962520000        10.2509760000         9.0028460000         7.7339390000         7.0792930000         6.8717470000        10.3227170000        11.5216850000        11.5655430000         9.2583340000        10.3425480000        11.5410250000         9.2576280000
        0.3174620443         0.3174597155         3.5364308434         4.9527259499        -1.9125452056        13.7252490000        12.6693060000        11.2855130000        10.2411350000         8.9947980000         7.7272510000         7.0725090000         6.8650530000        10.3137220000        11.5109460000        11.5548130000         9.2500660000        10.3335550000        11.5302730000         9.2493770000
        0.3186489712         0.3186466276         3.5367172238         4.9519489697        -1.9090148725        13.7120390000        12.6559140000        11.2725690000        10.2292740000         8.9851100000         7.7192110000         7.0643540000         6.8570050000        10.3028870000        11.4980050000        11.5418800000         9.2401110000        10.3227230000        11.5173160000         9.2394440000
        0.3201279940         0.3201256400         3.5370681568         4.9509606144        -1.9046127383        13.6956700000        12.6393220000        11.2565260000        10.2145580000         8.9730550000         7.7091690000         7.0541670000         6.8469520000        10.2894250000        11.4819650000        11.5258500000         9.2277260000        10.3092630000        11.5012570000         9.2270850000
