#     initial_mass           star_mass            log_Teff               log_g                log_L              Bessell_U            Bessell_B            Bessell_V            Bessell_R            Bessell_I             2MASS_J              2MASS_H             2MASS_Ks            Gaia_G_MAW          Gaia_BP_MAWb         Gaia_BP_MAWf          Gaia_RP_MAW          Gaia_G_EDR3         Gaia_BP_EDR3         Gaia_RP_EDR3     
        0.1866439137         0.1866425834         3.5039452023         5.0681542888        -2.3936408686        15.6108680000        14.5224970000        13.0672910000        11.8530320000        10.3332310000         8.8410630000         8.1872170000         7.9698530000        11.7817750000        13.2906530000        13.3338480000        10.6105480000        11.8013420000        13.3122880000        10.6079050000
        0.1980994825         0.1980980162         3.5071078974         5.0531267082        -2.3375244327        15.3799100000        14.3006450000        12.8539550000        11.6633340000        10.1751660000         8.7103940000         8.0578970000         7.8413970000        11.6104020000        13.0778680000        13.1211180000        10.4510700000        11.6300050000        13.0992070000        10.4485710000
        0.2049382239         0.2049366796         3.5088580837         5.0457750553        -2.3086405413        15.2604640000        14.1854400000        12.7432440000        11.5648270000        10.0935440000         8.6433180000         7.9914030000         7.7751590000        11.5215150000        12.9674160000        13.0106980000        10.3685990000        11.5411370000        12.9886010000        10.3661840000
        0.2118081010         0.2118064743         3.5106160068         5.0382914152        -2.2795295070        15.1416870000        14.0707070000        12.6330060000        11.4663160000        10.0116480000         8.5755980000         7.9241970000         7.7083730000        11.4323430000        12.8574200000        12.9007350000        10.2857830000        11.4519820000        12.8784530000        10.2834570000
        0.2178572783         0.2178555878         3.5121103958         5.0323927218        -2.2558096111        15.0448540000        13.9769000000        12.5428950000        11.3857140000         9.9448600000         8.5205210000         7.8694740000         7.6540230000        11.3594150000        12.7674910000        12.8108340000        10.2181690000        11.3790670000        12.7883990000        10.2159210000
        0.2235992552         0.2235974935         3.5135212250         5.0266875967        -2.2333321238        14.9541090000        13.8888870000        12.4583680000        11.3098430000         9.8818170000         8.4682640000         7.8175100000         7.6024170000        11.2905880000        12.6831250000        12.7264940000        10.1543050000        11.3102540000        12.7039170000        10.1521340000
        0.2291465191         0.2291446856         3.5148849783         5.0210877623        -2.2115256212        14.8670310000        13.8043160000        12.3771490000        11.2367040000         9.8208810000         8.4175110000         7.7670010000         7.5522610000        11.2240790000        12.6020510000        12.6454440000        10.0925370000        11.2437550000        12.6227310000        10.0904440000
        0.2345956375         0.2345937340         3.5162211888         5.0155958281        -2.1902134031        14.7826880000        13.7222640000        12.2983500000        11.1655510000         9.7614980000         8.3678830000         7.7175690000         7.5031850000        11.1592530000        12.5233820000        12.5667990000        10.0323070000        11.1789420000        12.5439560000        10.0302920000
        0.2404132522         0.2404112671         3.5176525763         5.0095456871        -2.1671620626        14.6925910000        13.6345010000        12.2140580000        11.0891760000         9.6975400000         8.3141370000         7.6639940000         7.4499950000        11.0894800000        12.4392190000        12.4826630000         9.9674030000        11.1091800000        12.4596810000         9.9654740000
        0.2459894857         0.2459874191         3.5190253997         5.0036539221        -2.1449711957        14.6067870000        13.5507800000        12.1336380000        11.0160920000         9.6361850000         8.2623550000         7.6123350000         7.3987150000        11.0225650000        12.3589140000        12.4023820000         9.9051070000        11.0422740000        12.3792690000         9.9032630000
        0.2520156500         0.2520134978         3.5204923857         4.9979264314        -2.1227630129        14.5209730000        13.4665230000        12.0527670000        10.9425620000         9.5746770000         8.2107090000         7.5606460000         7.3474780000        10.9552910000        12.2781180000        12.3216110000         9.8426040000        10.9750110000        12.2983680000         9.8408480000
        0.2587355747         0.2587333279         3.5221152084         4.9920492409        -2.0993753273        14.4316320000        13.3780880000        11.9679530000        10.8652490000         9.5099680000         8.1564200000         7.5060610000         7.2934590000        10.8844580000        12.1933240000        12.2368430000         9.7768170000        10.9041890000        12.2134740000         9.7751580000
        0.2677845218         0.2677815920         3.5244789149         4.9835436951        -2.0670645121        14.3074400000        13.2548870000        11.8498970000        10.7576800000         9.4204980000         8.0817350000         7.4308410000         7.2190760000        10.7860570000        12.0752910000        12.1188510000         9.6856950000        10.8058050000        12.0953000000         9.6841800000
        0.2745268403         0.2745238111         3.5260945859         4.9778204271        -2.0442013235        14.2216140000        13.1694580000        11.7678610000        10.6825550000         9.3576290000         8.0287570000         7.3774310000         7.1662420000        10.7170570000        11.9932660000        12.0368550000         9.6216390000        10.7368160000        12.0131790000         9.6202290000
