#     initial_mass           star_mass            log_Teff               log_g                log_L              Bessell_U            Bessell_B            Bessell_V            Bessell_R            Bessell_I             2MASS_J              2MASS_H             2MASS_Ks            Gaia_G_MAW          Gaia_BP_MAWb         Gaia_BP_MAWf          Gaia_RP_MAW          Gaia_G_EDR3         Gaia_BP_EDR3         Gaia_RP_EDR3     
        0.2044806463         0.2044779011         3.5089794549         5.0375192454        -2.3005258871        15.2305030000        14.1592430000        12.7189180000        11.5421610000        10.0726630000         8.6234490000         7.9720320000         7.7557250000        11.4997470000        12.9432580000        12.9865200000        10.3475090000        11.5193650000        12.9643940000        10.3451140000
        0.2107170332         0.2107141467         3.5105629909         5.0300137470        -2.2737794146        15.1217800000        14.0544140000        12.6182570000        11.4521060000         9.9975920000         8.5611250000         7.9101960000         7.6942620000        11.4181000000        12.8428260000        12.8861140000        10.2715980000        11.4377340000        12.8638210000        10.2692840000
        0.2167015870         0.2166985590         3.5120740693         5.0228503024        -2.2483672324        15.0195030000        13.9556300000        12.5234100000        11.3669780000         9.9264890000         8.5018600000         7.8513360000         7.6357670000        11.3407500000        12.7481810000        12.7914960000        10.1996470000        11.3603970000        12.7690460000        10.1974130000
        0.2221662645         0.2221631453         3.5134011549         5.0174246056        -2.2276179546        14.9352230000        13.8738680000        12.4449060000        11.2966100000         9.8681640000         8.4536790000         7.8034160000         7.5881870000        11.2769990000        12.6698270000        12.7131650000        10.1405560000        11.2966590000        12.6905810000        10.1383950000
        0.2276563183         0.2276530625         3.5147617393         5.0111495855        -2.2052598892        14.8464570000        13.7878110000        12.3622910000        11.2221150000         9.8058580000         8.4015310000         7.7515280000         7.5366470000        11.2091230000        12.5873650000        12.6307270000        10.0774190000        11.2287940000        12.6080070000        10.0753360000
        0.2330519216         0.2330485328         3.5160955910         5.0050580325        -2.1834721779        14.7606890000        13.7044930000        12.2822980000        11.1497990000         9.7452950000         8.3507010000         7.7009040000         7.4863730000        11.1431240000        12.5075080000        12.5508930000        10.0160110000        11.1628060000        12.5280420000        10.0140050000
        0.2385315774         0.2385280398         3.5174553750         4.9987170198        -2.1610714702        14.6741070000        13.6201060000        12.2012890000        11.0762380000         9.6833360000         8.2983430000         7.6486540000         7.4345080000        11.0757310000        12.4266100000        12.4700170000         9.9531810000        11.0954240000        12.4470410000         9.9512550000
        0.2438821784         0.2438784884         3.5187842787         4.9924770419        -2.1391454480        14.5922160000        13.5395660000        12.1240390000        11.0055730000         9.6231160000         8.2469250000         7.5970580000         7.3833750000        11.0105510000        12.3493910000        12.3928130000         9.8921640000        11.0302530000        12.3697360000         9.8903100000
        0.2493473425         0.2493434894         3.5201423209         4.9861105284        -2.1167542893        14.5093000000        13.4578700000        12.0456500000        10.9337080000         9.5617900000         8.1944150000         7.5443120000         7.3311080000        10.9441640000        12.2710300000        12.3144660000         9.8299930000        10.9638760000        12.2912890000         9.8282170000
        0.2553497613         0.2553457425         3.5216032811         4.9804243644        -2.0952309740        14.4275820000        13.3770050000        11.9680760000        10.8629430000         9.5023480000         8.1443660000         7.4939640000         7.2812740000        10.8792380000        12.1934780000        12.2369370000         9.7696010000        10.8989600000        12.2136470000         9.7679090000
