#     initial_mass           star_mass            log_Teff               log_g                log_L              Bessell_U            Bessell_B            Bessell_V            Bessell_R            Bessell_I             2MASS_J              2MASS_H             2MASS_Ks            Gaia_G_MAW          Gaia_BP_MAWb         Gaia_BP_MAWf          Gaia_RP_MAW          Gaia_G_EDR3         Gaia_BP_EDR3         Gaia_RP_EDR3     
        0.2008910962         0.2008889027         3.5079336023         5.0456403061        -2.3210742454        15.3129090000        14.2375080000        12.7937640000        11.6094080000        10.1295850000         8.6717440000         8.0197750000         7.8032890000        11.5611880000        13.0178790000        13.0611330000        10.4050200000        11.5807970000        13.0391250000        10.4025670000
        0.2077036673         0.2077013511         3.5096867994         5.0374965518        -2.2913127398        15.1913590000        14.1203860000        12.6812630000        11.5089450000        10.0459130000         8.6024300000         7.9510450000         7.7349410000        11.4702190000        12.9056430000        12.9489270000        10.3204530000        11.4898450000        12.9267330000        10.3180880000
        0.2144508871         0.2144484426         3.5114192022         5.0293579089        -2.2618554777        15.0725880000        14.0057540000        12.5711690000        11.4102250000         9.9634400000         8.5337210000         7.8828380000         7.6671490000        11.3805630000        12.7957900000        12.8391040000        10.2370320000        11.4002060000        12.8167290000        10.2347570000
        0.2199362632         0.2199337403         3.5127516598         5.0239751392        -2.2409782567        14.9874150000        13.9231950000        12.4918960000        11.3392660000         9.9046760000         8.4852610000         7.8346660000         7.6193130000        11.3163390000        12.7166730000        12.7600110000        10.1775150000        11.3359950000        12.7375000000        10.1753120000
        0.2255090032         0.2255063716         3.5141280990         5.0178552606        -2.2185516254        14.8977470000        13.8362930000        12.4084630000        11.2641790000         9.8420240000         8.4330100000         7.7826970000         7.5676930000        11.2480410000        12.6333990000        12.6767610000        10.1140390000        11.2677090000        12.6541120000        10.1119140000
        0.2310754801         0.2310727437         3.5154969279         5.0118639668        -2.1964458070        14.8100610000        13.7511360000        12.3267030000        11.1904130000         9.7804110000         8.3814980000         7.7314140000         7.5167670000        11.1808420000        12.5517820000        12.5951670000        10.0515760000        11.2005210000        12.5723830000        10.0495280000
        0.2364938542         0.2364910023         3.5168370610         5.0057677714        -2.1744872706        14.7241270000        13.6675910000        12.2464850000        11.1177730000         9.7194930000         8.3302470000         7.6803510000         7.4660600000        11.1144670000        12.4716970000        12.5151050000         9.9897890000        11.1341560000        12.4921890000         9.9878210000
        0.2418234590         0.2418204886         3.5181561224         4.9997049208        -2.1528184152        14.6403190000        13.5859420000        12.1680810000        11.0465540000         9.6595890000         8.2796250000         7.6298620000         7.4159320000        11.0492320000        12.3934100000        12.4368410000         9.9290050000        11.0689310000        12.4137980000         9.9271160000
        0.2472578913         0.2472547943         3.5195019587         4.9934711735        -2.1306683862        14.5578720000        13.5047910000        12.0902360000        10.9752690000         9.5988250000         8.2276910000         7.5777310000         7.3642730000        10.9834420000        12.3155920000        12.3590370000         9.8674150000        11.0031510000        12.3358950000         9.8656020000
        0.2533746085         0.2533713750         3.5209936724         4.9874556135        -2.1081568369        14.4726310000        13.4205870000        12.0094750000        10.9015570000         9.5367180000         8.1752430000         7.5250150000         7.3120790000        10.9157370000        12.2348550000        12.2783220000         9.8043530000        10.9354570000        12.2550660000         9.8026260000
