#     initial_mass           star_mass            log_Teff               log_g                log_L              Bessell_U            Bessell_B            Bessell_V            Bessell_R            Bessell_I             2MASS_J              2MASS_H             2MASS_Ks            Gaia_G_MAW          Gaia_BP_MAWb         Gaia_BP_MAWf          Gaia_RP_MAW          Gaia_G_EDR3         Gaia_BP_EDR3         Gaia_RP_EDR3     
        0.1804566208         0.1804555426         3.5023186905         5.0764163539        -2.4229388453        15.7326810000        14.6390910000        13.1795220000        11.9525220000        10.4157710000         8.9091430000         8.2544790000         8.0366350000        11.8713270000        13.4025790000        13.4457450000        10.6938150000        11.8908790000        13.4243770000        10.6910970000
        0.1929167581         0.1929155623         3.5057570655         5.0604069632        -2.3621547839        15.4803910000        14.3969320000        12.9464170000        11.7458100000        10.2442220000         8.7679050000         8.1148070000         7.8979970000        11.6851650000        13.1700820000        13.2133120000        10.5207660000        11.7047540000        13.1915510000        10.5182040000
        0.2009747294         0.2009734591         3.5078491404         5.0515346877        -2.3270229991        15.3347500000        14.2566190000        12.8115250000        11.6259750000        10.1448750000         8.6863140000         8.0339780000         7.8176030000        11.5771070000        13.0355210000        13.0787890000        10.4204570000        11.5967200000        13.0568020000        10.4179910000
        0.2087931804         0.2087918352         3.5098543448         5.0431340886        -2.2936690542        15.1980920000        14.1246840000        12.6847210000        11.5128470000        10.0508980000         8.6087560000         7.9570480000         7.7410590000        11.4748190000        12.9090020000        12.9523080000        10.3254690000        11.4944520000        12.9301080000        10.3231010000
        0.2153726543         0.2153712449         3.5115015205         5.0364723751        -2.2668519698        15.0889610000        14.0190720000        12.5832370000        11.4220550000         9.9754780000         8.5464040000         7.8951250000         7.6795400000        11.3926110000        12.8077300000        12.8510660000        10.2491590000        11.4122580000        12.8286950000        10.2468770000
        0.2209791248         0.2209776602         3.5128691755         5.0312216451        -2.2452907528        15.0013340000        13.9340670000        12.5015770000        11.3489030000         9.9148420000         8.4963390000         7.8453540000         7.6301150000        11.3263680000        12.7262270000        12.7695880000        10.1877470000        11.3460290000        12.7470800000        10.1855370000
        0.2268214270         0.2268199027         3.5142958153         5.0256644789        -2.2227326100        14.9106370000        13.8459670000        12.4169520000        11.2728450000         9.8516340000         8.4439010000         7.7931810000         7.5783110000        11.2573290000        12.6417530000        12.6851420000        10.1236890000        11.2770010000        12.6624910000        10.1215590000
        0.2325038884         0.2325023065         3.5156800401         5.0202651389        -2.2008962151        14.8236680000        13.7613490000        12.3356720000        11.1995830000         9.7906380000         8.3931110000         7.7426030000         7.5281000000        11.1906930000        12.5606100000        12.6040240000        10.0618310000        11.2103780000        12.5812380000        10.0597810000
        0.2380192300         0.2380175876         3.5170280577         5.0148664146        -2.1794432146        14.7392480000        13.6791080000        12.2566720000        11.1281340000         9.7309570000         8.3431470000         7.6928120000         7.4786700000        11.1255330000        12.4817330000        12.5251720000        10.0012770000        11.1452280000        12.5022540000         9.9993070000
        0.2439254336         0.2439237235         3.5184720681         5.0089863824        -2.1563693041        14.6494320000        13.5914730000        12.1724820000        11.0517580000         9.6669970000         8.2893630000         7.6391690000         7.4254240000        11.0557200000        12.3976650000        12.4411310000         9.9363450000        11.0754270000        12.4180740000         9.9344630000
        0.2503094585         0.2503076762         3.5200206642         5.0030892439        -2.1327978848        14.5573350000        13.5013430000        12.0859230000        10.9732400000         9.6015620000         8.2345930000         7.5844810000         7.3711750000        10.9840450000        12.3112160000        12.3547130000         9.8698350000        11.0037630000        12.3315110000         9.8680480000
        0.2571198070         0.2571179491         3.5216582562         4.9973397712        -2.1092179958        14.4657380000        13.4110870000        11.9993090000        10.8945430000         9.5360940000         8.1799500000         7.5297200000         7.3169340000        10.9121820000        12.2246650000        12.2681900000         9.8032350000        10.9319120000        12.2448460000         9.8015490000
        0.2638499679         0.2638480321         3.5232768533         4.9915828165        -2.0858446946        14.3771130000        13.3232350000        11.9150120000        10.8175520000         9.4715870000         8.1256900000         7.4751350000         7.2629180000        10.8415530000        12.1403850000        12.1839370000         9.7376170000        10.8612950000        12.1604690000         9.7360290000
