#     initial_mass           star_mass            log_Teff               log_g                log_L              Bessell_U            Bessell_B            Bessell_V            Bessell_R            Bessell_I             2MASS_J              2MASS_H             2MASS_Ks            Gaia_G_MAW          Gaia_BP_MAWb         Gaia_BP_MAWf          Gaia_RP_MAW          Gaia_G_EDR3         Gaia_BP_EDR3         Gaia_RP_EDR3     
        0.1768282326         0.1768267074         3.5012857865         5.0798699293        -2.4407949200        15.8069920000        14.7108670000        13.2489700000        12.0139330000        10.4663720000         8.9504660000         8.2953810000         8.0773330000        11.9263340000        13.4718700000        13.5150110000        10.7448410000        11.9458740000        13.4937640000        10.7420780000
        0.1878443904         0.1878427064         3.5043182187         5.0651011038        -2.3866525511        15.5813540000        14.4947080000        13.0407680000        11.8295200000        10.3136480000         8.8247730000         8.1711830000         7.9539170000        11.7605370000        13.2642210000        13.3074190000        10.5907750000        11.7801080000        13.2858140000        10.5881520000
        0.1973071545         0.1973053286         3.5068788409         5.0528041344        -2.3414937801        15.3950270000        14.3157830000        12.8687700000        11.6766520000        10.1863570000         8.7196510000         8.0671530000         7.8505980000        11.6224790000        13.0926720000        13.1359140000        10.4623410000        11.6420790000        13.1140250000        10.4598350000
        0.2068714631         0.2068694840         3.5094641480         5.0402109419        -2.2957119499        15.2096410000        14.1373720000        12.6973290000        11.5233350000        10.0580580000         8.6127760000         7.9612210000         7.7450850000        11.4833710000        12.9216440000        12.9649290000        10.3327470000        11.5029960000        12.9427610000        10.3303670000
        0.2127861679         0.2127841055         3.5109385330         5.0339980590        -2.2718153371        15.1117740000        14.0427820000        12.6064740000        11.4421810000         9.9907440000         8.5572470000         7.9060980000         7.6903190000        11.4099680000        12.8309860000        12.8742970000        10.2646480000        11.4296080000        12.8519760000        10.2623440000
        0.2183788771         0.2183767272         3.5123161670         5.0281575686        -2.2496245963        15.0216180000        13.9555260000        12.5226880000        11.3671300000         9.9284040000         8.5056510000         7.8548360000         7.6393980000        11.3419600000        12.7473720000        12.7907080000        10.2015360000        11.3616120000        12.7682460000        10.1993060000
        0.2239580534         0.2239558125         3.5136911208         5.0222487653        -2.2274024922        14.9323160000        13.8689790000        12.4395890000        11.2924500000         9.8662050000         8.4539220000         7.8033970000         7.5883080000        11.2741180000        12.6644320000        12.7077920000        10.1385270000        11.2937830000        12.6851910000        10.1363730000
        0.2296166733         0.2296143548         3.5150686994         5.0166333457        -2.2056846191        14.8453560000        13.7844770000        12.3584480000        11.2194170000         9.8054530000         8.4034190000         7.7531240000         7.5383950000        11.2077490000        12.5834320000        12.6268190000        10.0769350000        11.2274260000        12.6040810000        10.0748580000
        0.2351675184         0.2351651019         3.5164382292         5.0105968814        -2.1834114577        14.7577580000        13.6993280000        12.2766870000        11.1454750000         9.7435520000         8.3514730000         7.7013820000         7.4870140000        11.1402650000        12.5018090000        12.5452190000        10.0141570000        11.1599530000        12.5223460000        10.0121600000
        0.2404860898         0.2404835754         3.5177513523         5.0047276440        -2.1619813383        14.6743550000        13.6181320000        12.1987130000        11.0747520000         9.6841970000         8.3014510000         7.6515180000         7.4375040000        11.0755750000        12.4239580000        12.4673900000         9.9539300000        11.0952730000        12.4443910000         9.9520120000
        0.2463856812         0.2463830572         3.5191995855         4.9985514319        -2.1390907887        14.5859460000        13.5316580000        12.1157020000        10.9993010000         9.6208640000         8.2480780000         7.5981870000         7.3845980000        11.0064890000        12.3410420000        12.3845000000         9.8896310000        11.0261980000        12.3613680000         9.8878010000
        0.2523638124         0.2523610741         3.5206632968         4.9924238460        -2.1163079189        14.5002860000        13.4471380000        12.0346280000        10.9251930000         9.5581560000         8.1948740000         7.5447420000         7.3316650000        10.9382920000        12.2599940000        12.3034710000         9.8259920000        10.9580110000        12.2802290000         9.8242450000
