#     initial_mass           star_mass            log_Teff               log_g                log_L              Bessell_U            Bessell_B            Bessell_V            Bessell_R            Bessell_I             2MASS_J              2MASS_H             2MASS_Ks            Gaia_G_MAW          Gaia_BP_MAWb         Gaia_BP_MAWf          Gaia_RP_MAW          Gaia_G_EDR3         Gaia_BP_EDR3         Gaia_RP_EDR3     
        0.1737476455         0.1737461474         3.5004375887         5.0839593515        -2.4559808115        15.8707260000        14.7718510000        13.3077840000        12.0659030000        10.5092340000         8.9856370000         8.3301070000         8.1120280000        11.9729050000        13.5305280000        13.5736520000        10.7880750000        11.9924360000        13.5525080000        10.7852730000
        0.1849660778         0.1849644187         3.5035317163         5.0688683249        -2.4006663514        15.6394540000        14.5504410000        13.0944160000        11.8771100000        10.3531680000         8.8573510000         8.2033950000         7.9858920000        11.8034100000        13.3177290000        13.3609120000        10.6306410000        11.8229720000        13.3393970000        10.6279820000
        0.1950760211         0.1950742090         3.5062906066         5.0554530156        -2.3516248801        15.4367870000        14.3559720000        12.9074060000        11.7110180000        10.2149370000         8.7432210000         8.0904980000         7.8738270000        11.6535170000        13.1312110000        13.1744430000        10.4911920000        11.6731090000        13.1526180000        10.4886580000
        0.2052810762         0.2052790991         3.5090724527         5.0417310368        -2.3019640453        15.2354720000        14.1623610000        12.7213460000        11.5447250000        10.0757410000         8.6272750000         7.9756120000         7.7593820000        11.5026680000        12.9456090000        12.9888860000        10.3506280000        11.5222890000        12.9667600000        10.3482280000
        0.2112643333         0.2112622690         3.5105709280         5.0353319573        -2.2775101976        15.1352410000        14.0655440000        12.6283500000        11.4616960000        10.0068470000         8.5704400000         7.9192080000         7.7033370000        11.4275780000        12.8528190000        12.8961240000        10.2809480000        11.4472140000        12.8738400000        10.2786250000
        0.2168680599         0.2168659076         3.5119512645         5.0294860779        -2.2552819058        15.0446850000        13.9779360000        12.5442240000        11.3864040000         9.9443460000         8.5187720000         7.8678840000         7.6523530000        11.3593920000        12.7688670000        12.8121970000        10.2176830000        11.3790420000        12.7897710000        10.2154330000
        0.2224522259         0.2224499822         3.5133274404         5.0235777653        -2.2330457344        14.9550830000        13.8911340000        12.4608780000        11.3115640000         9.8820530000         8.4670240000         7.8164390000         7.6012540000        11.2914480000        12.6856840000        12.7290380000        10.1545900000        11.3111090000        12.7064730000        10.1524140000
        0.2281050461         0.2281027281         3.5147006419         5.0180503376        -2.2115074925        14.8684910000        13.8070070000        12.3800980000        11.2389360000         9.8217160000         8.4169670000         7.7666190000         7.5517920000        11.2255080000        12.6050470000        12.6484270000        10.0934250000        11.2451820000        12.6257260000        10.0913270000
        0.2336611680         0.2336587517         3.5160714764         5.0120149394        -2.1892199527        14.7805940000        13.7216050000        12.2980970000        11.1648370000         9.7597210000         8.3649970000         7.7148660000         7.5003990000        11.1579190000        12.5231870000        12.5665900000        10.0305600000        11.1776040000        12.5437540000        10.0285430000
        0.2389918385         0.2389893241         3.5173875833         5.0061393597        -2.1677481069        14.6968040000        13.6400710000        12.2198030000        11.0938750000         9.7002000000         8.3148860000         7.6649240000         7.4508090000        11.0930460000        12.4450170000        12.4884430000         9.9701740000        11.1127410000        12.4654790000         9.9682350000
        0.2447904256         0.2447878020         3.5188139150         4.9999502719        -2.1449509218        14.6082360000        13.5536750000        12.1368390000        11.0185630000         9.6370750000         8.2617320000         7.6118950000         7.3981720000        11.0241550000        12.3621720000        12.4056240000         9.9060820000        11.0438610000        12.3825230000         9.9042300000
        0.2506331341         0.2506303967         3.5202488656         4.9937772650        -2.1222287082        14.5230350000        13.4696740000        12.0562620000        10.9448760000         9.5745890000         8.2086030000         7.5585420000         7.3453220000        10.9562900000        12.2816220000        12.3250910000         9.8426920000        10.9760070000        12.3018820000         9.8409220000
        0.2564285908         0.2564257386         3.5216667254         4.9878571517        -2.1002827069        14.4409090000        13.3885270000        11.9784070000        10.8736160000         9.5142820000         8.1573720000         7.5070380000         7.2943180000        10.8906670000        12.2037880000        12.2472770000         9.7814600000        10.9103930000        12.2239610000         9.7797730000
        0.2628663158         0.2628633420         3.5232193939         4.9822297605        -2.0782497949        14.3569770000        13.3052830000        11.8985530000        10.8007700000         9.4533870000         8.1062940000         7.4556160000         7.2434430000        10.8239150000        12.1239520000        12.1674670000         9.7195050000        10.8436520000        12.1440310000         9.7179130000
        0.2698183996         0.2698151554         3.5249497324         4.9760180538        -2.0541974778        14.2656020000        13.2144580000        11.8114170000        10.7211950000         9.3870010000         8.0506330000         7.3995120000         7.1879530000        10.7509880000        12.0368300000        12.0803770000         9.6518900000        10.7707370000        12.0568060000         9.6504040000
        0.2763789250         0.2763755452         3.5265321703         4.9702933349        -2.0317536925        14.1816900000        13.1308570000        11.7311030000        10.6475960000         9.3253620000         7.9986230000         7.3470410000         7.1360480000        10.6833500000        11.9565280000        12.0001050000         9.5890810000        10.7031090000        11.9764110000         9.5876970000
        0.2826715318         0.2826680164         3.5280499176         4.9647764284        -2.0102007599        14.1017820000        13.0510790000        11.6544020000        10.5771750000         9.2663370000         7.9486900000         7.2966180000         7.0861710000        10.6185510000        11.8798370000        11.9234450000         9.5288950000        10.6383200000        11.8996320000         9.5276100000
        0.2903905064         0.2903862838         3.5301210329         4.9575925424        -1.9828502260        13.9988610000        12.9480420000        11.5554000000        10.4865190000         9.1911610000         7.8857380000         7.2329380000         7.0232440000        10.5354520000        11.7808460000        11.8244980000         9.4520720000        10.5552350000        11.8005210000         9.4509270000
        0.2964222987         0.2964179381         3.5316004472         4.9525352011        -1.9624914796        13.9239160000        12.8727800000        11.4828860000        10.4198450000         9.1355400000         7.8387540000         7.1853890000         6.9762340000        10.4741230000        11.7083400000        11.7520280000         9.3952280000        10.4939170000        11.7279310000         9.3941840000
        0.3020532752         0.3020487805         3.5329606410         4.9477725313        -1.9435090796        13.8547290000        12.8031850000        11.4157560000        10.3580050000         9.0838430000         7.7949180000         7.1409960000         6.9323450000        10.4171500000        11.6412180000        11.6849410000         9.3423760000        10.4369540000        11.6607330000         9.3414270000
        0.3062463954         0.3062417941         3.5340403765         4.9444713352        -1.9296413764        13.8031200000        12.7510780000        11.3654830000        10.3118900000         9.0458350000         7.7631540000         7.1087870000         6.9005370000        10.3749100000        11.5909520000        11.6347040000         9.3034240000        10.3947220000        11.6104060000         9.3025520000
        0.3103152281         0.3103105226         3.5350936099         4.9415716558        -1.9167440929        13.7545820000        12.7019250000        11.3180270000        10.2684620000         9.0103610000         7.7337680000         7.0789650000         6.8711060000        10.3352710000        11.5435030000        11.5872860000         9.2670060000        10.3550890000        11.5628990000         9.2662110000
        0.3124502747         0.3124455023         3.5356663912         4.9400303806        -1.9099001333        13.7286820000        12.6756560000        11.2926580000        10.2452740000         8.9915070000         7.7182220000         7.0631770000         6.8555330000        10.3141400000        11.5181370000        11.5619370000         9.2476310000        10.3339630000        11.5375000000         9.2468780000
        0.3134652745         0.3134604566         3.5359146976         4.9393962966        -1.9068733618        13.7173230000        12.6641280000        11.2815110000        10.2350700000         8.9831860000         7.7113340000         7.0561850000         6.8486330000        10.3048300000        11.5069920000        11.5508000000         9.2390820000        10.3246550000        11.5263410000         9.2383470000
        0.3144625779         0.3144577203         3.5361646007         4.9387360255        -1.9038384084        13.7059250000        12.6525590000        11.2703280000        10.2248330000         8.9748430000         7.7044310000         7.0491750000         6.8417180000        10.2954900000        11.4958100000        11.5396260000         9.2305100000        10.3153170000        11.5151450000         9.2297930000
        0.3154512339         0.3154463432         3.5363948879         4.9380535447        -1.9008716210        13.6949960000        12.6414790000        11.2596100000        10.2149890000         8.9667370000         7.6976450000         7.0422860000         6.8349170000        10.2864670000        11.4850940000        11.5289170000         9.2221910000        10.3062950000        11.5044170000         9.2214920000
        0.3164938788         0.3164889577         3.5366570847         4.9373793435        -1.8977110276        13.6831150000        12.6294080000        11.2479330000        10.2043050000         8.9580460000         7.6904650000         7.0349940000         6.8277240000        10.2767260000        11.4734190000        11.5172510000         9.2132560000        10.2965560000        11.4927270000         9.2125760000
