#     initial_mass           star_mass            log_Teff               log_g                log_L              Bessell_U            Bessell_B            Bessell_V            Bessell_R            Bessell_I             2MASS_J              2MASS_H             2MASS_Ks            Gaia_G_MAW          Gaia_BP_MAWb         Gaia_BP_MAWf          Gaia_RP_MAW          Gaia_G_EDR3         Gaia_BP_EDR3         Gaia_RP_EDR3     
        0.1037528450         0.1037525937         3.4614010834         5.2255922202        -2.9739801630        18.5790620000        17.3249630000        15.7152350000        14.0697040000        12.1119400000        10.1571570000         9.4660250000         9.2377410000        13.7084080000        15.9297170000        15.9725650000        12.3769920000        13.7271450000        15.9549340000        12.3746600000
        0.1066567485         0.1066564880         3.4634443179         5.2187002371        -2.9486882106        18.4299180000        17.1858060000        15.5872040000        13.9668900000        12.0271120000        10.0987820000         9.4110000000         9.1836070000        13.6193920000        15.8021320000        15.8450110000        12.2947880000        13.6381990000        15.8272740000        12.2922840000
        0.1111039488         0.1111036738         3.4665654845         5.2081007408        -2.9099418008        18.2037640000        16.9746060000        15.3923390000        13.8099480000        11.8982160000        10.0094030000         9.3264600000         9.1004390000        13.4835280000        15.6079340000        15.6507780000        12.1694680000        13.5024320000        15.6329070000        12.1667320000
        0.1153461533         0.1153458640         3.4695429972         5.1979905908        -2.8729813126        17.9904860000        16.7752090000        15.2077920000        13.6607940000        11.7764880000         9.9244250000         9.2457130000         9.0209710000        13.3545110000        15.4239980000        15.4668160000        12.0506950000        13.3735020000        15.4487950000        12.0477720000
        0.1194662224         0.1194659186         3.4724350876         5.1881720782        -2.8370842905        17.7859080000        16.5837440000        15.0302800000        13.5165770000        11.6595630000         9.8422880000         9.1673390000         8.9437690000        13.2299100000        15.2468870000        15.2896350000        11.9362450000        13.2489800000        15.2714630000        11.9331710000
        0.1239410992         0.1239407791         3.4755766378         5.1775056867        -2.7980919819        17.5669380000        16.3785480000        14.8393560000        13.3607810000        11.5341610000         9.7536470000         9.0824280000         8.8600000000        13.0955070000        15.0567240000        15.0994530000        11.8131200000        13.1146580000        15.0810810000        11.8099160000
        0.1282655931         0.1282652566         3.4785680729         5.1673007034        -2.7607889590        17.3615340000        16.1857320000        14.6591260000        13.2128640000        11.4160180000         9.6699000000         9.0014940000         8.7799740000        12.9681080000        14.8772700000        14.9200090000        11.6967370000        12.9873320000        14.9013960000        11.6934450000
        0.1326332283         0.1326328747         3.4815143379         5.1571666092        -2.7237507427        17.1618060000        15.9979040000        14.4822190000        13.0667610000        11.3005590000         9.5874920000         8.9212810000         8.7004980000        12.8426030000        14.7010990000        14.7438620000        11.5824170000        12.8618900000        14.7249730000        11.5790850000
        0.1373141071         0.1373137344         3.4846699311         5.1463106532        -2.6840738688        16.9514960000        15.7987420000        14.2942140000        12.9106010000        11.1784310000         9.4996120000         8.8354540000         8.6153200000        12.7087910000        14.5138320000        14.5566370000        11.4608890000        12.7281340000        14.5374170000        11.4575620000
        0.1419538564         0.1419534642         3.4876738097         5.1358344241        -2.6457967606        16.7532580000        15.6111580000        14.1155260000        12.7611130000        11.0621610000         9.4148840000         8.7524910000         8.5328690000        12.5806660000        14.3357990000        14.3786560000        11.3446710000        12.6000550000        14.3590950000        11.3413900000
        0.1464891997         0.1464887875         3.4906397251         5.1255328419        -2.6081719447        16.5611190000        15.4293500000        13.9411790000        12.6144950000        10.9487590000         9.3316540000         8.6708700000         8.4516840000        12.4550240000        14.1620520000        14.2049690000        11.2309050000        12.4744520000        14.1850520000        11.2276990000
        0.1569193311         0.1569188784         3.4944843807         5.1100089586        -2.5489607715        16.2883470000        15.1700950000        13.6913660000        12.3992870000        10.7768840000         9.1975520000         8.5388730000         8.3201720000        12.2666340000        13.9130040000        13.9560010000        11.0580230000        12.2861050000        13.9356030000        11.0549570000
        0.1668224508         0.1668219578         3.4981277114         5.0952934158        -2.4928336622        16.0344450000        14.9277210000        13.4577290000        12.1967360000        10.6148130000         9.0699590000         8.4131620000         8.1949520000        12.0886580000        13.6800320000        13.7231100000        10.8946400000        12.1081670000        13.7022550000        10.8917280000
        0.1800965145         0.1800959682         3.5020940760         5.0780843116        -2.4260347399        15.7476770000        14.6530900000        13.1928100000        11.9639640000        10.4247890000         8.9161470000         8.2613310000         8.0434270000        11.8813510000        13.4158140000        13.4589780000        10.7029460000        11.9009000000        13.4376370000        10.7002160000
        0.1921082407         0.1921076463         3.5053200292         5.0643757488        -2.3710428315        15.5168150000        14.4312030000        12.9791020000        11.7750060000        10.2688880000         8.7887710000         8.1353640000         7.9184390000        11.7117650000        13.2026530000        13.2458800000        10.5456630000        11.7313500000        13.2241720000        10.5430770000
        0.2031770568         0.2031764162         3.5082739318         5.0519484810        -2.3209336934        15.3099230000        14.2318280000        12.7873770000        11.6045440000        10.1273570000         8.6723160000         8.0199880000         7.8037150000        11.5579380000        13.0113930000        13.0546750000        10.4027760000        11.5775550000        13.0326470000        10.4003250000
        0.2114284472         0.2114277718         3.5103952840         5.0436143077        -2.2860620374        15.1672770000        14.0938760000        12.6547440000        11.4861540000        10.0290800000         8.5912690000         7.9395570000         7.7237300000        11.4508980000        12.8790450000        12.9223690000        10.3034150000        11.4705360000        12.9001190000        10.3010700000
        0.2176459651         0.2176452638         3.5118964254         5.0385153176        -2.2629251332        15.0721360000        14.0014890000        12.5659320000        11.4068780000         9.9636750000         8.5376820000         7.8862970000         7.6708500000        11.3793520000        12.7904050000        12.8337580000        10.2372010000        11.3990050000        12.8113560000        10.2349330000
        0.2239199498         0.2239192216         3.5134122613         5.0333543348        -2.2395576051        14.9770990000        13.9090580000        12.4770870000        11.3272960000         9.8978640000         8.4835030000         7.8324010000         7.6173480000        11.3073550000        12.7017190000        12.7451030000        10.1705240000        11.3270230000        12.7225480000        10.1683370000
        0.2297746144         0.2297738604         3.5148297243         5.0285326745        -2.2177457695        14.8892770000        13.8235050000        12.3948580000        11.2534100000         9.8366400000         8.4328940000         7.7820110000         7.5673330000        11.2403640000        12.6196270000        12.6630390000        10.1084490000        11.2600440000        12.6403450000        10.1063410000
        0.2357863955         0.2357856142         3.5162870338         5.0235621904        -2.1953311448        14.7999320000        13.7363230000        12.3110640000        11.1778880000         9.7739330000         8.3808480000         7.7301480000         7.5158640000        11.1717430000        12.5359610000        12.5794020000        10.0448270000        11.1914360000        12.5565660000        10.0428040000
        0.2419302334         0.2419294234         3.5177769574         5.0184591906        -2.1723970283        14.7094880000        13.6479190000        12.2260890000        11.1010620000         9.7100020000         8.3275590000         7.6770010000         7.4631290000        11.1017820000        12.4511040000        12.4945750000         9.9799190000        11.1214870000        12.4715960000         9.9779840000
        0.2498717796         0.2498709189         3.5196065959         5.0119452323        -2.1446876138        14.6007080000        13.5414300000        12.1237660000        11.0083730000         9.6329140000         8.2632240000         7.6127840000         7.3994260000        11.0172950000        12.3489160000        12.3924240000         9.9015740000        11.0370130000        12.3692700000         9.8997530000
        0.2573305310         0.2573296326         3.5214005673         5.0065700464        -2.1192608540        14.5003600000        13.4427250000        12.0289310000        10.9224910000         9.5619890000         8.2044610000         7.5540360000         7.3412060000        10.9391760000        12.2541790000        12.2977250000         9.8293750000        10.9589080000        12.2744050000         9.8276660000
        0.2666227664         0.2666218044         3.5235780931         4.9996508993        -2.0882016096        14.3795950000        13.3236750000        11.9145300000        10.8184810000         9.4758030000         8.1326190000         7.4821280000         7.2699540000        10.8442790000        12.1398800000        12.1834730000         9.7415700000        10.8640280000        12.1599540000         9.7400030000
        0.2756979846         0.2756969726         3.5257424536         4.9936756539        -2.0591972082        14.2683600000        13.2128460000        11.8080830000        10.7214150000         9.3954180000         8.0657400000         7.4147910000         7.2033740000        10.7556010000        12.0334430000        12.0770800000         9.6595950000        10.7753650000        12.0533900000         9.6581660000
        0.2843399172         0.2843388866         3.5278320646         4.9889565318        -2.0325017329        14.1656040000        13.1100320000        11.7092420000        10.6313010000         9.3213330000         8.0044760000         7.3530390000         7.1423570000        10.6734450000        11.9346050000        11.9782880000         9.5838930000        10.6932230000        11.9544290000         9.5826020000
        0.2919537429         0.2919526691         3.5296842724         4.9839803368        -2.0082164981        14.0737090000        13.0179870000        11.6207080000        10.5502800000         9.2543750000         7.9486310000         7.2966870000         7.0866680000        10.5993110000        11.8460730000        11.8897990000         9.5154410000        10.6191020000        11.8657890000         9.5142760000
        0.2987556413         0.2987545271         3.5313818922         4.9796523255        -1.9866842508        13.9919970000        12.9359070000        11.5417090000        10.4780140000         9.1949750000         7.8992980000         7.2468540000         7.0374460000        10.5332830000        11.7670760000        11.8108440000         9.4546180000        10.5530850000        11.7866960000         9.4535710000
        0.3047172417         0.3047160898         3.5328530754         4.9757816603        -1.9677341776        13.9208920000        12.8643650000        11.4727750000        10.4148140000         9.1428960000         7.8558450000         7.2029340000         6.9940610000        10.4754300000        11.6981450000        11.7419500000         9.4012680000        10.4952420000        11.7176810000         9.4003260000
        0.3075015461         0.3075004177         3.5335637245         4.9749903800        -1.9601148446        13.8906450000        12.8337150000        11.4432310000        10.3880130000         9.1215500000         7.8387170000         7.1856130000         6.9769950000        10.4512500000        11.6686000000        11.7124250000         9.3792890000        10.4710670000        11.6880950000         9.3783980000
        0.3102522339         0.3102510875         3.5342989437         4.9733510371        -1.9516353054        13.8578500000        12.8005750000        11.4113040000        10.3589110000         9.0980390000         7.8195040000         7.1661620000         6.9578120000        10.4248160000        11.6366750000        11.6805210000         9.3551170000        10.4446390000        11.6561290000         9.3542800000
        0.3115455054         0.3115443472         3.5346346976         4.9725317121        -1.9476645801        13.8426490000        12.7852170000        11.3965020000        10.3453920000         9.0870690000         7.8104850000         7.1570300000         6.9488030000        10.4125100000        11.6218740000        11.6657300000         9.3438430000        10.4323350000        11.6413100000         9.3430300000
        0.3123512386         0.3123500717         3.5348375203         4.9720111508        -1.9452217687        13.8333590000        12.7758340000        11.3874570000        10.3371220000         9.0803350000         7.8049260000         7.1514020000         6.9432510000        10.4049690000        11.6128290000        11.6566920000         9.3369240000        10.4247960000        11.6322540000         9.3361260000
        0.3131308320         0.3131296574         3.5350334877         4.9715266985        -1.9428785282        13.8244350000        12.7668140000        11.3787590000        10.3291710000         9.0738720000         7.7996000000         7.1460080000         6.9379290000        10.3977250000        11.6041330000        11.6480000000         9.3302820000        10.4175530000        11.6235450000         9.3294980000
        0.3140100531         0.3140088706         3.5352540155         4.9709853738        -1.9402428041        13.8144020000        12.7566700000        11.3689760000        10.3202280000         9.0666020000         7.7936090000         7.1399410000         6.9319440000        10.3895750000        11.5943490000        11.6382240000         9.3228100000        10.4094050000        11.6137500000         9.3220420000
        0.3148705345         0.3148693450         3.5354816852         4.9704808721        -1.9376512731        13.8043810000        12.7465220000        11.3591900000        10.3113090000         9.0594190000         7.7877500000         7.1340060000         6.9260920000        10.3814790000        11.5845650000        11.6284460000         9.3154160000        10.4013110000        11.6039520000         9.3146670000
        0.3157547885         0.3157535938         3.5357084874         4.9699839100        -1.9350250368        13.7942970000        12.7363090000        11.3493350000        10.3023160000         9.0521540000         7.7818030000         7.1279820000         6.9201530000        10.3733050000        11.5747100000        11.6185970000         9.3079410000        10.3931390000        11.5940850000         9.3072090000
        0.3175399872         0.3175387787         3.5363134766         4.9688224366        -1.9290841844        13.7701130000        12.7117200000        11.3256590000        10.2809400000         9.0354280000         7.7686130000         7.1145920000         6.9069850000        10.3541340000        11.5510370000        11.5949430000         9.2906480000        10.3739720000        11.5703770000         9.2899600000
        0.3184497508         0.3184485395         3.5365409577         4.9683500107        -1.9264489772        13.7600220000        12.7014840000        11.3157720000        10.2719140000         9.0281430000         7.7626500000         7.1085510000         6.9010290000        10.3459310000        11.5411510000        11.5850640000         9.2831490000        10.3657700000        11.5604780000         9.2824770000
        0.3193230491         0.3193218368         3.5367586258         4.9678998514        -1.9239253982        13.7503670000        12.6916880000        11.3063070000        10.2632730000         9.0211690000         7.7569390000         7.1027660000         6.8953250000        10.3380770000        11.5316870000        11.5756070000         9.2759690000        10.3579180000        11.5510030000         9.2753140000
        0.3214309076         0.3214296856         3.5372501264         4.9666482489        -1.9178713468        13.7276740000        12.6687010000        11.2840910000        10.2429140000         9.0045520000         7.7431530000         7.0888000000         6.8815440000        10.3194790000        11.5094740000        11.5534090000         9.2588850000        10.3393240000        11.5287620000         9.2582670000
        0.3247456557         0.3247444129         3.5381846420         4.9642863956        -1.9073578959        13.6871090000        12.6275120000        11.2443210000        10.2066740000         8.9754630000         7.7194540000         7.0647530000         6.8578500000        10.2865990000        11.4697130000        11.5136770000         9.2288970000        10.3064520000        11.4889480000         9.2283510000
        0.3286234321         0.3286221681         3.5390574763         4.9601363083        -1.8945884174        13.6417710000        12.5818170000        11.2001510000        10.1657840000         8.9410720000         7.6899250000         7.0347960000         6.8282390000        10.2487300000        11.4255580000        11.4695450000         9.1936730000        10.2685880000        11.4447430000         9.1931920000
        0.3340793062         0.3340780073         3.5403057261         4.9558303178        -1.8781563174        13.5817950000        12.5210190000        11.1412750000        10.1116060000         8.8963860000         7.6523240000         6.9966430000         6.7905770000        10.1989730000        11.3667030000        11.4107290000         9.1477610000        10.2188420000        11.3858170000         9.1473760000
