#     initial_mass           star_mass            log_Teff               log_g                log_L              Bessell_U            Bessell_B            Bessell_V            Bessell_R            Bessell_I             2MASS_J              2MASS_H             2MASS_Ks            Gaia_G_MAW          Gaia_BP_MAWb         Gaia_BP_MAWf          Gaia_RP_MAW          Gaia_G_EDR3         Gaia_BP_EDR3         Gaia_RP_EDR3     
        0.1906733560         0.1906709730         3.5052445169         5.0572221890        -2.3680903497        15.5050350000        14.4227410000        12.9720250000        11.7682170000        10.2620070000         8.7812630000         8.1283090000         7.9112860000        11.7048050000        13.1957150000        13.2389180000        10.5386610000        11.7243840000        13.2172010000        10.5360860000
        0.2010615235         0.2010589052         3.5080984102         5.0419958120        -2.3156605376        15.2924480000        14.2187820000        12.7760620000        11.5931760000        10.1151850000         8.6587200000         8.0069850000         7.7904790000        11.5459560000        13.0002600000        13.0435090000        10.3904810000        11.5655640000        13.0214770000        10.3880420000
        0.2082375485         0.2082347715         3.5099677626         5.0327841462        -2.2831667094        15.1607870000        14.0920080000        12.6542990000        11.4842190000        10.0241130000         8.5828960000         7.9317940000         7.7157170000        11.4470860000        12.8787840000        12.9220630000        10.2984380000        11.4667140000        12.8998320000        10.2960940000
        0.2137731004         0.2137702019         3.5113368276         5.0266263516        -2.2608037638        15.0695760000        14.0039040000        12.5697140000        11.4085600000         9.9612420000         8.5308760000         7.8801460000         7.6644010000        11.3785600000        12.7943830000        12.8376860000        10.2348230000        11.3982000000        12.8153120000        10.2325500000
        0.2192363746         0.2192333507         3.5126888884         5.0204795894        -2.2386599541        14.9802250000        13.9174790000        12.4867440000        11.3341030000         9.8992060000         8.4793050000         7.8289000000         7.6134890000        11.3109580000        12.7115830000        12.7549100000        10.1720160000        11.3306100000        12.7323980000        10.1698160000
        0.2246980018         0.2246948909         3.5140126838         5.0151255268        -2.2180572727        14.8968320000        13.8365020000        12.4089940000        11.2643320000         9.8413540000         8.4314640000         7.7812980000         7.5662290000        11.2477050000        12.6339750000        12.6773250000        10.1133850000        11.2673700000        12.6546820000        10.1112580000
        0.2301844212         0.2301811743         3.5153723837         5.0088493414        -2.1957086201        14.8085050000        13.7508050000        12.3267210000        11.1900470000         9.7791630000         8.3793220000         7.7293940000         7.5146780000        11.1799570000        12.5518510000        12.5952240000        10.0503500000        11.1996340000        12.5724460000        10.0483010000
        0.2355742003         0.2355708137         3.5167091438         5.0026270581        -2.1736929329        14.7224040000        13.6671240000        12.2463770000        11.1172870000         9.7181040000         8.3279170000         7.6781820000         7.4638190000        11.1134560000        12.4716400000        12.5150370000         9.9884280000        11.1331420000        12.4921260000         9.9864570000
        0.2410705116         0.2410669763         3.5180723409         4.9962931348        -2.1512907634        14.6371290000        13.5836520000        12.1662820000        11.0443160000         9.6563260000         8.2754830000         7.6257190000         7.4117850000        11.0464030000        12.3916170000        12.4350320000         9.9258040000        11.0661000000        12.4120070000         9.9239110000
        0.2464687081         0.2464650209         3.5194107272         4.9900935382        -2.1293974164        14.5554830000        13.5032770000        12.0891820000        10.9737530000         9.5962280000         8.2241720000         7.5742050000         7.3607390000        10.9813100000        12.3145470000        12.3579760000         9.8648870000        11.0010160000        12.3348510000         9.8630690000
