#     initial_mass           star_mass            log_Teff               log_g                log_L              Bessell_U            Bessell_B            Bessell_V            Bessell_R            Bessell_I             2MASS_J              2MASS_H             2MASS_Ks            Gaia_G_MAW          Gaia_BP_MAWb         Gaia_BP_MAWf          Gaia_RP_MAW          Gaia_G_EDR3         Gaia_BP_EDR3         Gaia_RP_EDR3     
        0.1868088645         0.1868068106         3.5041162355         5.0643594847        -2.3894360624        15.5927000000        14.5062660000        13.0521540000        11.8395560000        10.3217770000         8.8311320000         8.1775620000         7.9602170000        11.7694330000        13.2756060000        13.3187940000        10.5989560000        11.7890010000        13.2972090000        10.5963280000
        0.1968108455         0.1968086000         3.5068474632         5.0504252010        -2.3401342734        15.3903390000        14.3121760000        12.8656020000        11.6735380000        10.1831500000         8.7161870000         8.0638350000         7.8472210000        11.6192750000        13.0895490000        13.1327830000        10.4591000000        11.6388720000        13.1108920000        10.4565960000
        0.2065182159         0.2065157715         3.5094871144         5.0368001583        -2.2924013514        15.1980270000        14.1272870000        12.6879640000        11.5144770000        10.0496820000         8.6045900000         7.9532370000         7.7370680000        11.4747370000        12.9123480000        12.9556230000        10.3242950000        11.4943610000        12.9334460000        10.3219230000
        0.2120675274         0.2120649833         3.5108521097         5.0309290175        -2.2704208727        15.1077230000        14.0400450000        12.6041940000        11.4396960000         9.9877150000         8.5535360000         7.9025590000         7.6867200000        11.4071330000        12.8287600000        12.8720600000        10.2616030000        11.4267700000        12.8497410000        10.2593000000
        0.2176236402         0.2176209861         3.5122244358         5.0248481525        -2.2480819436        15.0171310000        13.9524330000        12.5200790000        11.3643210000         9.9250190000         8.5015540000         7.8509200000         7.6354180000        11.3387830000        12.7448200000        12.7881430000        10.1981380000        11.3584330000        12.7656840000        10.1959090000
        0.2231807198         0.2231779831         3.5135729318         5.0193934952        -2.2270028460        14.9316020000        13.8694450000        12.4403960000        11.2928720000         9.8657890000         8.4526070000         7.8022350000         7.5870780000        11.2740400000        12.6652860000        12.7086360000        10.1381250000        11.2937030000        12.6860410000        10.1359690000
        0.2286397732         0.2286369197         3.5149231556         5.0132797863        -2.2049075986        14.8438820000        13.7843680000        12.3587190000        11.2192150000         9.8042110000         8.4010870000         7.7509670000         7.5361580000        11.2069360000        12.5837580000        12.6271310000        10.0757190000        11.2266090000        12.6044010000        10.0736390000
        0.2340157827         0.2340128090         3.5162537153         5.0071918272        -2.1830777104        14.7581200000        13.7010580000        12.2787340000        11.1468680000         9.7435780000         8.3501420000         7.7002290000         7.4857690000        11.1408770000        12.5039100000        12.5473060000        10.0142370000        11.1605610000        12.5244450000        10.0122360000
        0.2394596560         0.2394565549         3.5176019152         5.0009713072        -2.1609131663        14.6719380000        13.6171980000        12.1982080000        11.0738200000         9.6822150000         8.2983780000         7.6486310000         7.4345330000        11.0740370000        12.4235120000        12.4669310000         9.9519820000        11.0937310000        12.4439390000         9.9500630000
        0.2450756389         0.2450724029         3.5189881731         4.9947455834        -2.1385592189        14.5875440000        13.5342680000        12.1186580000        11.0012040000         9.6206510000         8.2460730000         7.5961890000         7.3825570000        11.0072220000        12.3440070000        12.3874440000         9.8895650000        11.0269270000        12.3643420000         9.8877220000
