#     initial_mass           star_mass            log_Teff               log_g                log_L              Bessell_U            Bessell_B            Bessell_V            Bessell_R            Bessell_I             2MASS_J              2MASS_H             2MASS_Ks            Gaia_G_MAW          Gaia_BP_MAWb         Gaia_BP_MAWf          Gaia_RP_MAW          Gaia_G_EDR3         Gaia_BP_EDR3         Gaia_RP_EDR3     
        0.2003676076         0.2003651396         3.5078098314         5.0449016932        -2.3228644641        15.3196600000        14.2445340000        12.8007310000        11.6156490000        10.1347370000         8.6758700000         8.0239370000         7.8074070000        11.5667900000        13.0248540000        13.0681010000        10.4102060000        11.5863960000        13.0461040000        10.4077500000
        0.2082979117         0.2082952718         3.5099102610         5.0343283829        -2.2857382520        15.1697740000        14.1002900000        12.6621770000        11.4915800000        10.0308310000         8.5891520000         7.9379580000         7.7218830000        11.4541050000        12.8866310000        12.9299120000        10.3052120000        11.4737330000        12.9076900000        10.3028620000
        0.2146498746         0.2146471181         3.5115119021         5.0271060892        -2.2591983260        15.0621290000        13.9962940000        12.5623040000        11.4021390000         9.9563460000         8.5273490000         7.8765930000         7.6609050000        11.3730020000        12.7869720000        12.8302810000        10.2298530000        11.3926450000        12.8078930000        10.2275870000
        0.2201526395         0.2201497635         3.5128729025         5.0209680767        -2.2369509594        14.9724260000        13.9095040000        12.4789840000        11.3273460000         9.8940330000         8.4755400000         7.8251050000         7.6097540000        11.3050870000        12.7038210000        12.7471540000        10.1667580000        11.3247420000        12.7246270000        10.1645650000
        0.2255785122         0.2255755133         3.5142157577         5.0148474390        -2.2149425786        14.8846390000        13.8244400000        12.3973230000        11.2538090000         9.8326070000         8.4242360000         7.7740740000         7.5590650000        11.2381550000        12.6223140000        12.6656700000        10.1045270000        11.2578220000        12.6430080000        10.1024080000
        0.2310325300         0.2310294236         3.5155523076         5.0090550705        -2.1935440759        14.7996280000        13.7418410000        12.3180180000        11.1822830000         9.7729230000         8.3744000000         7.7244490000         7.5097910000        11.1730250000        12.5431480000        12.5865280000        10.0440120000        11.1927030000        12.5637320000        10.0419710000
        0.2365098834         0.2365066416         3.5169097281         5.0027730893        -2.1712163078        14.7123910000        13.6570330000        12.2365880000        11.1085180000         9.7110160000         8.3222680000         7.6725060000         7.4582070000        11.1055930000        12.4618520000        12.5052550000         9.9812230000        11.1252810000        12.4823270000         9.9792630000
        0.2418851337         0.2418817532         3.5182428464         4.9965531207        -2.1492456528        14.6288440000        13.5752660000        12.1581250000        11.0370090000         9.6504610000         8.2708370000         7.6210540000         7.4071710000        11.0398670000        12.3834610000        12.4268820000         9.9198330000        11.0595660000        12.4038420000         9.9179500000
        0.2475299523         0.2475264234         3.5196367062         4.9903018284        -2.1268451853        14.5449610000        13.4926400000        12.0788700000        10.9645330000         9.5888840000         8.2184030000         7.5684050000         7.3550110000        10.9730830000        12.3042350000        12.3476720000         9.8573990000        10.9927910000        12.3245280000         9.8555940000
        0.2534054928         0.2534018118         3.5210731142         4.9844160300        -2.1050280117        14.4626040000        13.4112680000        12.0008140000        10.8932470000         9.5287500000         8.1675480000         7.5172790000         7.3043890000        10.9075650000        12.2262030000        12.2696610000         9.7963440000        10.9272840000        12.2464070000         9.7946210000
        0.2593633590         0.2593595162         3.5225300035         4.9784630930        -2.0829113124        14.3798520000        13.3293460000        11.9221920000        10.8212800000         9.4679720000         8.1159970000         7.4654000000         7.2530260000        10.8413240000        12.1476000000        12.1910800000         9.7345950000        10.8610530000        12.1677150000         9.7329600000
        0.2654438240         0.2654398194         3.5240021557         4.9730090775        -2.0618179214        14.3002240000        13.2502570000        11.8462730000        10.7518970000         9.4098390000         8.0670620000         7.4160900000         7.2042370000        10.7776440000        12.0716980000        12.1152050000         9.6754410000        10.7973830000        12.0917240000         9.6738950000
        0.2716541600         0.2716499841         3.5255029990         4.9675825069        -2.0405532668        14.2203580000        13.1707410000        11.7698990000        10.6820010000         9.3513320000         8.0177860000         7.3663860000         7.1550670000        10.7134660000        11.9953360000        12.0388710000         9.6158550000        10.7332140000        12.0152740000         9.6144040000
        0.2777412713         0.2777369200         3.5269740068         4.9622774909        -2.0197246476        14.1427410000        13.0933050000        11.6954650000        10.6137560000         9.2941770000         7.9695360000         7.3176720000         7.1068800000        10.6507320000        11.9209130000        11.9644770000         9.5576040000        10.6704920000        11.9407650000         9.5562470000
