#     initial_mass           star_mass            log_Teff               log_g                log_L              Bessell_U            Bessell_B            Bessell_V            Bessell_R            Bessell_I             2MASS_J              2MASS_H             2MASS_Ks            Gaia_G_MAW          Gaia_BP_MAWb         Gaia_BP_MAWf          Gaia_RP_MAW          Gaia_G_EDR3         Gaia_BP_EDR3         Gaia_RP_EDR3     
        0.1878584580         0.1878563937         3.5044007560         5.0629642849        -2.3843408390        15.5716290000        14.4860550000        13.0327070000        11.8222920000        10.3074170000         8.8192760000         8.1658380000         7.9485780000        11.7538630000        13.2562110000        13.2994050000        10.5844720000        11.7734350000        13.2777870000        10.5818560000
        0.1976227221         0.1976204713         3.5070590879         5.0494615877        -2.3364954494        15.3753630000        14.2977600000        12.8517460000        11.6612050000        10.1728900000         8.7077190000         8.0554450000         7.8388550000        11.6081300000        13.0757270000        13.1189640000        10.4487400000        11.6277300000        13.0970510000        10.4462460000
        0.2071094631         0.2071070187         3.5096311190         5.0362454638        -2.2901246704        15.1886140000        14.1181770000        12.6792100000        11.5066790000        10.0432400000         8.5993120000         7.9479970000         7.7318630000        11.4677030000        12.9036110000        12.9468890000        10.3177800000        11.4873290000        12.9246980000        10.3154140000
        0.2126540093         0.2126514667         3.5109936892         5.0304107229        -2.2682264209        15.0986960000        14.0312860000        12.5957770000        11.4321840000         9.9815120000         8.5484500000         7.8975060000         7.6817020000        11.4003520000        12.8203590000        12.8636620000        10.2553250000        11.4199910000        12.8413290000        10.2530300000
        0.2182113614         0.2182087089         3.5123663218         5.0243269500        -2.2458809551        15.0081730000        13.9437290000        12.5117150000        11.3568310000         9.9188200000         8.4964480000         7.8458400000         7.6303750000        11.3320060000        12.7364710000        12.7797980000        10.1918590000        11.3516570000        12.7573240000        10.1896370000
        0.2237691413         0.2237664047         3.5137163333         5.0188322955        -2.2247253327        14.9224850000        13.8605800000        12.4318780000        11.2852110000         9.8594130000         8.4473090000         7.7969620000         7.5818430000        11.2670810000        12.6567830000        12.7001350000        10.1316640000        11.2867440000        12.6775260000        10.1295170000
        0.2292251628         0.2292223094         3.5150658051         5.0127198920        -2.2026402749        14.8348940000        13.7756150000        12.3503070000        11.2116280000         9.7978840000         8.3958090000         7.7457090000         7.5309390000        11.2000290000        12.5753610000        12.6187360000        10.0693040000        11.2197040000        12.5959920000        10.0672320000
        0.2345977136         0.2345947402         3.5163955078         5.0066338042        -2.1808223890        14.7492710000        13.6924250000        12.2704350000        11.1393590000         9.7373030000         8.3448890000         7.6949900000         7.4805690000        11.1340270000        12.4956250000        12.5390220000        10.0078710000        11.1537130000        12.5161480000        10.0058780000
        0.2400408833         0.2400377825         3.5177435315         5.0004122984        -2.1586589268        14.6631870000        13.6086440000        12.1899840000        11.0663580000         9.6759640000         8.2931250000         7.6433880000         7.4293290000        11.0672150000        12.4152990000        12.4587210000         9.9456390000        11.0869110000        12.4357150000         9.9437270000
        0.2456941875         0.2456909516         3.5191376494         4.9942022388        -2.1362932327        14.5789280000        13.5257560000        12.1104840000        10.9937560000         9.6143830000         8.2407930000         7.5908880000         7.3773070000        11.0003910000        12.3358350000        12.3792740000         9.8832040000        11.0200970000        12.3561610000         9.8813700000
        0.2512896959         0.2512863217         3.5205160585         4.9881087366        -2.1143420893        14.4969470000        13.4449030000        12.0329210000        10.9227640000         9.5540980000         8.1894430000         7.5392970000         7.3262010000        10.9349530000        12.2582980000        12.3017540000         9.8220480000        10.9546680000        12.2785370000         9.8202930000
        0.2572018883         0.2571983667         3.5219637407         4.9820664603        -2.0920804685        14.4136730000        13.3625580000        11.9539070000        10.8504420000         9.4929290000         8.1375020000         7.4870520000         7.2744680000        10.8683600000        12.1793050000        12.2227810000         9.7599290000        10.8880850000        12.1994550000         9.7582590000
        0.2635388896         0.2635352159         3.5234945897         4.9764924218        -2.0703477235        14.3311100000        13.2806070000        11.8752680000        10.7786700000         9.4329080000         8.0871200000         7.4363060000         7.2242610000        10.8025690000        12.1006830000        12.1441860000         9.6988590000        10.8223060000        12.1207410000         9.6972820000
        0.2698899539         0.2698861207         3.5250286916         4.9709325528        -2.0485938672        14.2491730000        13.1991010000        11.7970070000        10.7070920000         9.3730040000         8.0367020000         7.3854720000         7.1739730000        10.7368700000        12.0224350000        12.0659670000         9.6378630000        10.7566170000        12.0424020000         9.6363810000
        0.2763478296         0.2763436700         3.5266461376         4.9651346523        -2.0261840438        14.1648520000        13.1150490000        11.7162900000        10.6332240000         9.3113450000         7.9848720000         7.3331520000         7.1222310000        10.6690850000        11.9417300000        11.9852930000         9.5750090000        10.6888430000        11.9616030000         9.5736310000
