#     initial_mass           star_mass            log_Teff               log_g                log_L              Bessell_U            Bessell_B            Bessell_V            Bessell_R            Bessell_I             2MASS_J              2MASS_H             2MASS_Ks            Gaia_G_MAW          Gaia_BP_MAWb         Gaia_BP_MAWf          Gaia_RP_MAW          Gaia_G_EDR3         Gaia_BP_EDR3         Gaia_RP_EDR3     
        0.2031460098         0.2031437940         3.5085448571         5.0426429025        -2.3101278274        15.2687910000        14.1950380000        12.7529410000        11.5728640000        10.0989490000         8.6461660000         7.9944190000         7.7780490000        11.5279960000        12.9771560000        13.0204190000        10.3740760000        11.5476120000        12.9983450000        10.3716540000
        0.2094478775         0.2094455501         3.5101414474         5.0354263553        -2.2834952046        15.1598780000        14.0899910000        12.6520490000        11.4827590000        10.0240200000         8.5841900000         7.9329400000         7.7169450000        11.4464410000        12.8764930000        12.9197850000        10.2983180000        11.4660720000        12.8975430000        10.2959770000
        0.2157211040         0.2157186595         3.5117285772         5.0281662207        -2.2569643277        15.0526740000        13.9864370000        12.5526050000        11.3936110000         9.9496700000         8.5223640000         7.8715490000         7.6559370000        11.3655270000        12.7772640000        12.8205810000        10.2230920000        11.3851730000        12.7981750000        10.2208340000
        0.2211962424         0.2211937230         3.5130558248         5.0228616513        -2.2362637655        14.9683070000        13.9046140000        12.4740390000        11.3232560000         9.8914160000         8.4743200000         7.8237800000         7.6085050000        11.3018400000        12.6988490000        12.7421920000        10.1640800000        11.3214980000        12.7196510000        10.1618930000
        0.2267716449         0.2267690169         3.5144329226         5.0167355256        -2.2138230909        14.8787910000        13.8178280000        12.3907180000        11.2482180000         9.8287710000         8.4220270000         7.7717570000         7.5568340000        11.2335520000        12.6156830000        12.6590500000        10.1006040000        11.2532220000        12.6363720000        10.0984950000
        0.2323396266         0.2323368902         3.5158050072         5.0106583031        -2.1915528691        14.7907610000        13.7323230000        12.3086220000        11.1740810000         9.7667770000         8.3701070000         7.7200600000         7.5054960000        11.1659590000        12.5337300000        12.5771220000        10.0377470000        11.1856400000        12.5543060000        10.0357180000
        0.2377514868         0.2377486352         3.5171435246         5.0045649120        -2.1696162236        14.7051100000        13.6490190000        12.2286340000        11.1016020000         9.7059630000         8.3188980000         7.6690310000         7.4548230000        11.0997000000        12.4538710000        12.4972860000         9.9760590000        11.1193910000        12.4743400000         9.9741100000
        0.2430736611         0.2430706912         3.5184607448         4.9985060818        -2.1479731534        14.6220710000        13.5679480000        12.1508030000        11.0307800000         9.6462280000         8.2682970000         7.6184940000         7.4046690000        11.0347260000        12.3761370000        12.4195720000         9.9154600000        11.0544270000        12.3965070000         9.9135880000
        0.2485065817         0.2485034853         3.5198062026         4.9922702165        -2.1258254487        14.5397980000        13.4869370000        12.0730840000        10.9595750000         9.5855110000         8.2163650000         7.5663560000         7.3530030000        10.9689860000        12.2984460000        12.3418960000         9.8539090000        10.9886970000        12.3187290000         9.8521140000
        0.2547034788         0.2547002457         3.5213148024         4.9862883089        -2.1032886635        14.4543630000        13.4024870000        11.9920860000        10.8856560000         9.5233110000         8.1639000000         7.5136090000         7.3007850000        10.9011200000        12.2174700000        12.2609430000         9.7907340000        10.9208420000        12.2376610000         9.7890260000
        0.2609885225         0.2609851496         3.5228368618         4.9805603654        -2.0812666680        14.3708360000        13.3197010000        11.9126630000        10.8131520000         9.4625270000         8.1127660000         7.4621370000         7.2498500000        10.8346080000        12.1380660000        12.1815640000         9.7289250000        10.8543410000        12.1581660000         9.7273070000
        0.2672645095         0.2672609913         3.5243555881         4.9748977942        -2.0594087823        14.2885440000        13.2379620000        11.8342000000        10.7413880000         9.4023480000         8.0620380000         7.4110230000         7.1992730000        10.7687020000        12.0596180000        12.1031430000         9.6676820000        10.7884450000        12.0796270000         9.6661590000
        0.2735997928         0.2735961233         3.5258851452         4.9693473546        -2.0377075142        14.2071910000        13.1569560000        11.7563930000        10.6701410000         9.3426880000         8.0117450000         7.3602920000         7.1490880000        10.7032550000        11.9818240000        12.0253770000         9.6069110000        10.7230080000        12.0017420000         9.6054840000
        0.2798493342         0.2798455085         3.5273939776         4.9638826667        -2.0163106784        14.1276130000        13.0775480000        11.6800610000        10.6001170000         9.2840210000         7.9621750000         7.3102440000         7.0995820000        10.6388580000        11.9055020000        11.9490850000         9.5471080000        10.6586220000        11.9253320000         9.5457780000
        0.2874829869         0.2874783417         3.5294631151         4.9567171232        -1.9891133861        14.0248320000        12.9747310000        11.5813170000        10.5097820000         9.2091610000         7.8995850000         7.2469390000         7.0370260000        10.5561080000        11.8067690000        11.8503970000         9.4706280000        10.5758870000        11.8264800000         9.4694370000
        0.2936700527         0.2936652433         3.5309356162         4.9514134448        -1.9681218116        13.9482060000        12.8978820000        11.5072700000        10.4415890000         9.1519480000         7.8509840000         7.1977730000         6.9883980000        10.4932430000        11.7327310000        11.7763920000         9.4122190000        10.5130310000        11.7523570000         9.4111270000
        0.2995762015         0.2995712294         3.5323802146         4.9463624096        -1.9479580968        13.8745830000        12.8238630000        11.4358910000        10.3758630000         9.0969950000         7.8044110000         7.1506140000         6.9417710000        10.4327050000        11.6613600000        11.7050570000         9.3560550000        10.4525020000        11.6809060000         9.3550630000
        0.3043709308         0.3043658262         3.5336299972         4.9427862041        -1.9324332404        13.8161230000        12.7648010000        11.3789310000        10.3237390000         9.0542760000         7.7689590000         7.1146550000         6.9062720000        10.3850920000        11.6044070000        11.6481400000         9.3122540000        10.4048990000        11.6238820000         9.3113510000
        0.3096035179         0.3095981608         3.5350273861         4.9388747611        -1.9153631735        13.7517910000        12.6996770000        11.3160770000        10.2662370000         9.0073080000         7.7300690000         7.0751790000         6.8673160000        10.3326110000        11.5415620000        11.5853350000         9.2640430000        10.3524280000        11.5609590000         9.2632410000
        0.3111434833         0.3111380587         3.5353975952         4.9377511020        -1.9105341786        13.7340240000        12.6816920000        11.2986930000        10.2502610000         8.9941160000         7.7190020000         7.0639490000         6.8562240000        10.3179570000        11.5241790000        11.5679640000         9.2505170000        10.3377760000        11.5435560000         9.2497420000
        0.3126638459         0.3126583563         3.5357921187         4.9367611722        -1.9058414197        13.7162690000        12.6636610000        11.2812660000        10.2343350000         8.9811830000         7.7083500000         7.0531300000         6.8455540000        10.3034520000        11.5067560000        11.5505510000         9.2372240000        10.3232750000        11.5261110000         9.2364770000
        0.3139742956         0.3139687507         3.5361161360         4.9359018520        -1.9018623858        13.7013840000        12.6485520000        11.2666540000        10.2209530000         8.9702550000         7.6992900000         7.0439300000         6.8364750000        10.2912330000        11.4921460000        11.5359530000         9.2259990000        10.3110580000        11.5114830000         9.2252760000
        0.3149847989         0.3149792129         3.5363593346         4.9352310716        -1.8988255388        13.6900920000        12.6370920000        11.2555690000        10.2107890000         8.9619320000         7.6923640000         7.0368970000         6.8295350000        10.2819400000        11.4810630000        11.5248770000         9.2174510000        10.3017670000        11.5003860000         9.2167460000
        0.3160324011         0.3160267777         3.5365986949         4.9345575577        -1.8957501510        13.6787690000        12.6256030000        11.2444490000        10.2005740000         8.9535270000         7.6853340000         7.0297600000         6.8224880000        10.2725810000        11.4699440000        11.5137650000         9.2088250000        10.2924100000        11.4892540000         9.2081380000
        0.3170723563         0.3170667024         3.5368725507         4.9338619642        -1.8925252341        13.6665630000        12.6131890000        11.2324430000        10.1896060000         8.9446410000         7.6780250000         7.0223310000         6.8151650000        10.2625960000        11.4579410000        11.5017710000         9.1996830000        10.2824270000        11.4772360000         9.1990170000
        0.3181485785         0.3181429031         3.5371160214         4.9331542138        -1.8893596794        13.6549660000        12.6014180000        11.2210440000        10.1791260000         8.9360040000         7.6707820000         7.0149770000         6.8079030000        10.2529850000        11.4465450000        11.4903810000         9.1908190000        10.2728190000        11.4658260000         9.1901700000
        0.3192221238         0.3192164344         3.5373863637         4.9324239820        -1.8860678350        13.6426610000        12.5889060000        11.2089340000        10.1680370000         8.9269700000         7.6632990000         7.0073730000         6.8004030000        10.2428660000        11.4344370000        11.4782840000         9.1815300000        10.2627000000        11.4537040000         9.1809020000
        0.3202771916         0.3202722126         3.5375408758         4.9330941706        -1.8846189398        13.6368640000        12.5827300000        11.2027880000        10.1624980000         8.9227920000         7.6601470000         7.0041970000         6.7972750000        10.2379880000        11.4282900000        11.4721460000         9.1771880000        10.2578250000        11.4475480000         9.1765730000
