wavelength_A,flux
3805.3972,9.461549
3806.2727,8.50415
3807.1504,5.317577
3808.0261,1.7783622
3808.9043,3.7380278
3809.7805,6.5743737
3810.659,9.659359
3811.5356,8.452551
3812.4126,8.265615
3813.2917,8.710999
3814.169,7.5704565
3815.0483,3.4372678
3815.926,2.4420147
3816.806,8.297264
3817.684,8.489311
3818.5623,11.482131
3819.4429,11.262926
3820.3215,9.633732
3821.2024,1.7143914
3822.0815,8.535289
3822.963,8.534601
3823.8423,4.6671147
3824.724,9.506341
3825.604,3.100656
3826.4841,2.3847282
3827.3665,11.768353
3828.247,8.525615
3829.1296,9.8508005
3830.0107,5.923728
3830.8938,5.2103105
3831.7751,10.031378
3832.6567,10.269512
3833.5405,6.3989835
3834.4224,8.277638
3835.3066,7.3171763
3836.1887,3.9023073
3837.0735,8.691839
3837.956,8.393314
3838.839,4.3549924
3839.7244,5.7110925
3840.6077,9.977785
3841.4932,10.548586
3842.377,9.815844
3843.263,8.819619
3844.1472,5.1546383
3845.0315,3.4332218
3845.9182,4.6645823
3846.803,3.814445
3847.69,5.0308943
3848.5752,7.559624
3849.4626,13.116272
3850.3481,27.063437
3851.234,35.618484
3852.122,20.6166
3853.0083,35.569782
3853.8967,34.73055
3854.7832,21.404425
3855.672,11.391621
3856.559,7.173931
3857.4463,3.8158865
3858.336,0.76866186
3859.2234,0.6258788
3860.1135,0.80412996
3861.0015,3.8275578
3861.8918,4.557902
3862.7803,9.694152
3863.669,4.742828
3864.5598,5.2871313
3865.4487,7.4294357
3866.34,6.871225
3867.2297,6.0209146
3868.1213,6.0226016
3869.0112,11.255287
3869.9014,5.20473
3870.7937,6.603849
3871.684,8.333879
3872.577,8.033912
3873.4678,5.360473
3874.361,5.6236296
3875.2524,6.655405
3876.1438,4.9863467
3877.0376,7.1891007
3877.9297,5.6941347
3878.824,5.4916897
3879.716,4.9587846
3880.6108,7.278419
3881.5037,9.178413
3882.3965,7.807317
3883.2917,4.9316473
3884.185,6.8161607
3885.0808,12.172357
3885.9746,8.255911
3886.8706,1.8304806
3887.765,9.468639
3888.6592,7.590682
3889.556,7.4419203
3890.4507,6.778711
3891.348,13.354631
3892.2432,13.079446
3893.1406,5.1649556
3894.0361,8.212503
3894.934,9.470746
3895.83,9.615662
3896.7263,9.300057
3897.625,7.0755258
3898.5217,4.0341907
3899.4207,2.50756
3900.3176,4.0003066
3901.217,10.055356
3902.1145,14.295328
3903.0122,10.700873
3903.9124,10.343328
3904.8103,12.373184
3905.7107,7.7922974
3906.6094,5.79476
3907.5103,9.689983
3908.409,11.857076
3909.308,6.479679
3910.2097,4.541011
3911.1091,10.291435
3912.011,8.1197405
3912.9111,7.7848563
3913.8132,11.74317
3914.7136,6.541071
3915.6143,9.549175
3916.5173,3.3440166
3917.4182,6.6821933
3918.3215,11.863617
3919.223,7.241677
3920.1267,4.3318334
3921.0286,5.4773583
3921.9307,4.279636
3922.835,5.882818
3923.7373,7.337722
3924.642,4.619133
3925.545,7.5273685
3926.4502,9.404185
3927.3535,8.293472
3928.257,7.226441
3929.1628,6.67397
3930.0667,8.787085
3930.973,10.8497305
3931.8774,6.507101
3932.784,6.089197
3933.6887,10.093657
3934.5938,9.210006
3935.501,9.840313
3936.4062,9.020972
3937.314,7.315128
3938.22,9.528781
3939.128,6.701937
3940.0342,9.681023
3940.9407,9.448015
3941.8494,10.48617
3942.756,6.934957
3943.6653,6.5388827
3944.5725,9.084793
3945.4822,11.088888
3946.39,11.377869
3947.2979,8.329558
3948.208,4.045043
3949.1162,6.202454
3950.0269,7.1783805
3950.9355,4.2866807
3951.8467,10.727794
3952.7559,7.5888476
3953.665,6.0364776
3954.577,7.2836175
3955.4866,6.6122985
3956.3987,6.8696647
3957.3088,6.605282
3958.2214,4.9959
3959.132,5.730039
3960.045,8.866294
3960.956,6.3857937
3961.8672,6.43272
3962.7808,5.242603
3963.6924,5.467336
3964.6064,7.1170917
3965.5186,5.567037
3966.4329,5.9901576
3967.3455,7.077422
3968.258,5.3523626
3969.173,7.7647247
3970.0862,3.4497135
3971.0017,6.5610332
3971.9153,9.011145
3972.8313,8.932768
3973.745,8.894102
3974.6592,8.260506
3975.576,11.869606
3976.4905,9.940533
3977.4075,4.753483
3978.3223,11.513387
3979.2397,7.709141
3980.1553,8.519256
3981.0708,12.661501
3981.9888,11.663364
3982.9048,9.792879
3983.8232,13.180288
3984.7397,13.955136
3985.6587,8.046938
3986.5757,12.36542
3987.4927,5.8118463
3988.412,7.9720397
3989.3298,5.2185187
3990.2498,8.561467
3991.1677,7.972539
3992.088,5.257495
3993.0063,10.717735
3993.9248,7.752249
3994.846,9.195046
3995.765,13.764696
3996.6863,10.377026
3997.6057,10.759488
3998.5276,9.037655
3999.4475,10.019008
4000.3674,9.594694
4001.29,8.315479
4002.2104,9.814285
4003.1333,11.254194
4004.0542,12.120545
4004.9775,7.4730597
4005.899,6.3187537
4006.8206,9.704809
4007.7444,9.771637
4008.6665,8.904627
4009.5908,7.918548
4010.5132,6.778098
4011.438,6.796197
4012.3608,7.8593554
4013.284,8.549744
4014.2095,10.72493
4015.1328,10.372138
4016.0588,6.4633064
4016.9827,6.887963
4017.909,7.5324078
4018.8333,8.286327
4019.7578,6.4273605
4020.6848,5.582795
4021.6096,9.656603
4022.537,9.8211355
4023.4624,6.428805
4024.3901,8.457952
4025.3162,6.3920856
4026.242,6.327886
4027.1704,9.220146
4028.097,6.6385717
4029.026,6.8739786
4029.9526,9.778319
4030.882,7.9185433
4031.8093,8.009051
4032.739,11.881589
4033.6667,9.531936
4034.5947,12.723096
4035.5251,5.9847803
4036.4534,8.941469
4037.3843,9.336686
4038.313,7.527079
4039.2441,11.0932865
4040.1733,14.046254
4041.1028,11.333102
4042.0347,8.904014
4042.9646,8.385045
4043.897,5.7991776
4044.8271,11.3611765
4045.76,9.978652
