wavelength_A,flux
3803.6448,2.7054985
3804.522,0.26538986
3805.3972,-0.21898559
3806.2727,-2.1538956
3807.1504,-0.14511184
3808.0261,-2.8769834
3808.9043,-3.1482048
3809.7805,-0.19755651
3810.659,0.6028147
3811.5356,0.75748044
3812.4126,1.8968731
3813.2917,-2.8372183
3814.169,-1.8845639
3815.0483,-1.630006
3815.926,-2.5860317
3816.806,-0.7185611
3817.684,-0.6592281
3818.5623,1.655421
3819.4429,4.8628583
3820.3215,1.8746945
3821.2024,-0.78470016
3822.0815,-2.4475796
3822.963,-0.981072
3823.8423,1.2975358
3824.724,2.0924134
3825.604,0.18040356
3826.4841,-1.5244819
3827.3665,0.35899708
3828.247,1.7285516
3829.1296,-0.047971636
3830.0107,4.0482497
3830.8938,-0.38519195
3831.7751,1.498264
3832.6567,3.7004683
3833.5405,0.03840561
3834.4224,0.60628784
3835.3066,1.8227837
3836.1887,-0.5024003
3837.0735,0.993478
3837.956,-0.65712166
3838.839,1.4640101
3839.7244,0.4463551
3840.6077,0.014913519
3841.4932,0.7834039
3842.377,0.014666318
3843.263,-1.9786929
3844.1472,-2.2686992
3845.0315,-0.094918236
3845.9182,1.937613
3846.803,2.350092
3847.69,1.5574133
3848.5752,1.0526074
3849.4626,0.46609268
3850.3481,-0.34210697
3851.234,-0.66570944
3852.122,0.7428617
3853.0083,1.8953468
3853.8967,0.85676813
3854.7832,3.7199
3855.672,2.077709
3856.559,-0.25562918
3857.4463,0.5402311
3858.336,0.5625047
3859.2234,-0.07467403
3860.1135,-0.8704766
3861.0015,-1.024712
3861.8918,-0.13567466
3862.7803,-0.1692981
3863.669,0.075427696
3864.5598,-0.100483686
3865.4487,-1.9287817
3866.34,-0.39143798
3867.2297,0.6696547
3868.1213,1.2740958
3869.0112,0.25097564
3869.9014,-1.2933884
3870.7937,1.3340126
3871.684,-0.54438853
3872.577,-0.34913847
3873.4678,1.7357308
3874.361,-1.1121988
3875.2524,0.17214034
3876.1438,-0.24917243
3877.0376,-1.8610094
3877.9297,-1.0115886
3878.824,-0.98823524
3879.716,-0.19977646
3880.6108,-1.1932818
3881.5037,1.100992
3882.3965,-0.2697501
3883.2917,-0.34213185
3884.185,-0.1565746
3885.0808,-0.15892027
3885.9746,-0.13707033
3886.8706,-0.17279792
3887.765,0.10984234
3888.6592,0.27111012
3889.556,1.5286962
3890.4507,-0.24599642
3891.348,-1.1382794
3892.2432,2.6176467
3893.1406,0.98456174
3894.0361,-2.3241384
3894.934,-0.36518997
3895.83,1.2951214
3896.7263,0.5821933
3897.625,-0.0071258303
3898.5217,2.2959201
3899.4207,0.56912804
3900.3176,-0.7458431
3901.217,0.18244459
3902.1145,-0.5718955
3903.0122,-1.4124604
3903.9124,-0.08431722
3904.8103,0.52094567
3905.7107,1.2801747
3906.6094,0.55189085
3907.5103,0.5179691
3908.409,-0.21572717
3909.308,0.88929564
3910.2097,0.8434832
3911.1091,-0.6251921
3912.011,-1.2335689
3912.9111,-1.3777124
3913.8132,-1.427631
3914.7136,0.3142817
3915.6143,-2.2397046
3916.5173,0.3824022
3917.4182,1.3064824
3918.3215,-0.11021637
3919.223,-0.852756
3920.1267,0.10815569
3921.0286,0.6686839
3921.9307,-0.38002333
3922.835,0.76917464
3923.7373,1.9954553
3924.642,1.9388863
3925.545,-1.3609574
3926.4502,1.4041609
3927.3535,1.2068318
3928.257,-0.3126736
3929.1628,-0.3403883
3930.0667,-0.19706996
3930.973,0.6859759
3931.8774,-1.4120479
3932.784,-1.0328746
3933.6887,0.3167635
3934.5938,1.5492674
3935.501,-0.07563281
3936.4062,0.23723924
3937.314,0.82520634
3938.22,-1.0477502
3939.128,-1.5017767
3940.0342,-0.6989199
3940.9407,-0.7159151
3941.8494,0.44665518
3942.756,-0.0045204624
3943.6653,0.20427087
3944.5725,-0.4199476
3945.4822,-0.63558
3946.39,0.11133254
3947.2979,0.28308588
3948.208,0.27032667
3949.1162,0.9730501
3950.0269,-1.0044254
3950.9355,1.577585
3951.8467,-0.15951405
3952.7559,0.9780162
3953.665,1.1299313
3954.577,0.66210943
3955.4866,0.98167527
3956.3987,0.92425174
3957.3088,0.8921267
3958.2214,0.345288
3959.132,4.235126
3960.045,1.1886948
3960.956,-0.6737885
3961.8672,0.17222373
3962.7808,-0.53533876
3963.6924,-1.0312394
3964.6064,0.08802561
3965.5186,0.13627115
3966.4329,-0.7039396
3967.3455,-0.6860857
3968.258,0.06597227
3969.173,-0.3938519
3970.0862,-1.4973958
3971.0017,-0.076933116
3971.9153,1.7925663
3972.8313,0.96079427
3973.745,-0.025726467
3974.6592,1.4124483
3975.576,0.72381145
3976.4905,0.3792192
3977.4075,-0.23236339
3978.3223,0.02227902
3979.2397,-1.0373485
3980.1553,-1.211338
3981.0708,-0.038327422
3981.9888,0.7049845
3982.9048,0.353231
3983.8232,-0.19694838
3984.7397,-0.25501823
3985.6587,0.06667336
3986.5757,0.055491023
3987.4927,-0.6633492
3988.412,0.14594115
3989.3298,-0.2631037
3990.2498,-0.95709985
3991.1677,0.16091688
3992.088,0.8553318
3993.0063,-0.74070466
3993.9248,-0.04245937
3994.846,0.2808069
3995.765,1.433317
3996.6863,-1.4290316
3997.6057,-0.073812105
3998.5276,1.1270015
3999.4475,-0.35220778
4000.3674,-0.9819663
4001.29,0.15240073
4002.2104,0.54776496
4003.1333,1.2899227
4004.0542,1.1107559
4004.9775,-2.214832
4005.899,-0.7497019
4006.8206,0.7989234
4007.7444,-0.41325355
4008.6665,0.16493382
4009.5908,1.3361446
4010.5132,0.589022
4011.438,1.0402807
