wavelength_A,flux
3792.2773,-0.7711025
3793.15,4.3706093
3794.0225,9.511274
3794.8975,5.3125906
3795.7703,6.7582827
3796.6458,8.29201
3797.519,3.6198578
3798.3948,-0.11821145
3799.2686,3.6133544
3800.1426,1.4518213
3801.0188,6.187296
3801.8933,6.2403913
3802.77,8.041601
3803.6448,11.533372
3804.522,10.684749
3805.3972,6.4163656
3806.2727,4.8747735
3807.1504,2.7174118
3808.0261,-7.0155387
3808.9043,3.1901455
3809.7805,3.1878068
3810.659,2.968758
3811.5356,7.6039014
3812.4126,11.746218
3813.2917,9.745388
3814.169,5.953687
3815.0483,10.291424
3815.926,6.202267
3816.806,-2.526332
3817.684,4.6306396
3818.5623,5.9553223
3819.4429,8.40804
3820.3215,10.478838
3821.2024,8.745446
3822.0815,7.739865
3822.963,7.544997
3823.8423,5.7592883
3824.724,8.808705
3825.604,5.9967947
3826.4841,4.70975
3827.3665,6.105687
3828.247,7.2141986
3829.1296,7.825365
3830.0107,7.7930174
3830.8938,7.873037
3831.7751,12.813475
3832.6567,8.848799
3833.5405,14.427162
3834.4224,2.827807
3835.3066,7.667229
3836.1887,10.980321
3837.0735,8.780409
3837.956,10.5178995
3838.839,9.193678
3839.7244,7.6247115
3840.6077,9.558035
3841.4932,6.3927155
3842.377,5.987636
3843.263,7.9294705
3844.1472,7.7878532
3845.0315,8.751003
3845.9182,8.734537
3846.803,4.004291
3847.69,1.2128267
3848.5752,3.328806
3849.4626,5.3485227
3850.3481,2.6256702
3851.234,3.964425
3852.122,7.455038
3853.0083,7.0313797
3853.8967,5.934388
3854.7832,7.024299
3855.672,6.810349
3856.559,11.374465
3857.4463,8.642881
3858.336,4.116754
3859.2234,11.150662
3860.1135,6.9701004
3861.0015,4.4376936
3861.8918,7.739457
3862.7803,6.9851475
3863.669,7.180676
3864.5598,14.498002
3865.4487,8.668843
3866.34,4.5332265
3867.2297,9.570892
3868.1213,7.649778
3869.0112,2.1402447
3869.9014,5.325034
3870.7937,9.9204
3871.684,8.993975
3872.577,11.486577
3873.4678,6.1065645
3874.361,9.922499
3875.2524,9.513111
3876.1438,11.455103
3877.0376,8.479694
3877.9297,7.500548
3878.824,6.3425117
3879.716,2.8008556
3880.6108,5.11876
3881.5037,8.460958
3882.3965,4.9498734
3883.2917,1.1403613
3884.185,3.2159889
