wavelength_A,flux
3805.3972,-1.029333
3806.2727,-2.1661134
3807.1504,6.4450583
3808.0261,10.045572
3808.9043,6.5459223
3809.7805,11.618302
3810.659,6.6099567
3811.5356,9.684378
3812.4126,3.5308228
3813.2917,1.2844622
3814.169,3.7674108
3815.0483,8.945858
3815.926,8.651666
3816.806,1.5327636
3817.684,3.4588165
3818.5623,9.90654
3819.4429,1.4269258
3820.3215,2.0103688
3821.2024,2.7182467
3822.0815,8.866276
3822.963,0.2515812
3823.8423,-1.8070039
3824.724,6.7730355
3825.604,6.2022414
3826.4841,6.8644447
3827.3665,3.919287
3828.247,2.2551892
3829.1296,-3.3088307
3830.0107,2.2852647
3830.8938,-0.8752467
3831.7751,9.728179
3832.6567,4.828999
3833.5405,-9.019329
3834.4224,2.2041523
3835.3066,4.9089336
3836.1887,2.1741378
3837.0735,10.856069
3837.956,0.7747153
3838.839,6.388357
3839.7244,0.61049426
3840.6077,3.3063061
3841.4932,4.4920497
3842.377,0.4698305
3843.263,2.7641866
3844.1472,0.18577284
3845.0315,10.858073
3845.9182,1.4696951
3846.803,2.3560095
3847.69,-2.085585
3848.5752,5.794017
3849.4626,7.4272103
3850.3481,1.2381968
3851.234,-1.9822644
3852.122,0.041937273
3853.0083,8.100471
3853.8967,9.075484
3854.7832,3.691634
3855.672,-1.3004093
3856.559,-1.5218443
3857.4463,0.16559637
3858.336,3.008407
3859.2234,6.7311153
3860.1135,9.183504
3861.0015,9.938986
3861.8918,10.812264
3862.7803,9.928246
3863.669,9.043223
3864.5598,8.313476
3865.4487,3.7744925
3866.34,12.523151
3867.2297,15.319447
3868.1213,8.782712
3869.0112,7.4845543
3869.9014,7.3133416
3870.7937,1.7537864
3871.684,11.438313
3872.577,5.7608023
3873.4678,5.926165
3874.361,-2.2826993
3875.2524,3.8351328
3876.1438,6.3304534
3877.0376,4.6812363
3877.9297,5.4082465
3878.824,3.3609395
3879.716,0.562512
3880.6108,5.419681
3881.5037,0.5927036
3882.3965,4.5577517
3883.2917,6.1666675
3884.185,1.3397048
3885.0808,1.8276109
3885.9746,6.3058114
3886.8706,11.053636
3887.765,13.241194
3888.6592,7.1424394
3889.556,-0.7557112
3890.4507,0.39729688
3891.348,3.2820468
3892.2432,10.246162
3893.1406,4.61031
3894.0361,-1.0963153
3894.934,5.4030046
3895.83,8.586991
3896.7263,1.8005315
3897.625,1.5761573
3898.5217,1.0248625
3899.4207,0.87518764
3900.3176,4.34585
3901.217,4.765645
3902.1145,4.9903646
3903.0122,1.484455
3903.9124,3.2521892
3904.8103,7.199155
3905.7107,7.328442
3906.6094,7.5620365
3907.5103,5.2421575
3908.409,-1.0943807
3909.308,10.126814
3910.2097,8.422427
3911.1091,5.790595
3912.011,9.23014
3912.9111,5.516151
3913.8132,3.359551
3914.7136,4.592432
3915.6143,0.044947308
3916.5173,5.6827188
3917.4182,10.749074
3918.3215,6.2611175
3919.223,1.6115352
3920.1267,2.5166974
3921.0286,2.4280448
3921.9307,6.7842503
3922.835,8.781321
3923.7373,6.494448
3924.642,8.52537
3925.545,12.87103
3926.4502,8.880325
3927.3535,-2.4522164
3928.257,3.3954713
3929.1628,5.134143
3930.0667,7.360131
3930.973,7.3700027
3931.8774,4.3748903
3932.784,-0.47899112
3933.6887,1.7817289
3934.5938,10.650562
3935.501,5.417754
3936.4062,3.7296855
3937.314,4.375027
3938.22,9.821962
3939.128,5.640018
3940.0342,3.9283373
3940.9407,9.108401
3941.8494,7.49356
3942.756,1.9542276
3943.6653,5.074275
3944.5725,2.8332334
3945.4822,0.7937361
3946.39,7.140074
3947.2979,3.7646582
3948.208,6.8278456
3949.1162,0.97312933
3950.0269,1.4289701
3950.9355,2.6118984
3951.8467,2.567656
3952.7559,8.615676
3953.665,9.273332
3954.577,9.722419
3955.4866,3.921814
3956.3987,7.339621
3957.3088,1.5086676
3958.2214,3.5585346
3959.132,5.3801427
3960.045,4.6423044
3960.956,7.079104
3961.8672,3.239564
3962.7808,-2.1907847
3963.6924,16.256008
3964.6064,2.4544897
3965.5186,3.9007297
3966.4329,0.93064934
3967.3455,6.5771823
3968.258,7.5502167
3969.173,5.4671903
3970.0862,4.7243133
3971.0017,3.2427993
3971.9153,0.018220296
3972.8313,-0.5138094
3973.745,5.295962
3974.6592,3.3524497
3975.576,4.6920595
3976.4905,4.115892
3977.4075,3.145172
3978.3223,6.9211874
3979.2397,7.451027
3980.1553,5.971005
3981.0708,8.147061
3981.9888,7.791637
3982.9048,4.0172873
3983.8232,4.435437
3984.7397,8.652427
3985.6587,13.950145
3986.5757,12.85065
3987.4927,5.364453
3988.412,8.480761
3989.3298,10.503478
3990.2498,6.921174
3991.1677,7.308089
3992.088,8.216495
3993.0063,8.47925
3993.9248,11.081733
3994.846,5.594433
3995.765,9.694439
3996.6863,9.001405
3997.6057,5.816517
3998.5276,5.340167
3999.4475,4.9327826
4000.3674,5.210622
4001.29,7.204978
4002.2104,6.51681
4003.1333,9.914255
4004.0542,1.416713
4004.9775,5.8324456
4005.899,7.545808
4006.8206,7.601024
4007.7444,5.669641
4008.6665,6.785488
4009.5908,9.004537
4010.5132,6.561693
4011.438,3.1178195
4012.3608,2.1376145
4013.284,0.96586317
4014.2095,7.6921263
4015.1328,8.6207285
4016.0588,9.117852
4016.9827,7.3178067
4017.909,4.825292
4018.8333,7.3886166
4019.7578,7.7949123
4020.6848,4.1640053
4021.6096,7.5558968
4022.537,4.6955886
4023.4624,6.109095
4024.3901,7.0848255
4025.3162,5.1200147
4026.242,7.1478467
4027.1704,6.730433
4028.097,8.408734
4029.026,6.8444753
4029.9526,4.4943023
4030.882,7.685721
4031.8093,8.000767
4032.739,11.294419
4033.6667,10.535954
4034.5947,5.2427683
4035.5251,5.8869452
4036.4534,5.871614
4037.3843,9.819994
4038.313,9.942664
4039.2441,4.6182485
4040.1733,2.9536564
4041.1028,3.92992
4042.0347,2.6598804
4042.9646,10.035625
4043.897,3.1025403
4044.8271,1.451239
4045.76,3.3227966
4046.6907,8.446586
4047.6216,10.766862
4048.555,5.0562406
4049.4863,6.400251
4050.4202,7.4196377
4051.352,-0.19243127
4052.2861,8.641122
4053.2185,7.976232
4054.151,11.147891
4055.0857,8.924999
4056.0186,13.248039
4056.9539,7.955555
4057.8872,6.3429747
4058.823,3.964811
4059.7566,2.3210025
4060.6907,6.2848115
4061.627,7.609344
4062.5613,5.95216
4063.4983,12.643342
4064.4329,6.723701
4065.37,12.635394
4066.3054,11.873155
4067.241,8.426871
4068.1787,10.79142
4069.1147,7.4604278
4070.053,5.4573307
4070.9893,8.399039
4071.928,6.8612127
4072.8647,8.294906
4073.8018,5.0575156
4074.7412,3.0872688
4075.6785,3.099447
4076.6184,8.380483
4077.5562,9.663661
4078.4966,6.782801
4079.4348,10.56816
4080.3733,11.477771
4081.3142,4.2931647
4082.2532,4.943298
4083.1943,10.412131
4084.1338,2.3908927
4085.0754,6.1564345
4086.0154,7.8661404
4086.9553,4.3862205
4087.8977,4.2711453
4088.8381,3.035894
4089.781,-0.9183869
4090.722,-3.1695771
4091.6653,1.1975313
4092.6064,7.682572
4093.548,6.488464
4094.492,4.8560615
